# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE CITTA' DI TORINO (ANAC)
# 3693 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9867867574;2023-06-13;SERVIZIO DI PULIZIA, SANIFICAZIONE E SERVIZI ACCESSORI, A RIDOTTO IMPATTO AMBIENTALE ADESIONE CONVENZIONE QUADRO S.C.R. (GARA 137-2018). PERIODO 1.4.2023-31.3.2026;16554972;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
9565494F59;2023-02-09;SERVIZIO DI VIGILANZA NON ARMATA AGLI IMMOBILI IN PRESENZA;15225756;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI SORVEGLIANZA;COSMOPOL S.P.A.
A0583B2894;2024-05-17;ADESIONE SCR VII CONFRONTO FARMACI LOTTO 2299;14881089;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A0485BC555;2024-02-07;ADESIONE SCR VACCINI AD USO UMANO (PROCEDURE N 66-2023 LOTTO 6 SHINGRIX GLAXOSMITHKLINE;12955800;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VACCINI;
A001AA098E;2023-08-16;SERVIZI DI INGEGNERIA E ARCHITETTURA INERENTI LA REDAZIONE DEL PROGETTO DI FATTIBILITÀ TECNICA ED ECONOMICA (PFTE) PER I LAVORI DI REALIZZAZIONE DEL NUOVO OSPEDALE PER L'ASL CITTÀ DI TORINO.;12342667;PROCEDURA APERTA;SERVIZI DI PROGETTAZIONE DI EDIFICI;Operatore individuale (persona fisica)
956513571A;2023-02-09;SERVIZIO DI VIGILANZA ARMATA AGLI IMMOBILI IN PRESENZA;12243502;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI SORVEGLIANZA;COSMOPOL S.P.A.
A02634B547;2023-10-18;SERVIZIO DI GESTIONE DELLE ATTIVITÀ SANITARIE, SOCIO-SANITARIE, ASSISTENZIALI E ACCESSORIE DEL PRESIDIO SANITARIO LORUSSO E CUTUGNO DI TORINO E DEL SERVIZIO INFERMIERISTICO DI ASSISTENZA AL CARCERE MINORILE 'FERRANTE APORTI' E ANNESSO CENTRO DI PRIMA ACCOGLIENZA 'UMBERTO RADAELLI'- RINNOVO;10304543;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;COOPERATIVA SOCIALE NUOVA SAIR O IN FORMA ABBREVIATA COOP. SOC . NUOVA SAIR
A0580B2ECC;2024-05-17;ADESIONE SCR VII CONFRONTO FARMACI LOTTO 2464;8750976;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B2C2AF8FEA;2024-08-12;SISTEMA PER IL MAPPAGGIO TRIDIMENSIONALE E L'ABLAZIONE DI ARITMIE COMPLESSE CON UTILIZZO DI TECNOLOGIA MAGNETICA E/O ELETTRICA 8670800.00;8670800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A033EA268C;2023-11-27;ADESIONE ALLA CONVENZIONE S.C.R. PIEMONTE PER LA FORNITURA DI ENERGIA ELETTRICA IN BASSA E MEDIA TENSIONE - NOVA AEG;8054928;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
