# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO-UNIVERSITARIA MAGGIORE DELLA CARITA' DI NOVARA (ANAC)
# 3639 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A03CA9DA85;2023-12-29;FORNITURA DI GAS MEDICALI E TECNICI E SERVIZI ACCESSORI;53315744;PROCEDURA APERTA;IDROGENO, ARGO, GAS RARI, AZOTO E OSSIGENO;NIPPON GASES PHARMA S.R.L.
969597078F;2023-03-31;LOTTO 1 - FORNITURA DI SISTEMI PER LA RACCOLTA E LAVORAZIONE DI EMOCOMPONENTI E RELATIVO MATERIALE DI CONSUMO;19570200;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;FRESENIUS KABI ITALIA S.R.L. IN BREVE FKI S.R.L.
95616803F3;2023-01-13;SET DA N. 1 A N. 32 E MATERIALE SFUSO IN TNT MONOUSO STERILE;19101420;PROCEDURA APERTA;TESSUTI NON TESSUTI;MOLNLYCKE HEALTH CARE S.R.L.
9680301518;2023-04-12;LOTTO 1 - SERVIZIO DI TRASPORTO PAZIENTI E MATERIALI SANITARI VARI E NON - AOU MAGGIORE DI NOVARA;17102000;PROCEDURA APERTA;VARI SERVIZI SANITARI;MARKAS S.R.L.
9680476582;2023-04-12;LOTTO 4 - SERVIZIO DI TRASPORTO PAZIENTI - ASL BI;10716000;PROCEDURA APERTA;VARI SERVIZI SANITARI;
968046084D;2023-04-12;LOTTO 3 - SERVIZIO DI TRASPORTO PAZIENTI E MATERIALI SANITARI VARI E NON - ASL VCO;9393600;PROCEDURA APERTA;VARI SERVIZI SANITARI;MARKAS S.R.L.
9893640A00;2023-06-21;RECEPIMENTO GARA FORNITURA IN SERVICE DI SISTEMI DIAGNOSTICI PER AUTOMAZIONE INTEGRATA - LOTTO 1 - ROCHE;9177807;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;REATTIVI PER LABORATORIO;
96804228F1;2023-04-12;LOTTO 2 - SERVIZIO DI TRASPORTO PAZIENTI E MATERIALI SANITARI VARI E NON - ASL NO;9006000;PROCEDURA APERTA;VARI SERVIZI SANITARI;MARKAS S.R.L.
9500054C8E;2023-01-04;LOTTO 49 - CISTOSCOPIO FLESSIBILE MONOUSO;8249200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;POLIMED S.R.L.
A00A84E483;2023-10-09;LOTTO 1 SISTEMI ANALITICI PER ELETTROFORESI;8198799;PROCEDURA APERTA;REATTIVI PER ELETTROFORESI;SEBIA ITALIA - S.R.L.
9700689DCB;2023-03-31;SISTEMI MULTIFUNZIONALI AUTOMATICI PER INDAGINI IMMUNOISTOCHIMICHE E TEST DI TARGET THERAPY;8115860;PROCEDURA APERTA;REATTIVI PER LABORATORIO;ROCHE DIAGNOSTICS S.P.A.
9936477039;2023-08-14;FORNITURA FARMACO CANNABINOIDI - AIC 040548113 - FARMACO SATIVEX - 3FL SPRAY 90D 10ML - ID ELABORAZIONE #1934;8037082;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A0195A1D1D;2023-10-16;LOTTO 2 - SISTEMA ANALITICI AUTOMATIZZATI PER LA DIAGNOSTICA SIEROLOGICA DI VIROLOGIA BATTERIOLOGICA, PARASSITOLOGICA E MICOLOGICA SPECIALISTICA;7906000;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
B12D887514;2024-04-10;ADESIONE ALLA CONVENZIONE DELLA GARA CENTRALIZZATA DI SCR PER L'AFFIDAMENTO DELLA FORNITURANDI STRUMENTARIO E MATERIALE DI CONSUMO PER CHIRURGIA ROBOTICA DA VINCI E SERVIZI CONNESSI DA DESTINARSI ALLE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE PIEMONTE (GARA 130-2023);7674148;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;AB MEDICA S.P.A.
951414372C;2023-01-23;GARA EUROPEA TELEMATICA TRAMITE PROCEDURA APERTA AI SENSI DELL'ART 60 DEL DLG 50/2016 E S.M.I. PER LA FORNITURA IN SERVICE DI SISTEMI DAGNOSTICI E REATTIVI NECESSARI INERENTI AI DOSAGGI DI FARMACO-TOSSICOLOGIA CLINICA;7560200;PROCEDURA APERTA;APPARECCHI PER ANALISI;
B1621932DD;2024-04-23;VIGILANZA ARMATA E NON ARMATA AGLI IMMOBILI IN PRESENZA;5687519;PROCEDURA RISTRETTA;SERVIZI DI SICUREZZA;
B239D21300;2024-06-25;SERVIZIO DI VIGILANZA ARMATA E NON ARMATA AGLI IMMOBILI IN PRESENZA;5687519;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);SERVIZI DI SICUREZZA;
B2373D705D;2024-06-24;SERVIZIO DI VIGILANZA ARMATA E NON ARMATA AGLI IMMOBILI IN PRESENZA;5687519;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);SERVIZI DI SICUREZZA;
A040426548;2023-12-27;SERVIZIO DI GUARDIA MEDICA PRESSO IL PRONTO SOCCORSO;4333820;PROCEDURA APERTA;SERVIZI OSPEDALIERI;
A0285BD220;2023-12-11;LOTTO 1 - SISTEMA ANALITICO PER LA RICERCA QUANTITATIVA IN BIOLOGIA MOLECOLARE DEGLI ACIDI NUCLEICI DI HIV-1, HCV, HBV, CMV, EBV, E PER LA DIAGNOSI DI SARS-COV-2 E DI MALATTIE SESSUALMENTE TRASMISSIBILI;4185200;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;ABBOTT S.R.L.
B2C966DD10;2024-08-16;SERVIZIO DI INSTALLAZIONE E GESTIONE DISTRIBUTORI AUTOMATICI DI BEVANDE CALDE, FREDDE E PRODOTTI VARI;4144203;ND P1_19;SERVIZI DI VENDITA AL DETTAGLIO;
968049338A;2023-04-12;LOTTO 5 - SERVIZIO DI TRASPORTO PAZIENTI - ASL VC;3990000;PROCEDURA APERTA;VARI SERVIZI SANITARI;
