# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO UNIVERSITARIA CITTA' DELLA SALUTE E DELLA SCIENZA DI TORINO (ANAC)
# 4869 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0130479CD;2023-09-22;PNRR3 - M6 C2-1.2 PNC: VERSO UN OSPEDALE SICURO E SOSTENIBILE - PRESIDIO OSPEDALIERO C.T.O. INTERVENTI ANTISISMICA;22550000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
97049580B3;2023-04-06;SISTEMI PER VIDEOENDOSCOPIA, COMPLETI DI STRUMENTI FLESSIBILI;18270000;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;
9841624D09;2023-06-19;SISTEMI PER VIDEOENDOSCOPIA, COMPLETI DI STRUMENTI FLESSIBILI;18270000;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;OLYMPUS ITALIA S.R.L.
A028603BE1;2023-11-22;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 20 LOTTO 1;16000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;AGSM AIM ENERGIA S.P.A.
B456F778B7;2024-11-19;ADESIONE FORNITURA ENERGIA ELETTRICA 16 SCR N. GARA 082-2024;13114754;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;NOVA AEG S.P.A
9797032E8D;2023-06-22;SISTEMI COMPLETI ANALITICI PER ANALISI CITOFLUORIMETRICHE;12943750;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;BECKMAN COULTER S.R.L.
98077646E3;2023-07-10;R.P. 13015 ADESIONE AL RINNOVO CONTRATTUALE DELLA CONVENZIONE S.C.R. PIEMONTE S.P.A. N. 28-2017 LOTTO N. 2 SERVIZIO DI GESTIONE DELLE APPARECCHIATURE ELETTROMEDICALI PRESENTI PRESSO LA CITTA` DELLA SALUTE E DELLA SCIENZA DI TORINO PER IL PERIODO;10811671;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;POLYGON S.P.A.
B232B1CB77;2024-07-29;RINNOVO FORNITURA IN SERVICE DI DISPOSITIVI MEDICI E DISPOSITIVI IMPIANTABILI ATTIVI AD ALTA SPECIALITA' OCCORRENTI ALL'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE DI RADIOLOGIA;10400000;ALTRA PROCEDURA A FASE UNICA;DISPOSITIVI E PRODOTTI MEDICI VARI;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
B1A8456B1E;2024-05-14;KEYTRUDA 25 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE - 4 ML;10171890;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MSD ITALIA S.R.L.
9839467907;2023-05-25;MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI ELEVATORI DEI PRESIDI E LOCALI DI PERTINENZA DELL'A.O.U. CITTA' DELLA SALUTE E DELLA SCIENZA DI TORINO PER GLI ANNI 2023/2026;9841589;PROCEDURA RISTRETTA;SERVIZI DI MANUTENZIONE DI ASCENSORI;FERRARI E C. S.R.L.
B18A91CFC1;2024-05-06;OPDIVO 240 - 1 FLACONCINO (VETRO) 24 ML - 10 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO;8747361;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BRISTOL-MYERS SQUIBB S.R.L.
B179418608;2024-04-30;SOLIRIS® - 300 MG CONCENTRATO PER SOLUZIONE PER INFUSIONE;8583764;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B434AA73C1;2024-11-12;SISTEMA DI PLACCHE E VITI PER IL TRATTAMENTO DI FRATTURE DI ARTO INFERIORE E SUPERIORE, IN TITANIO;8300000;PROCEDURA APERTA;IMPIANTI ORTOPEDICI;
