# Ospedali Trasparenti — contratti pubblici di AZIENDA USL DELLA VALLE D'AOSTA (ANAC)
# 2566 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B41DBB0F86;2024-11-06;SERVIZIO DI FORNITURA DELL'INCARICO DI SOMMINISTRAZIONE;45071903;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;SYNERGIE ITALIA - AGENZIA PER IL LAVORO - S.P.A.
A03FA4E5B6;2023-12-20;FORNITURA DI UN SERVICE PER LABORATORIO ANALISI;9774765;DIALOGO COMPETITIVO;SISTEMI DIAGNOSTICI;
B44E79AA86;2024-11-18;SERVICE DI CARDIOLOGIA E CHIRURGIA VASCOLARE. LOTTO 1.;5963600;AFFIDAMENTO DIRETTO;;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
B48E96E4CF;2024-12-02;FORNITURA ENERGIA ELETTRICA 2024 - 2026;4000000;AFFIDAMENTO DIRETTO;;CVA ENERGIE SRL
B31B79EB1A;2024-09-19;ACQUISTO PC WORK STATION GRAFICHE;2998076;AFFIDAMENTO DIRETTO;COMPUTER MODELLO DESKTOP;ITALWARE - S.R.L.
B36123EC6B;2024-10-09;GARA SARDEGNA – LOTTO 4 - MICROINFUSORI CON SISTEMA DI GESTIONE TELECOMANDATO (PATCH PUMP) ASSOCIABILE/INTEGRABILE CON SISTEMA CGM DESTINATI AI PAZIENTI DELLA REGIONE AUTONOMA DELLA VALLE D'AOSTA;2941500;AFFIDAMENTO DIRETTO;PRESIDI DIAGNOSTICI;BIOCHEMICAL SYSTEMS INTERNATIONAL S.P.A.
9470010379;2023-01-10;MISSIONE 6, COMPONENT 2, INTEVENTO 1.1 AMMODERNAMENTO DEL PARCO TECNOLOGICO GRANDI APPARECCHIATURE (PNRR) - ACCORDO QUADRO AVENTE AD OGGETTO LA FORNITURA DI TOMOGRAFI PET/CT, SERVIZI CONNESSI, DISPOSITIVI E SERVIZI OPZIONALI PER LE PUBBLICHE AMMINISTRAZIONI - ID2489;2500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER TOMOGRAFIA;SIEMENS HEALTHCARE S.R.L.
A0375068FE;2023-12-04;ENERGIA ELETTRICA 2024;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;EROGAZIONE DI ENERGIA ELETTRICA;
977974982D;2023-04-28;GESTIONE PRONTO SOCCORSO ORTOPEDICO, BASSA E MEDIA INTENSITA' E STRKE UNIT;1870108;PROCEDURA APERTA;SERVIZI DI ASSISTENZA OSPEDALIERA;
B4EB8276B0;2024-12-20;PIATTAFORMA COSTITUITA DA STRUMENTI MO-DULARI PER LA DIAGNOSI RAPIDA AUTOMATICA PER IL MONITORAGGIO DELLE INFEZIONI RESPIRATORIE;1734971;PROCEDURA APERTA;REATTIVI PER LABORATORIO;BIOMERIEUX ITALIA SPA
B0FB404DA0;2024-03-26;PEMBROLIZUMAB 100G/4ML EV - 1 FL;1711138;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MERCK SHARP & DOHME ITALIA S.P.A.
B057AA3FB2;2024-02-12;ADESIONE ALL’ACCORDO QUADRO DENOMINATO DIALISI 4;1677404;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;FRESENIUS MEDICAL CARE ITALIA SPA
B2CB616D85;2024-08-19;ADESIONE AL RINNOVO DELLA CONVENZIONE STIPULATA DA INVA SPA CON LA DITTA SANTEX SPA DI MILANO PER LA FORNITURA DI AUSILI PER INCONTINENZA A MINOR IMPATTO AMBIENTALE E LA PRESTAZIONE DI SERVIZI CONNESSI PER PAZIENTI IN REGIME DI DOMICILIO - LOTTO 2, PER UN PERIODO DI MESI 24;1600000;AFFIDAMENTO DIRETTO;;SANTEX S.P.A.
B4FB15F01F;2024-12-27;SISTEMA DI ARTRODESI OCCIPITO CERVICO - TORACO- ILEO - LOMBO SACRALE;1573440;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;JOHNSON & JOHNSON MEDICAL S.P.A.
B1EC813970;2024-06-03;FORNITURA IN SERVICE DI SISTEMA DI TERAPIA A PRESSIONE NEGATIVA;1560000;PROCEDURA APERTA;MATERIALI MEDICI;LOHMANN & RAUSCHER S.R.L.
A04D99BBC1;2024-01-01;BILEVEL ST CON CONTROLLO DI VOLUME - SENZA PILA INTEGRATA - LOTTO 2 - MEDIGAS;1471287;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI RESPIRATORI PER USO MEDICO;
B3E81CFDD8;2024-10-23;FORNITURA DI UNA PIATTAFORMA STRUMENTALE E KIT PER ANALISI MOLECOLARI DIAGNOSTICHE E PREDITTIVE DI RISPOSTA ONCOLOGICHE;1422600;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DIATECH PHARMACOGENETICS SOCIETA' A RESPONSABILITA' LIMITATA
B45485A1BC;2024-11-19;SERVICE DI RADIOLOGIA E TERAPIA DEL DOLORE. LOTTO 2.;1420400;AFFIDAMENTO DIRETTO;;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
9720017BC4;2023-05-02;FORNITURA E INSTALLAZIONE DI UNA APPARECCHIATURA 'GAMMA CAMERA' SPECT/TC;1286680;PROCEDURA APERTA;APPARECCHI PER TOMOGRAFIA;
98381076B9;2023-06-21;PROCEDURA APERTA PER LA FORNITURA DI SISTEMI DIAGNOSTICI PER ALLERGOLOGIA E AUTOIMMUNITA' DA DESTINARE ALLA S.C. ANALISI CLINICHE DELL'AZIENDA USL DELLA VALLE D'AOSTA..;1244320;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;THERMO FISHER DIAGNOSTICS S.P.A.
