# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI LECCO (ANAC)
# 54 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B14E38B042;2024-04-17;ADESIONE ALLA CONVENZIONE TAKEDA ITALIA - ARIA_2021_025.3R LOTTO 677;708300;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TAKEDA ITALIA S.P.A.
A05B9615AA;2024-05-29;ADESIONE CONVENZIOPNE ARIA_2023_021 - LOTTO 7 ZIMMER;505664;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI ORTOPEDICHE;
B1735660E8;2024-04-29;ADESIONE ALLA CONVENZIONE VACCINI ARIA - GLAXOSMITHKLINE - ARIA_2023_028 - LOTTI 1 E 4;415250;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;HALEON ITALY S.R.L.
B1A78E278F;2024-05-14;ADESIONE ALLA CONVENZIONE PFIZER - ARIA_2023_011.16 LOTTO 32;220878;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PFIZER S.R.L.
B1011138FE;2024-03-27;ADESIONE ALLA CONVENZIONE FARMACI ARIA SCIENSUS INTERNATIONAL - ARIA_2023_011.4/L30;146169;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SCIENSUS INTERNATIONAL B.V.
B0FE80F021;2024-03-26;ADESIONE ALLA CONVENZIONE FARMACI ARIA - IPSEN - ARIA_2021_025.3/L2006;132023;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;IPSEN SPA
B1A046025F;2024-05-10;ADESIONE ALLA CONVENZIONE MSD ITALIA - ARIA_2021_025.3 LOTTO 1796;105824;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MERCK SHARP & DOHME ITALIA S.P.A.
B102304742;2024-03-27;ADESIONE ALLA CONVENZIONE ACCORDO QUADRO - ROCHE - ARIA_2023_011.10 - LOTTO 1;105222;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE S.P.A. UNIPERSONALE
B14E5840FF;2024-04-17;ADESIONE ALLA CONVENZIONE SANOFI - ARIA_2021_025.3 LOTTO 2154;93815;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANOFI S.R.L.
B100F9E530;2024-03-27;ADESIONE ALLA CONVENZIUONE FARMACIA ARIA INFECTOPHARM - ARIA_2021_025.3/L1648;83121;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;INFECTOPHARM S.R.L.
