# Ospedali Trasparenti — contratti pubblici di ASL DI LODI (ANAC)
# 2274 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0594EAE2B;2024-05-09;ADESIONE ARIA_2023_011.16 LOTTO 23 PEMBROLIZUMAB (KEYTRUDA) 25 MG/ML 4 ML- FL CONCENTRATO PER SOLUZIONE PER INFUSIONE;174358627;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B318DE5CDC;2024-09-20;SERVIZIO DI STERILIZZAZIONE COMPRENSIVO DELLA GESTIONE-NOLEGGIO-MANUTENZIONE E SOSTITUZIONE DELLO STRUMENTARIO CHIRURGICO E DI ALTRI DISPOSITIVI MEDICI UTILIZZATI PER L'ATTIVITÀ DELLA SALA OPERATORIA, DEI REPARTI E DEI SERVIZI AMBULATORIALI, OCCORRENTE ALLA ASST DI LODI PER IL PERIODO DI 60 MESI;21523063;PROCEDURA APERTA;SERVIZI SANITARI;STERITALIA S.P.A.
B2E229AC52;2024-09-02;SISTEMA DI ASSISTENZA VENTRICOLARE SINISTRA CON POMPA COASSIALE;10237500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A06045C5E1;2024-08-02;ADESIONE ALLA PROCEDURA CONCORSUALE 'APERTA' IN FORMA AGGREGATA PER L'AFFIDAMENTO DEL SERVIZIO DI SORVEGLIANZA E PRONTO INTERVENTO ANTINCENDIO ED EMERGENZA. AGGIUDICAZIONE DEL LOTTO 2 RELATIVO ALLE ASST BERGAMO EST, ASST CREMA, ASST FRANCIACORTA E ASST DEL GARDA (MANDANTI) - LOTTO 2;8713319;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
A059073EEF;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - MEDTRONIC ITALIA - ARIA_2022_017 - LOTTO 4;5698690;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;MEDTRONIC ITALIA S.P.A.
B2E2298AAC;2024-09-02;SISTEMA DI LITOTRISSIA INTRAVASCOLARE CON GENERATORE IN COMODATO D'USO;5411250;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A014E81B66;2023-09-26;SERVIZIO DI SUPPORTO GESTIONALE PER L'ESECUZIONE DI TOMOGRAFIE A RISONANZA MAGNETICA E DI ECOGRAFIE OCCORRENTI ALL'AZIENDA SOCIO SANITARIA TERRITORIALE DI LODI - RINNOVO CONTRATTUALE;5400000;AFFIDAMENTO DIRETTO;ALTRI SERVIZI;ALLIANCE MEDICAL SRL
9500781481;2023-01-27;SERVIZIO DI TRASPORTO SANITARIO PROGRAMMATO, TRASPORTO SANITARIO EMERGENTE/URGENTE E TRASPORTO DI SANGUE, EMOCOMPONENTI, CAMPIONI E MATERIALE BIOLOGICO, ALTRI BENI, OCCORRENTE ALLA ASST LODI PER IL PERIODO DI 60 MESI;4744167;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI AMBULANZA;Operatore individuale (persona fisica)
B2E229CDF8;2024-09-02;SISTEMA DI TROMBOASPIRAZIONE MANUALE PER EMBOLIA POLMONARE;4504500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E22A663B;2024-09-02;SISTEMA PER ECOGRAFIA INTRAVASCOLARE E MISURAZIONE DELLA PRESSIONE E COMPRENSIVA DEL RELATIVO MATERIALE DI CONSUMO;4059900;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E22A121C;2024-09-02;SISTEMA PER CHIUSURA DELL'AURICOLA SINISTRA A CORPO UNICO E A DOPPIO DISCO;4056000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A059087F70;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - MOVI - ARIA_2022_017 - LOTTO 4;3944681;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;MOVI SPA
A0590A5834;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - THERAS LIFETECH - ARIA_2022_017 - LOTTO 5;3536052;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;THERAS LIFETECH S.R.L.
B426D78CF7;2024-11-06;FORNITURA DI ENERGIA ELETTRICA ANNO 2025;3500000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
9855995060;2023-06-01;RECEPIMENTO DELL'ESITO DELLA PROCEDURA APERTA IN FORMA AGGREGATA, PER LA FORNITURA DEL SERVIZIO DI CUP TELEFONICO AZIENDALE E SERVIZI AMMINISTRATIVI DI FRONT-OFFICE E BACK-OFFICE, PER UN PERIODO DI 48 MESI EVENTUALMENTE RINNOVABILI FINO AD ULTERIORI 48 - LOTTO 2;3410880;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;ACAPO - SOCIETA' COOPERATIVA SOCIALE INTEGRATA
A019904897;2023-10-04;FORNITURA DI ENERGIA ELETTRICA;3400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
B2E22A33C2;2024-09-02;CATETERI A PALLONCINO NON COMPLIANTI;3385200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E22A0149;2024-09-02;SISTEMA PER CHIUSURA DELL'AURICOLA SINISTRA A CORPO UNICO;3042000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E229F076;2024-09-02;MATERIALE DI CONSUMO PER INIETTORE ACIST;2611440;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
99075733E2;2023-06-21;GARA D'APPALTO A PROCEDURA APERTA, ATTRAVERSO IL SISTEMA INFORMATICO DI NEGOZIAZIONE SINTEL, AI SENSI DELL'ART. 60 DEL D. LGS. N. 50/2016 E SS.MM.II., IN COMBINATO DISPOSTO CON GLI ARTT. 2 COMMI 1 E 2, 8 COMMA 1 LETTERA A) E C) DELLA LEGGE N. 120/2020 COME MODIFICATA DALL'ART. 51 COMMA 1 DELLA LEGGE;2535000;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;
