# Ospedali Trasparenti — contratti pubblici di ASL DI MILANO (ANAC)
# 1059 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9553440416;2023-01-27;FORNITURA IN SERVICE DI UN SISTEMA ANALITICO INTEGRATO PER PRE/POSTANALITICA, CHIMICA CLINICA E IMMUNOCHIMICA MARCATA PER 60 MESI;17820250;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
971675470F;2023-03-16;SERVIZIO DI ANESTESIA E RIANIMAZIONE PRESSO I PRESIDI OSPEDALIERI DELL'ASST NORD MILANO;7643388;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VARI SERVIZI SANITARI;GAP MED SOCIETA' TRA PROFESSIONISTI S.P.A.
96255127C7;2023-01-27;AFFIDAMENTO DEI SERVIZI INFERMIERISTICI, RIABILITATIVI-EDUCATIVI, DI ASSISTENZA TUTELARE E DI ASSISTENZA PSICOLOGICA E SOCIALE NELL'AMBITO DI UNITÀ D'OFFERTA O ATTIVITÀ DEL DIPARTIMENTO DI SALUTE MENTALE E DEI DIPARTIMENTI MEDICO E DELLA RIABILITAZIONE PRESSO ASST NORD MILANO DAL 01 GENNAIO 2023 AL ;5838276;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI;PROGES Soc.Cooperativa Sociale
9753000E32;2023-04-12;ADESIONE EX POST ALLA PROCEDURA APERTA IN FORMA AGGREGATA ESPERITA DALL' ISTITUTO FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI (ENTE CAPOFILA) E ASST MELEGNANO - MARTESANA, PER LA FORNITURA IN FULL SERVICE DI SISTEMI COMPLETI PER L'ESECUZIONE DI ESAMI DI CHIMICA CLINICA E IMMUNOCHIMICA COSTITUITI ;4292520;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;ROCHE DIAGNOSTICS S.P.A.
995001869A;2023-07-19;RINNOVO DEL CONTRATTO DI RISTORAZIONE OSPEDALIERA, AI SENSI DELL'ART. 63, COMMA 5, DEL D. LGS. N. 50/2016, NELLE MORE DELL'ATTIVAZIONE DELLA CONVENZIONE DI ARIA_2023_048 - RISTORAZIONE, RELATIVA AL MEDESIMO SERVIZIO, PER UN PERIODO DI 18 MESI, DAL 01 AGOSTO 2023 AL 31 GENNAIO 2025;3979731;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI DISTRIBUZIONE PASTI;BLUE LION FOOD S.P.A.
9543793B1F;2023-01-01;ADESIONE ALLA CONVENZIONE ARIA_2021_057 SERVICE DI OSSIGENOTERAPIA LOTTO 1;3949764;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;MEDICAIR ITALIA S.R.L.
9610193624;2023-01-24;SERVIZIO DI COPERTURA ASSICURATIVA A GARANZIA DEL RISCHIO RESPONSABILITA' CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA PER 36 MESI - RIPETIZIONE DEL CONTRATTO AI SENSI DELL'ART.63 COMMA 5 DLGS 50/2016 LOTTO 5;3564000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;RELYENS MUTUAL INSURANCE
96544808ED;2023-02-15;ADESIONE ALLA CONVENZIONE CONSIP 'ENERGIA ELETTRICA 19 - LOTTO 2' PER LA FORNITURA DI ENERGIA ELETTRICA NEI PRESIDI OSPEDALIERI E NELLE STRUTTURE TERRITORIALI DELL'ASST NORD MILANO - FORNITORE: ENEL ENERGIA S.P.A. (PERIODO 01/05/2023 - 30/04/2024). CIG MASTER N. 8768329DFB;3400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
9594266EC1;2023-01-12;PRESA D'ATTO DELL'ESITO DELL'AGGIUDICAZIONE DELLA GARA EUROPEA A PROCEDURA APERTA PER L'AFFIDAMENTO DI CONTRATTI AVENTI AD OGGETTO SERVIZI DI TRASPORTO SANITARIO E TRASPORTO SANGUE, EMOCOMPONENTI, CAMPIONI E MATERIALE BIOLOGICO, ALTRI BENI PER UN PERIODO DI 24 MESI, OLTRE A CLAUSOLA OPZIONALE DI RIN;2708887;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI AMBULANZA;FIRST AID ONE ITALIA COOPERATIVA SOCIALE IN LIQUIDAZIONE
B5106B7FA9;2024-12-31;CONTRATTO PONTE SERVIZIO DI PULIZIA E SANIFICAZIONE AMBIENTALE;2694480;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA E DISINFESTAZIONE;MARKAS S.R.L.
B4FE6597D4;2024-12-24;CONTRATTO PONTE SERVIZIO DI PULIZIA E SANIFICAZIONE AMBIENTALE;2694480;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA E DISINFESTAZIONE;
A00BD53D0B;2023-09-25;PROGETTAZIONE ESECUTIVA ED ESECUZION LAVORI CDC VIA TOBAGI, CORMANO;2666877;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;BRANCACCIO COSTRUZIONI S.P.A.
A00C05694C;2023-09-25;PROGETTAZIONE ESECUTIVA ED ESECUZIONE LAVORI ODC VIA TOBAGI, CORMANO;2514312;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;BRANCACCIO COSTRUZIONI S.P.A.
