# Ospedali Trasparenti — contratti pubblici di AGENZIA DI TUTELA DELLA SALUTE DELLA MONTAGNA (ANAC)
# 109 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9890893F19;2023-08-24;EFFICIENTAMENTO ENERGETICO E ABBATTIMENTO BARRIERE ARCHITETTONICHE SEDE ATS DELLA MONTAGNA DI VIA N. SAURO 36/38 - SONDRIO;1829224;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;INSTALLAZIONE DI FINESTRE;GERDAN S.R.L.
A0439B57F4;2024-01-01;POLIZZA RCTO;750000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED
A037832714;2024-01-01;SERVIZIO DI PULIZIA IMMOBILI - CONVENZIONE CONSIP;485621;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
95723053FA;2023-01-03;NOLEGGIO 28 VETTURE OPERATIVE - ACCORDO QUADRO CONSIP;378740;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
9711237E47;2023-05-01;LICENZE MICROSOFT OFFICE - ADESIONE CONVENZIONE CONSIP;231358;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;TIM S.P.A.
9578856209;2023-01-03;LICENZE SOFTWARE E SERVIZI CONNESSI - DEDALUS LOTTO 116 NFS;221044;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;DEDALUS ITALIA S.P.A.
B0B2CC6A94;2024-03-08;POLIZZA KASKO ATS DI BERGAMO;213000;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI AUTOVEICOLI;HDI ASSICURAZIONI S.P.A.
96267136E0;2023-03-29;SERVIZI DI PROGETTAZIONE ACCORDO QUADRO ARAI_2020_143.2-2021.1_AQ;210000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGETTAZIONE ARCHITETTONICA;Operatore individuale (persona fisica)
B482AE58C0;2024-11-28;FORNITURA DI FUEL CARD PER CARBURANTE;168438;AFFIDAMENTO DIRETTO;BENZINA SENZA PIOMBO;KUWAIT PETROLEUM ITALIA S.P.A.
95789954BD;2023-01-03;LICENZE SOFTWARE E SERVIZI CONNESSI - DEDALUS LOTTO 57 SCREENING;155891;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;DEDALUS ITALIA S.P.A.
B25CBB9A53;2024-07-05;SERVIZIO DI RECAPITO DELLA CORRISPONDENZA MASSIVA - LOTTO 1;111618;AFFIDAMENTO DIRETTO;SERVIZI POSTALI;POSTE ITALIANE
B0B2CC7B67;2024-03-08;POLIZZA KASKO ATS DELLA VAL PADANA;106500;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI AUTOVEICOLI;BALCIA INSURANCE SE
9635957345;2023-03-01;SERVIZIO DI ACCALAPPIAMENTO CANI ATS DELLA MONTAGNA AREA VALCAMONICA;104833;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI VETERINARI A DOMICILIO;Operatore individuale (persona fisica)
9894708B57;2023-06-29;SERVIZIO ASSICURATIVO POLIZZA RC PATRIMONIALE ATS DELLA VALPADANA;100000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE;LLOYD'S INSURANCE COMPANY S.A.
B4818CB8A7;2024-11-28;PRIMO SOCCORSO VETERINARIO;99920;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);SERVIZI VETERINARI;Operatore individuale (persona fisica)
B453353789;2024-11-19;PROCEDURA NEGOZIATAIN FORMA AGGREGATA PER L'AFFIDAMENTO DELLA FORNITURADI PASSAPORTI PER ANIMALI DA COMPAGNIA:CANI, GATTI E FURETTI, OCCORRENTI ALLE ATS LOMBARDE;98800;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);PASSAPORTI;CISCRA S.P.A.
A00C872A77;2023-09-14;SERVIZI PROFESSIONALI IN AMBITO ICT - GIORNATE A CONSUMO;93180;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA TECNICA INFORMATICA;DEDALUS ITALIA S.P.A.
B482FD9F21;2024-11-28;FORNITURA DI FUEL CARD PER CARBURANTE;92043;AFFIDAMENTO DIRETTO;BENZINA SENZA PIOMBO;ITALIANA PETROLI SPA
9882877818;2023-06-29;SERVIZIO ASSICURATIVO POLIZZA RC PATRIMONIALE ATS DELLA MONTAGNA;87500;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE;LLOYD'S INSURANCE COMPANY S.A.
B3F75DC382;2024-10-23;CYBER SICURITY 2 - SERVIZI CONNESSI;84843;AFFIDAMENTO DIRETTO;PACCHETTI SOFTWARE E SISTEMI INFORMATICI VARI;TIM S.P.A.
