# Ospedali Trasparenti — contratti pubblici di AGENZIA DI TUTELA DELLA SALUTE DELLA VAL PADANA (ANAC)
# 256 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2C4E267E9;2024-08-12;SERVIZIO DI TRASPORTO, DISTRUZIONE E SMALTIMENTO DI CARCASSE ANIMALI DERIVANTI DALL'ABBATTIMENTO OBBLIGATORIO AI SENSI DELLA NORMATIVA NAZIONALE E COMUNITARIA;19999999;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI TRASPORTO TERRESTRE;GASTOLDI E FERRI S.R.L.
98010756F3;2023-05-12;RISTRUTTURAZIONE EDIFICIO G - SEDE TERRITORIALE DI CREMONA, VIA SAN SEBASTIANO, 14 CR;1840000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI RISTRUTTURAZIONE;MAR.SAL. RESTAURI S.R.L.
A048A0F6DB;2023-12-29;PRESA D'ATTO AGGIUDICAZIONE AFFIDAMENTO POLIZZA RCT/O (ATS BS CAPOFILA);1789740;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
A01A61C6C0;2023-12-29;ADESIONE CONV. CONSIP SERVIZI DI PULIZIA ED IGIENE AMBIENTALE - LOTTO 11 (ACCESSORIO);1613574;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B1AA6BBD3B;2024-05-14;FORNITURA BUONI PASTO ELETTRONICI;1528800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PELLEGRINI S.P.A.
9659977134;2023-03-02;ADESIONE ARIA_2019_140 - AVIARIA 2022;1323074;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ZOOLOGICI;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
9650357E83;2023-02-09;BUONI PASTO - II ADESIONE CONSIP BUONI PASTO 9 - DAY;1080080;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;BUONI PASTO;DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT
A065B90C38;2024-12-11;ADESIONE ARIA_2023_061 AVIARIA E PSA;796516;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
A05348A633;2024-03-22;ADESIONE ARIA_2023_405LOTTO 9 - MANUTENZIONE EDILE;607695;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;C.N. COSTRUZIONI GENERALI S.P.A.
9575402FB0;2023-01-04;ADESIONE GARA (ATS MILANO CAPOFILA) SERVIZIO DI NOLEGGIO SPETTROMETRO DI MASSA;547957;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SPETTROMETRI DI MASSA;AB SCIEX S.R.L.
