# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE GRANDE OSPEDALE METROPOLITANO NIGUARDA (ANAC)
# 4285 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9628601CE5;2023-03-14;LOTTO 1 - DISPOSITIVI MEDICI OCCORRENTI ALL'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE PER EMODINAMICA, CARDIOLOGIA, CARDIOLOGIA PEDIATRICA E RADIOLOGIA INTERVENTISTICA;91599911;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
9628622E39;2023-03-14;LOTTO 2 - DISPOSITIVI MEDICI OCCORRENTI ALL'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE PER NEURORADIOLOGIA;59796715;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
A023DDAF79;2023-12-06;APPARECCHIATURE DI PRODUZIONE ELEKTA E APPARECCHIATURE AD ESSE COLLEGATE;25469502;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;ELEKTA S.P.A.
A023D8CF1B;2023-12-06;APPARECCHIATURE DI PRODUZIONE SIEMENS E APPARECCHIATURE AD ESSE COLLEGATE;25278520;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;SIEMENS HEALTHCARE S.R.L.
B3F1862FD5;2024-10-23;FORNITURA DI TOMOGRAFO PET CT;25200000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;APPARECCHI PER TOMOGRAFIA;
B36A3503AD;2024-10-11;GARA A PROCEDURA TELEMATICA NEGOZIATA SENZA PUBBLICAZIONE DI UN BANDO PER L'AGGIUDICAZIONE DEL CONTRATTO AVENTE AD OGGETTO LA FORNITURA DI ESOPROTESI COCLEARI, ANTENNE, SPEECH PROCESSOR, CAVETTI, MAGNETI, TRASMETTITORI, MICROFONI E CONTROLLER PER IMPIANTI COCLEARI COCHLEAR;24295808;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;IMPIANTI COCLEARI;
B437BF42EF;2024-11-11;FORNITURA A NOLEGGIO DI UN TOMOGRAFO PET CT;16224000;AFFIDAMENTO DIRETTO;APPARECCHIATURE BIOMEDICHE;S.I.P.A.R. S.R.L.
B0AC0590CA;2024-03-05;ADESIONE A.Q. DISPOSITIVI PER PAZIENTI DIABETICI - ABBOTT - ARIA_2022_017/L6;15866426;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBOTT S.R.L.
A01FA50354;2023-12-14;LOTTO 1 - FORNITURA DISPOSITIVI MEDICI SERVIZIO EMODINAMICA, CARDIOLOGIA, CARDIOLOGIA PEDIATRICA E RADIOLOGIA INTERVENTISTICA;15250044;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
B06EC14F1B;2024-02-19;ADESIONE ALL’A.Q. DISPOSITIVI PER PAZIENTI DIABETICI - MEDTRONIC -ARIA_2022_017/L4;15160664;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDTRONIC ITALIA S.P.A.
9700445473;2023-03-08;FORNITURA DI GAS NATURALE;15000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS NATURALE;HERA COMM S.P.A.
B4636C3FBE;2024-11-22;CON DELIBERAZIONE DEL DIRETTORE GENERALE N.1343 DEL 18/11/2024 QUESTA AMMINISTRAZIONE HA DELIBERATO DI INDIRE UNA PROCEDURA APERTA PER L'AGGIUDICAZIONE DEL CONTRATTO AVENTE AD OGGETTO LA FORNITURA DI SET PROCEDURALI STERILI IN TNT CON RELATIVI SERVIZI.;13035158;PROCEDURA APERTA;MATERIALI MEDICI;
A000D7B0AE;2023-08-08;SISTEMI COMPLETI PER L'ESECUZIONE DI ESAMI DI CHIMICA CLINICA E IMMUNOCHIMICA;11426681;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;ROCHE DIAGNOSTICS S.P.A.
A0200C89E5;2023-12-14;LOTTO 2 - FORNITURA DISPOSITIVI MEDICI PER ALL'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE CON RELATIVA GESTIONE DI MAGAZZINO PER IL SERVIZIO DI NEURORADIOLOGIA INTERVENTISTICA;9965535;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
B0DE3C51FE;2024-03-18;ADESIONE ARIA_2022_017/L4 DISPOSITIVI PER PAZIENTI DIABETICI;9695063;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MOVI SPA
B0DE323C4B;2024-03-18;ADESIONE ARIA_2022_017/L4 DISPOSITIVI PER PAZIENTI DIABETICI;9695063;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MOVI SPA
9746786640;2023-03-01;MIGLIORAMENTO ANTISISMICO E ADEGUAMENTO ANTINCENDIO P30;9504259;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
A023DC3C7F;2023-12-06;APPARECCHIATURE DI PRODUZIONE GE E APPARECCHIATURE AD ESSE COLLEGATE;7490403;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;GE MEDICAL SYSTEMS ITALIA S.P.A.
96314468AB;2023-02-16;SERVICE DI OSSIGENOTERAPIA;7170172;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;VIVISOL SRL
974581876E;2023-03-01;RISTRUTTURAZIONE E ADEGUAMENTO NORMATIVO SICUREZZA;6745076;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
99320391DE;2023-06-28;IMBRUVICA 420 MG 30 CPR;6446250;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
974643007A;2023-03-01;MIGLIORAMENTO ANTISISMICO E ADEGUAMENTO ANTINCENDIO P7;5945517;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
