# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE SANTI PAOLO E CARLO (ANAC)
# 1804 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B10AB5BA1F;2024-03-28;FORNITURA DI LICENZE DI POSTA ELETTRONICA;161849127;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TIM S.P.A.
B2B00E121A;2024-08-02;SERVIZIO SOSTITUTIVO MENSA TRAMITE BUONI PASTO ELETTRONICI;158438462;AFFIDAMENTO DIRETTO;BUONI PASTO;PELLEGRINI S.P.A.
9665187C9E;2023-04-20;LOTTO 2 PROTESI PER ESCLUSIONE ENDOVASCOLARE DELL'AORTA ADDOMINALE CON FISSAGGIO SOTTORENALE;57791857;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;H.S. - S.R.L.
9665218635;2023-04-20;LOTTO 3-PROTESI PER ESCLUSIONE ENDOVASCOLARE DELL'AORTA ADDOMINALE CON FISSAGGIO SOVRARENALE IN PRESENZA DI COLLETTO AORTICO PROSSIMALE BREVE (INFERIORE O UGUALE A 1 CM) E/O ANGOLATO (>=65^) O EQUIVALENTE;37904437;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;ARTIVION ITALY S.R.L.
A041B11EDF;2024-01-30;FORNITURA FULL SERVICE DI SISTEMI DIAGNOSTICI, PREANALITICI ED ANALITICI PER CHIMICA CLINICA, IMMUNOMETRIA, IMMUNOLOGIA E VIROLOGIA OCCORRENTE ALLA S.C. LABORATORIO DI ANALISI CHIMICO CLINICHE DELL'ASST SANTI PAOLO E CARLO;36152283;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
958853770B;2023-04-28;FORNITURA FULL SERVICE DI SISTEMI DIAGNOSTICI, PREANALITICI ED ANALITICI PER CHIMICA CLINICA, IMMUNOMETRIA, IMMUNOLOGIA E VIROLOGIA;31804500;PROCEDURA APERTA;SISTEMA DI CHIMICA CLINICA;ROCHE DIAGNOSTICS S.P.A.
96644994DF;2023-04-20;LOTTO 1-PROTESI PER ESCLUSIONE ENDOVASCOLARE DELL'AORTA TORACICA O EQUIVALENTE;29727247;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;W.L. GORE & ASSOCIATI S.R.L.  CON SIGLA GORE S.R.L.
95326217B3;2023-02-02;GESTIONE MANUTENZIONE DEL SERVIZIO DI STERILIZZAZIONE;27896732;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
A0428E14E2;2024-01-15;SERVIZIO DI PULIZIA E DISINFESTAZIONE DEGLI AMBIENTI PER L'ASST SANTI PAOLO E CARLO AFFIDATO IN ADESIONE ALLA CONVENZIONE CONSIP 'SERVIZI DI PULIZIA, DI SANIFICAZIONE ED ALTRI SERVIZI PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE AI SENSI DELL'ART. 26 LEGGE N. 488/1999 E S.M.I. E DELL'ART. 58 LEGGE ;26764995;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
96652890CE;2023-04-20;LOTTO 4-ENDOPROTESI TORACO-ADDOMINALE FENESTRATA CUSTOM MADE O EQUIVALENTE;22692245;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;COOK ITALIA S.R.L.
