# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE FATEBENEFRATELLI SACCO (ANAC)
# 2827 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
976460789A;2023-05-01;ADESIONE ALLA CONVENZIONE ARIA_2021_078 SERVIZI DI PULIZIA E DISINFEZIONE DI AMBIENTI SANITARI - LOTTO 1 ASST FATEBENEFRATELLI SACCO;25893344;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
9830229199;2023-06-12;PLACCA PER FRATTURE PERIPROTESICHE DI FEMORE/TIBIA/OMERO IN TITANIO CON FORI MULTIPLI E VITI POLIASSIALI CON POSSIBILITA' DI STABILITA' ANGOLARE - LOTTO 63.;21844656;PROCEDURA APERTA;MATERIALE ORTOPEDICO;
970091042E;2023-03-28;PNRR - MISSIONE 6 COMPONENT 1 E COMPONENT 2 E PNC - LAVORI CF 2;20618858;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;S.A.C. - SOCIETA' APPALTI COSTRUZIONI - SOCIETA' PER AZIONI
B299B75DE6;2024-07-26;servizio di odontoiatria;18700000;PROCEDURA APERTA;Servizi di gabinetti odontoiatrici e servizi affini;
9700959C9B;2023-03-21;PNRR - MISSIONE 6 COMPONENT 1 E COMPONENT 2 E PNC - LAVORI CF 3;17937586;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;S.A.C. - SOCIETA' APPALTI COSTRUZIONI - SOCIETA' PER AZIONI
B2A47C3E9F;2024-07-31;FORNITURA IN NOLEGGIO DI N. 15 TAVOLI OPERATORI CON PIANI TRASFERIBILI;16986667;PROCEDURA APERTA;TAVOLI OPERATORI;
97288737F9;2023-04-26;LOTTO 1 - OSPEDALE LUIGI SACCO;16166324;PROCEDURA APERTA;SERVIZI DI PREPARAZIONE PASTI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
9819296366;2023-06-12;SISTEMI DI PLACCHE PERIARTICOLARI E VITI IN TITANIO PER GRANDI FRAMMENTI A STABILITA' ANGOLARE FEMORE E TIBIA CON POSSIBILITA' DI INSERIMENTO CON TECNICA MINIINVASIVA - LOTTO 6.;15392736;PROCEDURA APERTA;PROTESI ORTOPEDICHE;STRYKER ITALIA S.R.L.
9700682806;2023-03-28;PNRR - MISSIONE 6 COMPONENT 1 E COMPONENT 2 E PNC - LAVORI CF 1;14927744;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;S.A.C. - SOCIETA' APPALTI COSTRUZIONI - SOCIETA' PER AZIONI
A04F324E41;2023-10-24;FORNITURA IN SERVICE DI UN SISTEMA DI ANALISI 'HIGH TROUGHPUT SEQUENCING' PER LA RICERCA DI ALTERAZIONI MOLECOLARI IN GENOMI UMANI;14924000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DIAGNOSTICI;TECHNOGENETICS S.P.A.
