# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE CENTRO SPECIALISTICO ORTOPEDICO TRAUMATOLOGICO GAETANO PINI/CTO (ANAC)
# 818 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
962376561C;2023-02-08;PROCEDURA APERTA, AI SENSI DELLA LEGGE N. 120/2020 E DEL D.LGS. N. 50/2016, PER L'AFFIDAMENTO DEL SERVIZIO DI CASSA E TESORERIA;500000000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B32BB80168;2024-09-25;RETI LAN 8;145154413;AFFIDAMENTO DIRETTO;RETE LOCALE;VODAFONE ITALIA S.P.A.
B42AD5A4B9;2024-11-07;GARA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO PER LA FORNITURA DI SUTURE CHIRURGICHE DESTINATE ALLA CHIRURGIA GENERALE PER LE PUBBLICHE AMMINISTRAZIONI - LOTTO 9;30000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
99114757E9;2023-07-05;L 3 IMPIANTO COMPLETO GINOCCHIO PER IL TRATTAMENTO DI PATOLOGIA TUMORALE;24191718;PROCEDURA APERTA;PROTESI ORTOPEDICHE;LINK ITALIA SPA
98570295A7;2023-06-05;LOTTO 2 PLACCHE ARTO SUPERIORE;18900000;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;HOFER MEDICAL ITALIA S.R.L.
98571319D2;2023-06-05;LOTTO 9 CHIODO ENDOMIDOLLARE;15702714;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;SMITH & NEPHEW
9964267540;2023-02-16;PROCEDURA DI GARA APERTA, AI SENSI DELLA LEGGE N. 120/2020 EDEL D.LGS. 50/2016, PER L'AFFIDAMENTO DEI SERVIZI DIASSISTENZA INFERMIERISTICA E TUTELARE, ASSISTENZARIABILITATIVA E ASSISTENZA AI PAZIENTI IN IDROKINESITERAPIAPER IL POLO FANNY FINZI OTTOLENGHI, PER UN PERIODO DI 48MESI;14778240;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI OSPEDALIERI E AFFINI;
98570685D6;2023-06-05;LOTTO 5 PLACCHE TIBIA/PERONE;10914242;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;SMITH & NEPHEW
9723321253;2023-04-05;L 4 IMPIANTO DI ENDORTESI PER LA CORREZIONE DELLA PATOLOGIA DEL PIEDE IPERPRONATO E PER LA STABILIZZAZIONE DELL'ARTICOLAZIONE SOTTO ASTRAGALICA IN TITANIO (C.D. PIEDE PIATTO);10487880;PROCEDURA APERTA;PROTESI ORTOPEDICHE;MIKAI SPA
B42BA93E1A;2024-11-07;GARA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO PER LA FORNITURA DI SUTURE CHIRURGICHE DESTINATE ALLA CHIRURGIA GENERALE PER LE PUBBLICHE AMMINISTRAZIONI (ED.3);10000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
9911330043;2023-07-05;L 1 LEGAMENTO ARTIFICIALE GINOCCHIO;9984645;PROCEDURA APERTA;PROTESI ORTOPEDICHE;GEISTLICH BIOMATERIALS ITALIA S.R.L.
A02AAA138F;2023-11-09;AQ PROTESI GINOCCHIO - LOTTO 3 IMPIANTO COMPLETO GINOCCHIO PER IL TRATTAMENTO DI PATOLOGIA TUMORALE JONHNSON, STRYKER, LINK E ADLER;9392149;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI ORTOPEDICHE;
9857211BD6;2023-06-05;LOTTO 13 VITE CORTICALE;9291715;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
9509148D29;2023-01-25;L 3 ASST FATEBENEFRATELLI-SACCO;9240000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
B42B43E46C;2024-11-07;SUTURE CHIRURGICHE;9000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
9559284AB3;2023-01-25;L 15 ASST SETTE LAGHI;8640000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI DI PRODOTTI;
9876852C1A;2023-07-21;LOTTO 10 - ASST SETTE LAGHI;8640000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
95586943D3;2023-01-25;L 14 FONDAZIONE IRCCS OSPEDALE MAGGIORE POLICLINICO CA' GRANDA;8400000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI DI PRODOTTI;
98768309F3;2023-07-21;LOTTO 9 - IRCCS OSPEDALE MAGGIORE POLICLINICO CA' GRANDA;8400000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
9876686320;2023-07-21;LOTTO 2 - ASST FATEBENEFRATELLI - SACCO;7504163;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
98767854D2;2023-07-21;LOTTO 7 - IRCSS POLICLINICO SAN MATTEO;7330874;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
9513056627;2023-01-25;LOTTO 11 FONDAZIONE IRCCS POLICLINICO S. MATTEO;7200000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
A03EAD72A5;2024-01-01;ARIA_2023_004 L 3 ('ASSICURAZIONI - RCTO') POLIZZA RCT/O;6876563;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;
9509244C62;2023-01-25;L 6 ASST NIGUARDA;6720000;PROCEDURA APERTA;DISTRIBUTORI AUTOMATICI;
