# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE RHODENSE (ANAC)
# 2362 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A043A4F70A;2024-02-13;MICROINFUSORI DELL'INSULINA INTEGRATI CON SISTEMA DI MONITORAGGIO GLICEMICO CONTINUO PER PAZIENTI ADULTI E/O PEDIATRICI COMPRENSIVO DI ALGORITMI PER LA GESTIONE DELLA SOMMINISTRAZIONE DI INSULINA - LOTTO 4 - MEDTRONIC;8760000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;
A04389E1B9;2024-02-13;SISTEMI MONITORAGGIO GLICEMICO INTERMITTENTE PER PAZIENTI ADULTI E PEDIATRICI - FREESTYLE II - ABBOTT SRL;6583151;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;ROCHE DIABETES CARE ITALY S.P.A.
95984191EF;2023-01-31;SERVIZIO DI OSSIGENOTERAPIA ARIA_2021_057_LOTTO 10_NIPPON GASES_PERIODO: 12.1.2023-11.1.2026;6095552;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;NIPPON GASES PHARMA S.R.L.
B4D2F8FC28;2024-12-13;SERVICE DI EMODINAMICA - L1;5250479;AFFIDAMENTO DIRETTO;MATERIALI MEDICI;N.G.C. MEDICAL S.R.L.
B149754B42;2024-04-16;AQ DISPOSITIVI PER PAZIENTI DIABETICI - MOVI - ARIA_2022_017 - LOTTO 4;5016756;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MOVI SPA
96904658B0;2023-03-09;SERVIZI INFERMIERISTICI, ASSISTENZIALI, SERVIZI ALLA PERSONA E DI SUPPORTO NECESSARI AL FUNZIONAMENTO DELLA RSA S. PERTINI - PERIODO 24 MESI-;3799700;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
B131FE277B;2024-04-10;IMMUNOEMATOLOGIA;2794752;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ORTHO-CLINICAL DIAGNOSTICS S.P.A
B2CB3F6C99;2024-08-19;SERVIZIO DI SORVEGLIANZA ANTINCENDIO;2633224;AFFIDAMENTO DIRETTO;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
9550250B9B;2023-03-01;SET IN TNT STERILI E CAMICI CHIRURGICI IN TNT;2515307;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;MOLNLYCKE HEALTH CARE S.R.L.
B04E61AC7A;2024-02-08;LOTTO 20_TAFAMIDIS_COMPRESE MOLLI_61 MG_CPR/ CPS;2463297;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PFIZER S.R.L.
A029FFEC75;2023-11-23;SISTEMI DIAGNOSTICI PER SIEROLOGIA;2210561;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
B0722FE027;2024-02-19;SISTEMI DI MONITORAGGIO GLICEMICO IN CONTINU PER PAZIENTI ADULTI E/O PEDIATRICI;2111439;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;THERAS LIFETECH S.R.L.
9652499628;2023-04-13;ARIA_2022_027.2/L538 LOTTO 538 - PEMBROLIZUMAB-POLV CONC SOLUZIONE PER INFUS-100 MG-F/FL;2009088;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
A01097F8F5;2023-09-21;ADESIONE ALL'ACCORDO QUADRO ARIA_2022_012 PER L'AFFIDAMENTO DI SERVIZI APPLICATIVI PER LE PUBBLICHE AMMINISTRAZIONI - SANITA' DIGITALE - SISTEMI INFORMATIVI CLINICO ASSISTENZIALI - LOTTO 1) CARTELLA CLINICA ELETTRONICA ED ENTERPRISE IMAGING - NORD;1929417;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;GPI S.P.A.
A020A8967D;2023-10-26;SISTEMI DIAGNOSTICI SIEROLOGIA EPATITI (HBV, HCV). HIV1/2, LUE;1815905;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;ABBOTT S.R.L.
B4C7A68E4B;2024-12-12;LOTTO 17 - IVACAFTOR - CPR RIV - 150 MG - CPR;1755667;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
