# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DEI SETTE LAGHI (ANAC)
# 9828 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B5ADF11BCD;2025-02-18;ADESIONE AL SERVIZIO DI RISTORAZIONE;38861493;AFFIDAMENTO DIRETTO;SERVIZI DI PREPARAZIONE PASTI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
9951411425;2023-07-07;SCAMBI INTERAZIENDALI ATTIVITA' DI SISTEMA TRASFUSIONALE DET. 734 DEL 07.06.2022;35090705;PROCEDURA RISTRETTA;APPARECCHI E STRUMENTI PER TRASFUSIONE E INFUSIONE;Operatore individuale (persona fisica)
B12F20E5EE;2024-04-10;LOTTO 4 YPSOMED MICROINF.;33966321;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;YPSOMED ITALIA SRL
B9D06741C3;2025-12-29;PRESA D`ATTO DELLA DETERMINAZIONE N. 1023 DI AGGIUDICAZIONE DELLA PROCEDURA ``ARIA_2025_022 - GARA PER L`AFFIDAMENTO DEL SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA – ED. 17 ADOTTATA DALLA AZIENDA REGIONALE PER L`INNOVAZIONE E GLI ACQ;30186482;AFFIDAMENTO DIRETTO;SERVIZI DI ASSICURAZIONE DI GESTIONE DEI RISCHI;Operatore individuale (persona fisica)
B12EF26FF3;2024-04-10;LOTTO 4 MEDTRONIC GLICEMIA;26806715;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDTRONIC ITALIA S.P.A.
B7414BE9B0;2025-06-16;VENTILAZIONE NON INVASIVA - APPARECCHIO A PRESSIONE POSITIVA CONTINUA – CPAP;24122908;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;
B8319AFBDE;2025-09-11;FORNITURA IN SERVICE DI TUTTO QUANTO OCCORRENTE ALLA GESTIONE DI PROCEDURE DI ELETTROFISIOLOGIA;22488381;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B7414C2CFC;2025-06-16;VENTILAZIONE NON INVASIVA – VENTILATORE VOLUMETRICO PRESSOVOLUMETRICO - UTILIZZO DEL VENTILATORE < 16 ORE/DIE FASCIA A;20199604;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;
B7414C1C29;2025-06-16;VENTILAZIONE NON INVASIVA – VENTILATORE SERVO ADATTIVO (ASV) E AUTO BILEVEL - UTILIZZO DEL VENTILATORE < 16 ORE/DIE;19597590;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;
B951C65CE6;2025-11-28;AFFIDAMENTO DELLA FORNITURA DI GAS MEDICINALI, TECNICI E CRIOGENICI, DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI GAS E DELLE CRIOBANCHE - SETTE LAGHI;19213719;AFFIDAMENTO DIRETTO;GAS MEDICI;AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.
B7B76DD0AE;2025-07-21;SERVIZIO DI GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI;15815663;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;POLYGON S.P.A.
A02717DC24;2023-11-13;SERVIZIO DI MANUTENZIONE DEL SISTEMA RIS/PACS;15755500;PROCEDURA APERTA;SERVIZI DI MANUTENZIONE DI SISTEMI E DI ASSISTENZA;2R MEDICA S.R.L.
B49C92A675;2024-12-05;SISTEMA ANALITICO AUTOMATICO PER L'ESECUZIONE DI TEST NAT SU SINGOLO CAMPIONE PER LA VALIDAZIONE BIOLOGICA DELLE UNITÀ DI SANGUE ED EMOCOMPONENTI OCCORRENTE ALLA ASST SETTE LAGHI PER UN PERIODO DI ANNI 4, CON OPZIONE DI RINNOVO PER ULTERIORI ANNI 1.;15580560;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;GRIFOLS ITALIA S.P.A.
B57E238FB3;2025-02-06;SISTEMA ANALITICO AUTOMATICO PER L'ESECUZIONE DI SIEROLOGIA INFETTIVA PER I DONATORI DI SANGUE ED EMOCOMPONENTI E PER LA VALIDAZIONE BIOLOGICA DELLE UNITA' E TEST DI CONFERMA.;15300000;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
B979D70E47;2025-12-10;NOLEGGIO DI MATERASSI PER LA GESTIONE DEL MEDIO, ALTO E ALTISSIMO RISCHIO, A PRESSIONE ALTERNATA E/O FLUTTUAZIONE DINAMICA, E CESSIONE D'ARIA;14268631;PROCEDURA APERTA;SERVIZI SANITARI;
96346550D4;2023-04-19;SISTEMI DI MONITORAGGIO FLASH DEL GLUCOSIO FMG -FLASH GLUCOSE MONITORING;14164703;PROCEDURA APERTA;FORNITURE PER INFUSIONE;ABBOTT S.R.L.
9643203ED8;2023-02-06;CONSUMI IDRICI AZIENDALI - DA 1.1.2023 A 31.12.2027 - SOCIETÀ LERETI SPA;11000000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUA POTABILE;LERETI S.P.A.
B541F17324;2025-01-20;ER ARIA_2021_010 AUSILI PER INCONTINENTI LOTTO N. 7;11000000;AFFIDAMENTO DIRETTO;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
