# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DELLA VALLE OLONA (ANAC)
# 2504 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9788094EAE;2023-05-11;APPALTO SPECIFICO PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE OSPEDALIERA E MENSA DIPENDENTI OCCORRENTE ALLA ASST VALLE OLONA NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA P.A.;27936375;PROCEDURA APERTA;SERVIZI DI DISTRIBUZIONE PASTI;RISTOSERVICE S.R.L.
B4EE31DA85;2024-12-19;SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA;14999990;AFFIDAMENTO DIRETTO;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
A004D7C202;2023-08-25;AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE OSPEDALIERA E MENSA DIPENDENTI OCCORRENTE ALLA ASST VALLE OLONA NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA P.A.;12805997;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;RISTOSERVICE S.R.L.
B2F820E393;2024-09-09;ADEGUAMENTO E INSTALLAZIONE APPARATI E DISPOSITIVI DI RETE;10728130;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;VODAFONE SPA
B2F7696CB3;2024-09-09;ADEGUAMENTO E INSTALLAZIONE APPARATI E DISPOSITIVI DI RETE;10728130;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;VODAFONE SPA
B18F06FB90;2024-05-08;AFFIDAMENTO SERVIZIO DI MANUTENZIONE EVOLUTIVA ED AGGIORNAMENTO SISTEMA RIS PACS;10201275;PROCEDURA APERTA;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE PER DISEGNI E IMMAGINI;FUJIFILM  ITALIA S.P.A.
979397108D;2023-04-27;ARIA_2021_025.3-LOTTO 2119 - ENZALUTAMIDE CPR/CPR RIV/CPS/CPS RIG 40 MG-ASTELLAS PHARMA S.P.A.;9156529;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
B119DF1A50;2024-04-05;AFFIDAMENTO SERVIZI INFERMIERISTICI E SERVIZI ULTERIORI;8978256;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE INFERMIERISTICO;
B1327C1650;2024-04-10;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 21 PER LA FORNITURA DI ENERGIA ELETTRICA PER GLI IMMOBILI DELLA ASST VALLE OLONA, PER IL PERIODO DI MESI DODICI;8950820;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;A2A ENERGIA S.P.A.
97266827E7;2023-04-06;ADESIONE ALLA CONVENZIONE CONSIP ENERGIA ELETTRICA 20 - ANNO 2023/2024;8400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
