# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE LARIANA (ANAC)
# 6011 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B76B78E926;2025-06-27;AFFIDAMENTO DELLA GESTIONE DELLE CDC DI CENTRO VALLE INTELVI E PORLEZZA, DEL SERVIZIO DI TELEMEDICINA, DEL SERVIZIO DI IFEC/C-DOM E DELL'UNITÀ MOBILE.;87000000;PROCEDURA RISTRETTA;SERVIZI CONNESSI ALLE INFRASTRUTTURE COLLETTIVE;
A03C1FCB98;2023-12-28;ARIA_2021_057 LOTTO 3 SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE - RTI MEDIGAS ITALIA - SAPIO;17917466;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;SAPIO LIFE SRL
B54780FE7A;2025-01-21;AQ AUSILI MONOUSO AD ASSORBENZA PER INCONTINENTI E SERVIZI CONNESSI - SERENITY - ARIA_2021_010 - LOTTO 7 - PAZIENTI ASSISTITI;10000000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;SERENITY S.P.A.
9778144BAF;2023-07-06;FORNITURA SISTEMA DIAGNOSTICO PER CORELAB;9200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI ANALISI;BECKMAN COULTER S.R.L.
B6BA706E96;2025-05-06;ENERGIA ELETTRICA;8678680;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
A03A7EB8DD;2024-01-01;ADESIONE CONVENZIONE ARIA _2023_004 ASSICURAZIONE RCT/RCO ED. 14;8404185;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
B348014C17;2024-10-02;ARIA_2022_017 L LOTTO 6 - SISTEMI DI MONITORAGGIO GLICEMICO INTERMITTENTE (SENSORI) PER PAZIENTI ADULTI E/O PEDIATRICO ABBOTT;7794500;AFFIDAMENTO DIRETTO;FORNITURE PER INFUSIONE;ABBOTT S.R.L.
B77F58F5FC;2025-07-02;GAS MEDICINALI, TECNICI E CRIOGENICI E DEI SERVIZI DI MANUTENZIONE CONNESSI - SICO SOCIETA ITALIANA CARBURO OSSIGENO - ARIA_2023_013 - LOTTO 4;7300788;AFFIDAMENTO DIRETTO;ALTRI MEDICINALI TERAPEUTICI;SICO SOCIETA' ITALIANA CARBURO OSSIGENO S.P.A.
B78679D4F0;2025-07-03;SERVIZIO DI RISTORAZIONE;7243090;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
B8E741F3B6;2025-10-31;SERVIZIO DI RITIRO, TRASPORTO E SMALTIMENTO RIFIUTI SPECIALI;7212521;AFFIDAMENTO DIRETTO;SERVIZI PER RIFIUTI RADIOATTIVI, TOSSICI, MEDICALI E PERICOLOSI;ECO ERIDANIA SOCIETA' PER AZIONI
B0D26D24FA;2024-03-14;LOTTO 5 - ARIA_2022_017 - SISTEMI DI MONITORAGGIO GLICEMICO IN CONTINUO PER PAZIENTI ADULTI E/O PEDIATRICI - FREE STYLE LIBRE 3 ABBOTT;6509778;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBOTT S.R.L.
9499722A95;2023-03-01;ADESIONE ALLA CONVENZIONE ACONSIP DIALISI 4 LOTTO 1 FRESENIUS;6450000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER EMODIALISI;FRESENIUS MEDICAL CARE ITALIA SPA
9836456447;2023-07-04;INDIZIONE APPALTO SPECIFICO SISTEMI CHIRURGIA ROBOTICA;6296974;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;AB MEDICA S.P.A.
98334557C5;2023-05-19;ADESIONE ARIA 2021_025.3 LOTTO 3338 - IVACAFTOR/TEZACAFTOR/ELEXACAFTOR;5479099;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B06126AFDB;2024-02-14;LOT 4 - AQ DISPOSITIVI PER PAZIENTI DIABETICI - MOVI - ARIA_2022_017;5379006;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MOVI SPA
A062376056;2023-12-27;ADESIONE CONTRATTUALE ALLA GARA ESPLETATA DALL'ASST SETTE LAGHI PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DELLA CENTRALE DI STERILIZZAZIONE OCCORRENTE ALL' ASST LARIANA;5248936;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI GESTIONE DI LAVANDERIE;SERVIZI ITALIA S.P.A.
B858E4A9BB;2025-09-23;CONSID DIALISI 5 LOTTO 3 VANTIVE;4654557;AFFIDAMENTO DIRETTO;FILTRI PER DIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
A04FB1D28E;2024-02-15;ADESIONE ARIA_2023_011.16 LOTTO LOTTO 20 VYNDAQEL TAFAMIDIS COMPRESE MOLLI 61 MG;4598153;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;PFIZER S.R.L.
B7418900C5;2025-06-12;SERVIZIO INF E OSS;4295295;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI E AFFINI;
B543FA830D;2025-01-20;LAVAGGIO E NOLEGGIO BIANCHERIA;4292978;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;SERVIZI ITALIA S.P.A.
B855E534C9;2025-09-22;DIALISI5 - LOTTO2 - VANTIVE - TRATTAMENTI IN APD E CAPD;3810580;AFFIDAMENTO DIRETTO;FILTRI PER DIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
B0FFE6A2E5;2024-03-27;ACQUISTO ORTOPANTO VIA NAPOLEONA;3695650;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ANDRA SPA
B0FFD76988;2024-03-27;ACQUISTO ORTOPANTO LOTTO 2 SAN FERMO DELLA BATTAGLIA;3695650;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ANDRA SPA
B21011F116;2024-06-11;NUTRIZIONE ARTIFICIALE DOMICILIARE ENTERALE - VIVISOL - ARIA_2023_041 - LOTTO 2;3453345;AFFIDAMENTO DIRETTO;SERVIZI DI CURE MEDICHE A DOMICILIO;VIVISOL SRL
A027277A73;2023-11-07;ADESIONE ARIA_2023_011.4 LOTTO - 30 - VOSORITIDE - FL - 0,56 MG;3272289;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
9813256B06;2023-05-29;TRASPORTI SECONDARI MENAGGIO;3251259;PROCEDURA APERTA;SERVIZI DI TRASPORTO MEDIANTE CONDUTTURE;Operatore individuale (persona fisica)
956046594B;2023-01-11;SERVIZIO DI TRASPORTI SANITARI SECONDARI ASST LARIANA - PRESIDIO OSPEDALIERO DI MENAGGIO;3238167;PROCEDURA APERTA;SERVIZI DI TRASPORTO MEDIANTE CONDUTTURE;
B22671EE91;2024-06-28;SERVIZIO DI VENTILOTERAPIA DOMICILIARE CON DITTA VIVISOL NELLE MORE DI AGGIUDICAZIONE PROCEDURA DI GARA CONSORZIATA ASST SETTE LAGHI CAPOFILA;3225175;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI SANITARI;VIVISOL SRL
9822203255;2023-05-19;SERVIZIO DI MANUTENZIONE EVOLUTIVA PER SISTEMA PACS;3211000;PROCEDURA APERTA;SERVIZI DI CONSULENZA DI INTEGRAZIONE HARDWARE;FUJIFILM  ITALIA S.P.A.
B793AABFE4;2025-07-08;LOTTO 23 - PEMBROLIZUMAB - SOL INFUS CONC - 100 MG/4ML - FL;3132510;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MSD ITALIA S.R.L.
9511415BF3;2023-01-01;MANUTENZIONE MAGAZZINO AUSILI;3053647;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
9522351C9F;2023-02-01;LOTTO 1 FORNITURA DEL SISTEMA PER SEQUENZIAMENTO ESOMA;2900000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ILLUMINA ITALY S.R.L.
959706870C;2023-01-23;ADESIONE ARIA 2021_025.3 LOTTO 2189 - FINGOLIMOD CLORIDRATO CAPSULE RIGIDE 0,5 MG;2864963;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
B87DB9FEC3;2025-10-03;SERVIZIO DI AUSILIARIATO;2842383;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;VARI SERVIZI SANITARI;
9691165A58;2023-03-06;L'AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA MEDICA DI EMERGENZA URGENZA PRESSO IL PS DI MENAGGIO;2800224;PROCEDURA APERTA;SERVIZI DI ASSISTENZA MEDICA AMBULATORIALE E SERVIZI AFFINI;GAP MED SOCIETA' TRA PROFESSIONISTI S.P.A.
A00C7300C1;2023-09-21;ADESIONE ARIA 2023_011.5 LOTTO 19 NIVOLUMAB SOLUZIONE 10 MG/ML 24 ML;2799156;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
B741ACB7F7;2025-06-12;SERVIZIO INFER E OSS;2743698;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI E AFFINI;
A0295420C0;2023-12-19;KIT MONOUSO PER INIETTORI TC E TC SIMULATORE;2700881;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B76CFA0632;2025-06-26;LOTTO 140 - ELEXACAFTOR/TEZACAFTOR/IVACAFTOR_COMPRESSE RIVESTITE_100MG+50MG+75MG_COMPRESSA;2651177;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B730588A3D;2025-06-09;LOTTO 81 - BICTEGRAVIR/EMTRICITABINA/TENOFOVIR CPR RIV 50MG +200MG+25MG;2585850;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
A05E4AF220;2024-07-11;ADESIONE SUCCESSIVA AL LOTTO 2 DELLA FORNITURA DEL SISTEMA DIAGNOSTICO PER MICROBIOLOGIA DELLA ASST SETTE LAGHI;2580400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BIOMERIEUX ITALIA SPA
B179A102FB;2024-04-30;ENERGIA ELETTRICA VARIABILE 12 MESI;2524746;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;A2A ENERGIA S.P.A.
B73792D90F;2025-06-12;SISTEMA MONOUSO PAZIENTI;2493564;PROCEDURA APERTA;SALVIETTE IGIENICHE MONOUSO;
B83F78A099;2025-09-15;LOTTO 3 - SERVIZIO DI GESTIONE DELLE CAMERE MORTUARIE, DI ASSISTENZA AUTOPTICA E DI TRASFERIMENTO DELLE SALME PER GLI ENTI DEL SSR CON SEDE NEL TERRITORIO DELLE PROVINCE DI COMO, LECCO, SONDRIO E MONZA-BRIANZA;2447361;AFFIDAMENTO DIRETTO;SERVIZI OSPEDALIERI E AFFINI;ASS.I.S.TE - ASSISTENZE INTEGRATIVE SOCIO SANITARIE PIEMONTE - SOCIETA' COOPERATIVA SOCIALE SIGLABILE ASS.I.S.TE - S.C.S.
9748714D47;2023-06-29;REALIZZAZIONE LAVORI ODC COMO;2398776;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;MULTI MANUTENZIONE SRL
B1159950DE;2024-10-30;MANUTENZIONE ELETTRODOMESTICI;2386320;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ANGHILERI SRL
9800540D72;2023-05-04;ADESIONE E.E.20 LOTTO;2346722;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
9748610776;2023-06-29;REALIZZAZIONE LAVORI CDC LOMAZZO;2268773;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;MULTI MANUTENZIONE SRL
A04AEA68BF;2023-12-29;FORNITURA DEL SISTEMA DIAGNOSTICO DI CHIMICA CLINICA ED IMMUNOMETRIA, NELLE MORE DELL'AVVICENSAMENTO DEI FORNITORI;2218543;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
A051242C02;2024-02-27;SERVIZIO DI PULIZIE;2196356;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B739052288;2025-06-11;LOTTO 118 - CANAKINUMAB SOL INIET 150MG/1ML;2144340;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
9466221CAE;2023-01-12;ACQUISTO PET/CT NOSA;2106800;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER TOMOGRAFIA;SIEMENS HEALTHCARE S.R.L.
B8857B4415;2025-10-08;AFFIDAMENTO QUINQUENNALE DEI SERVIZI DI VIGILANZA ANTINCENDIO H24 E DI MANUTENZIONE E GESTIONE DELLA ELISUPERFICIE DELLA PALAZZINA UFFICI DELL'ASST LARIANA,;2103040;PROCEDURA APERTA;SERVIZI DI INSTALLAZIONE DI ATTREZZATURE ANTINCENDIO;
B7EDFFA4BD;2025-08-07;SERVIZIO DI PULIZIE;2087071;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B8F2DAD39A;2025-11-04;LOTTO 31 - NIVOLUMAB - SOLUZIONE PER INFUSIONE - 240MG/10ML - FL;2044965;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
9626595580;2023-02-13;FORNITURA VIDEOBRONCOSCOPI;2025160;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;AMBU S.R.L.
A05727A2FD;2024-04-17;ACQUISTO PERSONALE TEMPORANEO;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
9552929E62;2023-01-26;ADESIONE ARCA_2018_062 LOTTO 1;1960000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;MOLNLYCKE HEALTH CARE S.R.L.
94998292E4;2023-03-01;ADESIONE ALLA CONVENZIONE CONSIP DIALISI 4 LOTTO 1 NIPRO;1950000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER EMODIALISI;NIPRO MEDICAL ITALY S.R.L.
B2B299374D;2024-08-06;FORNITURA IN NOLEGGIO OPERATIVO DI UN SISTEMA PER AUTOMAZIONE MAGAZZINO FARMACIA;1922940;PROCEDURA APERTA;SISTEMA DI AUTOMAZIONE;
9748663334;2023-06-29;REALIZZAZIONE LAVORI CDC MARIANO COMENSE;1908040;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;MULTI MANUTENZIONE SRL
9909135CE0;2023-07-01;AQ CONSIP 'CARTELLA CLINICA ELETTRONICA ED ENTERPRISE IMAGING - NORD' (CIG:8765571A03): ADESIONE A 'APPALTO SPECIFICO PER LA REALIZZAZIONE DELLA CARTELLA CLINICA ELETTRONICA REGIONALE' INDETTO DA ARIA SPA CIG: 933914496D;1907012;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;GPI S.P.A.
9822121EA6;2023-05-19;MANUTENZIONE ED ASSISTENZA SOFTWARE PACS;1871500;PROCEDURA APERTA;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;FUJIFILM  ITALIA S.P.A.
B7C4F23A23;2025-07-24;LOTTO 345 - EMTRICITABINA/RILPIVIRINA/TENOFOVIR ALAFENAMIDE CPR RIV 200MG+25MG+25MG;1837200;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B626155992;2025-03-24;2025_SPIRALI PERIFERICHE LUNGHEZZA FINO 60CM;1830000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9930595A3B;2023-08-11;LAVORI INCREMENTO DELLA SICUREZZA ANTINCENDIO DEL POLO OSPEDALIERO DI CANTU';1790597;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI INSTALLAZIONE DI INGEGNERIA MECCANICA;TECNO FUTURA S.R.L.
A03A90840F;2023-12-11;ADESIONE FARMACI ARIA_2022_027.0 LOTTO UNICO - DARZALEX DARATUMUMAB SOLUZIONE PER INFUSIONE 120 MG/ML.;1767364;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
9868006828;2023-06-06;LOTTO 1 FORNITURA DI REAGENTI PER LA RICERCA DI ANTIGENI BATTERICI;1758000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;RELAB S.R.L.
A058501D06;2023-12-28;LOTTO 2- COMO;1735915;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
A05850A476;2023-12-28;LOTTO 3- ERBA;1651539;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI TRASPORTO MEDIANTE CONDUTTURE;
95522015A1;2023-01-27;LOTTO 1 INCLUSORE AUTOMATICO E DEI RELATIVI MATERIALI DI CONSUMO;1650000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
965327782E;2023-02-13;ADESIONE ARIA_2021_025.8R LOTTO 6 - DARATUMUMAB 20 MG/ML FLACONCINO DA 20 ML;1636448;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B803E77028;2025-08-22;SHINGRIX 0,5 ML SOSPENSIONE INIETTABILE - 1 PZ;1627780;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
988072368F;2023-06-27;LAVORI AMPLIAMENTO TIN E UMANIZZAZIONE PS;1616568;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;PERRONE GLOBAL SERVICE S.R.L.
A06703558C;2025-03-06;ADESIONE ARIA_2023_011.16 LOTTO 21 DARZALEX DARATUMUMAB;1616030;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B8A2FB56A0;2025-10-16;LOTTO 1 – N. 5 VENTILATORI PER ANESTESIA PER IL BLOCCO OPERATORIO DELLO STABILIMENTO OSPEDALIERO SANT'ANNA, CON MATERIALE DI CONSUMO FORNITURA TRIENNALE;1607488;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9878346CFD;2023-06-22;LAVORI POTENZIAMENTO IMPIANTI AERAULICI;1582600;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI INSTALLAZIONE DI IMPIANTI DI VENTILAZIONE E CLIMATIZZAZIONE;G.A. IMPIANTI TECNOLOGICI S.R.L.
B2880BCE82;2024-07-19;SERVIZIO DI PULIZIE;1578689;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA;C.M. SERVICE S.R.L. SIGLABILE C.M.S. S.R.L.
B2F561AE1E;2024-09-06;LOTTO 25 - SHINGRIX 1 PZ.;1577950;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
96612045C0;2023-02-16;AD. ARIA_2022_067 LOTTO 07 VACCINO GARDASIL;1575000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VACCINI;MERCK SHARP & DOHME ITALIA S.P.A.
A02758D662;2023-11-07;ADESIONE ARIA_2023_011.8 LOTTO 14 - TRASTUZUMAB DERUXTECAN - 100 MG;1564848;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B5A9CC453F;2025-02-18;LOTTO 7;1525555;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
