# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI LECCO (ANAC)
# 1611 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A035E10651;2023-11-30;AFFIDAMENTO DEI SERVIZI DI PULIZIA, DI SANIFICAZIONE ED ALTRI SERVIZI PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE PER LE PUBBLICHE AMMINISTRAZIONI;21772604;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
A04525CFF2;2023-12-05;SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA (RCT/O);10524530;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;SHAM
A05555AA18;2024-04-03;FARMACI OSPEDALIERI E SERVIZI CONNESSI - MSD ITALIA - ARIA_2023_011.16/L23 DEL 03/04/24;6781260;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
992947914A;2023-07-06;SERVIZIO DI ACCOMPAGNAMENTO INTERNO DEI DEGENTI PRESSO I PRESIDI OSPEDALIERI DI LECCO E DI MERATE, PER UN PERIODO DI 36 MESI.;5546583;PROCEDURA APERTA;VARI SERVIZI SANITARI;CONSORZIO HCM
B416D6D1E2;2024-10-31;SERVIZIO DI RISTORAZIONE PER L'ASST DI LECCO;5120000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;
97633299F6;2023-07-04;LAVORI DI REALIZZAZIONE CDC E ODC MERATE;4589550;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;MULTI MANUTENZIONE SRL
9947547F75;2023-07-05;FARMACI ARIA - DARZALEX - JANSSEN CILAG - ARIA_2022_027.0;3897418;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSENCILAG
B1B46411D4;2024-05-17;FORNITURA DI SISTEMI ELETTRICI PER NEUROCHIRURGIA;3768210;PROCEDURA APERTA;APPARECCHI PER SALA OPERATORIA;
9831460971;2023-03-01;RIPETIZIONE SERVIZI ANALOGHI - CONTRATTO PER IL SERVIZIO DI LAVANOLO;3377050;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;SERVIZI OSPEDALIERI S.P.A.
A01A6A7974;2023-10-06;FARMACI INNOVATIVI - BRISTOL-MYERS SQUIBB - ARIA_2023_011.5/L19 DEL 06/10/2023;3332328;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BRISTOL MYERS SQUIBB
B239523A94;2024-06-26;L'ASST DI LECCO HA LA NECESSITÀ DI SELEZIONARE SUL MERCATO UN OPERATORE ECONOMICO SPECIALIZZATO NEL SETTORE PER L'AFFIDAMENTO DEL SERVIZIO DI NOLEGGIO PER UN PERIODO DI 72 MESI DI N. 3 SISTEMI PER ENDOSCOPIA DIGESTIVA DA DESTINARE ALL'OSPEDALE ALESSANDRO MANZONI DI LECCO.;3155737;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;OLYMPUS ITALIA S.R.L.
B2D0901A99;2024-08-21;SERVIZIO DI SORVEGLIANZA ANTINCENDIO PER L'ASST DI LECCO - ADESIONE AL LOTTO N. 2 DELLA PROCEDURA APERTA ESPERITA DALL'ASST MELEGNANO E MARTESANA;3142231;AFFIDAMENTO DIRETTO;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
9763427AD5;2023-07-04;LAVORI DI REALIZZAZIONE ODC LECCO;2998406;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;MULTI MANUTENZIONE SRL
A0470A1AA1;2023-12-04;LAVORI DI REALIZZAZIONE CASA DI COMUNITÀ ED OSPEDALE DI COMUNITÀ DI INTROBIO;2973024;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;I.TEC SRL COSTRUZIONI GENERALI
98209128F5;2023-05-11;PROCEDURA APERTA PER LA FORNITURA DI SISTEMI DIAGNOSTICI PER MICROBIOLOGIA- LOTTO 4 - SISTEMI DIAGNOSTICI PER IL SETTORE DI VIROLOGIA;2552216;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;
A04DBE92A6;2024-02-01;FARMACI OSPEDALIERI E SERVIZI CONNESSI - VERTEX PHARMACEUTICALS (ITALY) - ARIA_2023_011.16 L17;2351340;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A019089906;2023-10-06;PERTUZUMAB TRASTUZUMAB 1 FLACONCINO SC 1.200 MG + 600 MG 15 M;2299735;PROCEDURA RISTRETTA;MEDICINALI VARI;
A030667F68;2023-11-30;SERVIZIO DI ASSISTENZA TECNICA E MANUTENZIONE FULL RISK DELL'ALTA TECNOLOGIA DI RADIOTERAPIA PER IL PERIODO DAL 11.09.2023 AL 31.07.2028 IN ADESIONE SUCCESSIVA ALLA PROCEDURA APERTA ESPLETATA DALLA FONDAZIONE IRCCS SAN GERARDO DEI TINTORI;2090998;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;ELEKTA S.P.A.
A049852BC0;2024-01-15;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA ED. 20;2050000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
9740998DD5;2023-03-28;RINNOVO FARMACI ARIA OSPEDALIERI - MSD ITALIA - ARIA_2022_027.2R 538;2009088;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B4D6526571;2024-12-16;LOTTO 16;1975184;AFFIDAMENTO DIRETTO;PESCE, CROSTACEI E PRODOTTI ACQUATICI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B47A276216;2024-11-27;LOTTO 31;1943858;AFFIDAMENTO DIRETTO;PESCE, CROSTACEI E PRODOTTI ACQUATICI;BRISTOL MYERS SQUIBB
