# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DEGLI SPEDALI CIVILI DI BRESCIA (ANAC)
# 3040 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B3ED5CAB62;2024-10-23;SISTEMI DI VENTILAZIONE PER ASSISTENZA ALLA TOSSE A NOLEGGIO MENSILE PER SINGOLO ASSISTITO TRATTAMENTI DI SUPPORTO(OGNI CONCORRENTE OFFRA I TRATTAMENTI DI SUPPORTO DI CUI DISPONE:TRATTASI DI UN LOTTO JOLLY, UTILE PER COMPLETARE I SERVIZI DI VENTILAZIONE IN CASO DI NECESSITÀ). LO SPAZIO DEDICATO ALLE;228614400;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;VITALAIRE ITALIA SPA
B3ED5C9A8F;2024-10-23;SISTEMI DI VENTILAZIONE PER IL TRATTAMENTO DELL'APNEA A NOLEGGIO MENSILE PER SINGOLO ASSISTITO;178516800;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;LINDE MEDICALE SRL
B3ED5C4670;2024-10-23;SISTEMI DI VENTILAZIONE NON INVASIVA CON TRATTAMENTI INFERIORI ALLE 16 ORE GIORNALIERE (QUINDI CON AUTONOMIA RESPIRATORIA SUPERIORE ALLE 16 ORE GIORNALIERE) A NOLEGGIO MENSILE PER SINGOLO ASSISTITO;103311600;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;MEDICAIR ITALIA S.R.L.
B3ED5C5743;2024-10-23;SISTEMI DI VENTILAZIONE NON INVASIVA CON TRATTAMENTI INFERIORI ALLE 16 ORE GIORNALIERE (QUINDI CON AUTONOMIA RESPIRATORIA SUPERIORE ALLE 16 ORE GIORNALIERE) A NOLEGGIO MENSILE PER SINGOLO ASSISTITO;62092800;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;VITALAIRE ITALIA SPA
B3688EFEE9;2024-10-14;SISTEMI DESTINATI AD ASSISTITI IPOVEDENTI CON DEFICIT SENSITIVO-MOTORI;60500000;PROCEDURA APERTA;AUSILI PER DISABILI;TIFLOSYSTEM - S.R.L.
B371F55BC5;2024-10-16;SISTEMA PER IMPIANTO PERCUTANEO MITRACLIP O EQUIVALENTE PER L'INSUFFICIENZA MITRALICA;59200000;PROCEDURA APERTA;VALVOLE CARDIACHE;EDWARDS LIFESCIENCES ITALIA S.R.L.
B0E98BC83C;2024-03-21;FACCIALE FILTRANTE CLASSE FFP2/FFP3 SENZA VALVOLA;53576000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;PIZZOCRI SRL
B2D6D50197;2024-08-27;SERVIZIO DI ARREDAMENTO GLOBALE DI INTERI REPARTI O SERVIZI, COMPRESA PROGETTAZIONE, FORNITURA E MONTAGGIO PER UN PERIODO DI 72 MESI.;41022000;PROCEDURA APERTA;ARREDAMENTO;MALVESTIO SOCIETA' PER AZIONI (ABBREVIATA IN MALVESTIO S.P.A.)
A03B4427C1;2023-05-22;LOTTO 1-AFFIDAMENTO DEL SERVIZIO DI GESTIONE DELLA CENTRALE DI STERILIZZAZIONE DI PROPRIETA' DELL'AZIENDA E FORNITURA DI STRUMENTARIO AL BISOGNO PER UN PERIODO DI 96 MESI;39525000;PROCEDURA RISTRETTA;SERVIZI OSPEDALIERI E AFFINI;SERVIZI ITALIA S.P.A.
B371F76702;2024-10-16;PACEMAKER BICAMERALE CONNESSIONE IS-1 ALTA FASCIA;37888000;PROCEDURA APERTA;STIMOLATORI CARDIACI;MICROPORT CRM S.R.L.
