# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO-SANITARIA TERRITORIALE DELLA FRANCIACORTA (ANAC)
# 1848 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A05C7753C8;2024-06-21;ADESIONE PROCEDURA APERTA IN FORMA AGGREGATA - SERVIZIO DI SORVEGLIANZA E PRONTO INTERVENTO ANTINCENDIO E EMERGENZA - 72 MESI A PARTIRE DAL 2024;6618705;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
99078833B4;2024-01-01;FORNITURA IN FULL SERVICE DI SISTEMI COMPLETI PER L'ESECUZIONE DI ESAMI DI CHIMICA CLINICA E IMMUNOCHIMICA COSTITUITI DA STRUMENTI, REAGENTI E MATERIALE DI CONSUMO. ADESIONE ALLA GARA ESPLETATA DALLA FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI DI MILANO PER IL PERIODO: 01/01/2024 - 31/12/2027 (48;5413616;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;ROCHE DIAGNOSTICS S.P.A.
A0259EB8BB;2023-12-08;ADESIONE ALLA CONVENZIONE CONSIP ENERGIA ELETTRICA 20 PER LA FORNITURA DI ENERGIA ELETTRICA A PREZZO VARIABILE E SERVIZI CONNESSI PER TUTTE LE PUBBLICHE AMMINISTRAZIONI LOTTO 3;2857373;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
97500446D6;2023-01-02;PNRR M6C1 - APPALTO INTEGRATO COMPLESSO - ODC ORZINUOVI;2376535;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;3TI PROGETTI ITALIA - INGEGNERIA INTEGRATA S.P.A. IN BREVE 3TI ITALIA S.P.A.
B0BD492300;2024-03-08;LOTTO N. 2 – EDIFICIO (REALIZZAZIONE AMPLIAMENTO E OPERE INTERNE);2233745;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;C.N. COSTRUZIONI GENERALI S.P.A.
A04A4ED2C4;2024-01-17;ADESIONE ALLA CONVENZIONE ARIA_2021_025.3 PER LA FORNITURA DI FARMACI. LOTTO N. 3338. DITTA VERTEX PH.. PERIODO: 16.01.2024 - 30.06.2025. CODICE CONV.: 156561233.;1914739;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A04D0FBDA7;2024-01-30;ADESIONE ALLA CONVENZIONE ARIA_2023_011.16 PER LA FORNITURA DI FARMACI. LOTTO N. 17 IVACAFTOR. DITTA VERTEX PHARMACEUTICALS. PERIODO: 01.11.2024 - 24.01.2027. CODICE CONV.: 178894030.;1463056;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B428E037EE;2024-11-07;FORNITURA DI ENERGIA ELETTRICA;1366626;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI;A2A ENERGIA S.P.A.
A045F52210;2024-01-02;ADESIONE ALLA CONVENZIONE ARIA_2021_025.3 PER LA FORNITURA DI FARMACI. LOTTO N. 331 IVACAFTOR. DITTA VERTEX PH. PERIODO: 29.12.2023 - 30.06.2025. CODICE CONV.: 161381251.;1306300;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
9868944E36;2023-06-07;PROCEDURA APERTA DA ESPLETARSI AI SENSI DEGLI ARTT. 59 E 60 DEL D. LGS. N. 50/2016 E S.M.I. PER L'AFFIDAMENTO DEL SERVIZIO DI SUPPORTO PER LA GESTIONE DELLA SICUREZZA SUI LUOGHI DI LAVORO DELL'A.S.S.T. DELLA FRANCIACORTA PER UN PERIODO DI ANNI DUE.;1282320;PROCEDURA APERTA;SERVIZI DI CONSULENZA SANITARIA E DI SICUREZZA;SINTEX S.R.L.
B4DC75C148;2024-12-17;L154 - ATOGEPANT MG 60;1192512;ALTRA PROCEDURA A PIU' FASI;MEDICINALI VARI;ABBVIE S.R.L.
9880603389;2023-06-13;ADESIONE ALLA CONVENZIONE FARMACI OSPEDALIERI E SERVIZI CONNESSI - VERTEX PHARMACEUTICALS (ITALY) - ARIA_2022_027.10 LOTTO 27 _ ELEXACAFTOR+TEZACAFTOR +IVACAFTOR COMPRESSA 37,5 MG+25 MG+50 MG CPS/CPR DAL 13/06/2023 AL 18/05/26;1178301;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
