# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI CREMONA (ANAC)
# 5852 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B5FD52884C;2025-03-12;SISTEMI DIAGNOSTICI IN REAL TIME PCR PER LA DETERMINAZIONE QUALITATIVA/QUANTITATIVA DI PATOGENI VIRALI E BATTERICI OCCORRENTI ALLE ASST DI CREMONA, MANTOVA E PAPA GIOVANNI XXIII;50560020;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ELITECHGROUP S.P.A.
B8E6EAF6FE;2025-11-03;ALTRO MATERIALE DI SINTESI;43186628;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
B8E6EA3D15;2025-11-03;SISTEMI INCHIODAMENTO ENDOMIDOLLARE FEMORALE TROCANTERICO MONOVITE;32489100;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
B519C098C3;2025-01-08;SERVIZIO DI ASSISTENZA DI CURE PALLIATIVE IN HOSPICE RESIDENZIALE E DEL SERVIZIO DI ASSISTENZA DOMICILIARE CURE PALLIATIVE EROGATE DALL'ASST DI CREMONA;23944324;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B6A6FCDA5A;2025-04-29;SERVIZIO DI RISTORAZIONE;22526947;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;VIVENDA S.P.A.
B31DA8CE45;2024-09-23;SISTEMI PER LA RACCOLTA DI EMOCOMPONENTI IN AFERESI CON SEPARATORE CELLULARE CHE CONSENTA LA DONAZIONE AUTOMATIZZATA DI PLASMA OCCORRENTE ALLA ASST DI CREMONA MANTOVA E CREMA;22225020;PROCEDURA APERTA;APPARECCHI PER TRASFUSIONE SANGUIGNA;FRESENIUS KABI ITALIA S.R.L. IN BREVE FKI S.R.L.
B9636A0452;2025-12-04;SERVIZIO DI GESTIONE INTEGRALE DELLE ATTIVITA' DELL'OSPEDALE DI COMUNITA' SITO IN SORESINA, DI PROPRIETA' E ACCREDITAMENTO DELL'ASST DI CREMONA;18639893;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B2B27EB967;2024-08-06;SERVIZIO DI GESTIONE DEI CENTRI DIALISI OCCORRENTI ALL'ASST DELLA FRANCIACORTA PRESSO I PRESIDI OSPEDALIERI DI ISEO, PALAZZOLO, ORZINUOVI;16230098;PROCEDURA APERTA;SERVIZI DI DIALISI OSPEDALIERA;NEPHROCARE S.P.A.
B69357204B;2025-04-23;SISTEMA ANALITICO A MEDIA PRODUTTIVITÀ PER LA DETERMINAZIONE DI TEST DI IMMUNOEMATOLOGIA PER PAZIENTI E DONATORI E SISTEMA PER LA DETERMINAZIONE DI GRUPPO, RICERCA ANTICORPI E PROVA CROCIATA IN MODALITÀ MANUALE, OCCORRENTI ALLE ASST DI CREMONA, CREMA, BERGAMO EST, BERGAMO OVEST E FRANCIACORTA.;15766667;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B9DA02BB39;2025-12-31;ADESIONE AL LOTTO N. 5 DELLA CONVENZIONE ARIA_2023_039 GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI PER IL SERVIZIO DI GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI DI PROPRIETÀ DI ASST DI CREMONA;14756599;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;Operatore individuale (persona fisica)
9896245FB5;2023-06-27;PROCEDURA APERTA IN FORMA AGGREGATA AI SENSI DEGLI ARTT. 59 E 60 DEL DECRETO LEGISLATIVO 18 APRILE 2016, N. 50, PER L'AFFIDAMENTO DI SISTEMI DIAGNOSTICI PER TEST DI COAGULAZIONE E GESTIONE TERAPIA ANTICOAGULANTE ORALE (TAO) OCCORRENTI ALLE ASST DI CREMONA (CAPOFILA), BERGAMO EST, BERGAMO OVEST E VAL;12192700;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;STAGO ITALIA - S.R.L. UNIPERSONALE
B6A01A2083;2025-04-28;PROTESI ORTOPEDICHE E CEMENTI;12000000;PROCEDURA RISTRETTA;PROTESI ORTOPEDICHE;
B8E6EAB3B2;2025-11-03;VITI CANNULATE PER OSTEOSINTESI;10780040;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
B2B27EA894;2024-08-06;SERVIZIO DI GESTIONE DEL CENTRO DIALISI OCCORRENTE ALL'ASST DI CREMONA PRESSO IL PRESIDIO OSPEDALIERO OGLIO PO;10452465;PROCEDURA APERTA;SERVIZI DI DIALISI OSPEDALIERA;NEPHROCARE S.P.A.
B649505501;2025-03-31;ADESIONE ALLA PROCEDURA ESPERITA DALLA ASST PAPA GIOVANNI XXIII PER LA FORNITURA IN SERVICE DI SISTEMI DIAGNOSTICI PER IL TRATTAMENTO PREANALITICO DEI CAMPIONI DI LABORATORIO, PER LA BIOCHIMICA CLINICA E IMMUNOMETRIA;10330338;AFFIDAMENTO DIRETTO;SISTEMI DIAGNOSTICI;SIEMENS HEALTHCARE S.R.L.
9604751B41;2023-01-16;LOTTO 28 PEMBROLIZUMAB;9543168;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
B5FD527779;2025-03-12;SISTEMI PER LA DETERMINAZIONE DI ANTICORPI DELLE DIVERSE CLASSI IMMUNOGLOBULINICHE SPECIFICHE PER MICRORGANISMI (BATTERI E VIRUS) SU CAMPIONI DI SIERO E/O ALTRI LIQUIDI BIOLOGICI, OCCORRENTI ALLA ASST DI CREMONA E ALL'ASST DI MANTOVA;9315680;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DIASORIN ITALIA S.P.A.
B70CC7F515;2025-05-28;ZYNLONTA 10 MG POLVERE PER SOLUZIONE PER INFUSIONE;9180864;ALTRA PROCEDURA A FASE UNICA;MEDICINALI VARI;SWEDISH ORPHAN BIOVITRUM S.R.L.
B8E6EA8139;2025-11-03;CHIODI ELASTICI PER TRAUMATOLOGIA PEDIATRICA IN TITANIO;8709600;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
