# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI CREMA (ANAC)
# 2484 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B3A41F1157;2024-10-21;PROCEDURA APERTA ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL PER L'AFFIDAMENTO DEL GENERAL CONTRACT DI LABORATORIO COMPRENSIVO DI ATTREZZATURE, REAGENTI, MATERIALE DIAGNOSTICO, GESTIONE DEL MAGAZZINO, FORNITURE E GESTIONE SOFTWARE, INTEGRAZIONI CON LABORATORI ESTERNI - PER UN PERI;51519175;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B2ED180102;2024-09-05;SERVIZIO DI GESTIONE INTEGRALE DELL'OSPEDALE DI COMUNITA' DELL'ASST DI CREMA SITO IN SONCINO;14277340;PROCEDURA APERTA;SERVIZI OSPEDALIERI;FONDAZIONE RESIDENZA SANITARIO ASSISTENZIALE DI SONCINO ONLU
A05E5636A9;2024-06-27;SERVIZIO PRONTO INTERVENTO ANTINCENDIO ED EMERGENZA - PRESA D'ATTO AGGIUDICAZIONE ASST PAPA GIOVANNI XXIII;7402424;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;
B3EC316C33;2024-10-23;PROCEDURA APERTA ESPLETATA IN FORMA TELEMATICA ATTRAVERSO LA PIATTAFORMA SINTEL PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DEL CUP DI RIVOLTA D'ADDA, DEI CUP DI PROSSIMITA' CREMA E DEL CUP DI LIBERA PROFESSIONE DI CREMA PER UN PERIODO DI 36 MESI, CON OPZIONE DI PROROGA PER 24 MESI.;7314677;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B32AAA046D;2024-09-24;CONTRATTO PONTE GENERAL CONTRACT LABORATORIO ANALISI;4740000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DIAGNOSTICI;
9667665988;2023-03-28;LOTTO 1 SERVIZIO TRASPORTO DI DEGENTI PRESSO ALTRE STRUTTURE - PRONTA DISPONIBILITÀ - PROGRAMMATI, IN URGENZA ED EMERGENZA - N. 1 AMBULANZA CON EQUIPAGGIO - H 24 - 7 GIORNI SU 7, COMPRESI I FESTIVI.;3903296;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B47E12C244;2024-11-29;SERVIZIO PDI E URGENZA PSICHIATRICA;3336210;PROCEDURA APERTA;VARI SERVIZI SANITARI;
98535720DA;2023-06-12;LOTTO 5 - AFFIDAMENTO DEL SERIVIZO DI GUARDIA MEDICA DIURNA E NOTTURNA DI MEDICI DI PEDIATRIA;2876086;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
B0C2C246EA;2024-03-13;SERVIZIO MENSA DIFFUSA CON CARD ELETTRONICHE;2826923;PROCEDURA APERTA;SERVIZI AZIENDALI VARI;EDENRED ITALIA S.R.L.
B11CBF85F5;2024-04-08;Servizio mensa diffusa con card elettroniche;2826923;PROCEDURA APERTA;Servizi aziendali vari;
9817759F03;2023-06-09;AFFIDAMENTO DELL'APPALTO DI LAVORI RELATIVI ALL''INCREMENTO DEL LIVELLO DI SICUREZZA ANTINCENDIO E CONTESTUALE AMPLIAMENTO E RISTRUTTURAZIONE DEL PRESIDIO DI VIA TERESINE (S.E.R.D. - N.P.I.) IN CREMA;2625862;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI;PAOLO BELTRAMI COSTRUZIONI S.P.A.
9667670DA7;2023-03-28;LOTTO 3 SERVIZIO TRASPORTO DI DEGENTI PRESSO ALTRE STRUTTURE - PRONTA DISPONIBILITÀ - PROGRAMMATI, IN URGENZA ED EMERGENZA - N. 1 AMBULANZA CON EQUIPAGGIO - H 14 - 7 GIORNI SU 7, COMPRESI I FESTIVI.;2468770;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
