# Ospedali Trasparenti — contratti pubblici di FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO (ANAC)
# 4001 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B4ACCA46ED;2024-12-09;LOTTO 1 - SISTEMI DIAGNOSTICI PER IL MONITORAGGIO DELLE INFEZIONI NEI PAZIENTI TRAPIANTATI ED IMMUNOCOMPROMESSI E PER LA DIAGNOSTICA DI INFEZIONI SESSUALMENTE TRASMISSIBILI (STI);40686850;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ELITECHGROUP S.P.A.
B2EB1EF45A;2024-09-05;FORNITURA DI VIDEOBRONCOSCOPI FLESSIBILI MONOUSO E RELATIVI MONITOR IN COMODATO D'USO GRATUITO.;21880620;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;AMBU S.R.L.
9823145BAF;2023-05-15;PROCEDURA APERTA, IN UNIONE D'ACQUISTO, PER L'AFFIDAMENTO DELL'APPALTO PER LA FORNITURA DI SISTEMI ANALITICI COMPLETI PER LE INDAGINI DI IMMUNOEMATOLOGIA DI I E II LIVELLO IN COMPLETA AUTOMAZIONE, CON METODO DI AGGLUTINAZIONE IN COLONNA (MICROCOLONNA) - LOTTO 1 - CIG DI PROCEDURA;20691880;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
B27971B293;2024-07-16;ADESIONE ALLA CONVENZIONE DI CUI ALL'INIZIATIVA ARIA_2024_008.4 PER LA FORNITURA DEL FARMACO ROCTAVIAN (VALOCTOCOGENE ROXAPARVOVEC);18217370;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
969712832D;2023-03-15;439 22 - PROCEDURA APERTA IN UNIONE D'ACQUISTO FORNITURA DI DEFLUSSORI INFUSIONE PARENTERALE E NUTRIZIONE ENTERALE OLTRE AL NOLEGGIO DI POMPE VOLUMETRICHE E A SIRINGA;18116145;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;B. BRAUN MILANO SPA
9896247160;2023-06-22;8-2023 - PROCEDURA RISTRETTA, IN FORMA AGGREGATA, PER LA FORNITURA DI VIDEOBRONCOSCOPI FLESSIBILI MONOUSO E RELATIVI MONITOR IN COMODATO D'USO GRATUITO, PER UN PERIODO DI 36 MESI, EVENTUALMENTE RINNOVABILE PER ULTERIORI 36 MESI;17455210;PROCEDURA RISTRETTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9684409320;2023-03-01;SERVIZI DI PULIZIA PER GLI ENTI DEL SSN;16463260;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;CONSI  COPRA SOCIETA' COOPERATIVA ENUNCIABILE ANCHE CONSI COPRA SOC. COOP.
B2254F8494;2024-06-21;Acquisizione di un servizio di gestione di attività del magazzino;14074612;PROCEDURA APERTA;Servizi di magazzino;
A01ADF4FCB;2023-10-13;431-2022 - FORNITURA DI SISTEMI COMPLETI E INTEGRATI PER L'ESECUZIONE DI ANALISI DI BIOCHIMICA E IMMUNOMETRIA PER IL SETTORE CORELAB - RECEPIMENTO DEL DECRETO DEL DIRETTORE GENERALE DELLA FONDZIONE IRCCS SAN GERARDO DEI TINTORI N. 580 DEL 28.09.2023;12159756;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;ROCHE DIAGNOSTICS S.P.A.
B240C8C4EC;2024-06-28;FORNITURA CHIAVI IN MANO DI PENSILI, LAMPADE SCIALITICHE E SISTEMI DI INTEGRAZIONE AUDIO-VIDEO PER LE SALE OPERATORIE DEL NUOVO BUILDING DELLA FONDAZIONE IRCCS CA' GRANDA – OSPEDALE MAGGIORE POLICLINICO;11065653;PROCEDURA APERTA;APPARECCHIATURE BIOMEDICHE;ALTAMED S.R.L.
98309894C4;2023-07-26;SERVIZIO DI TRASPORTO SANITARIO, SANITARIO AVANZATO E TRAMITE OPERATORI DEDICATI AL TRASPORTO SU PERCORSI INTERNI, EROGATO CON 'SISTEMA DI LETTIGHE E O AUSILI' CON REMUNERAZIONE A 'CANONE FISSO LOTTO 1;10253000;PROCEDURA APERTA;SERVIZI DI AMBULANZA;SOCIETA' COOPERATIVA SOCIALE INTER S.O.S. PUBBLICA ASSISTENZA
99726288F6;2023-07-21;221-2023 - ADESIONE ALL'INIZIATIVA ARIA_2022_027.10 PER LA FORNITURA DI FARMACI - LOTTO 31 - DITTA SANOFI S.R.L.;9399247;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SANOFI S.R.L.
9884552E57;2023-06-23;ATTI 375/2021 FORNITURA DI BIBERON E TETTARELLE VARIE MISURE LOTTO N. 1;8700436;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;CAIR ITALIA S.R.L.
