# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.1 DOLOMITI (ANAC)
# 1180 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
99345856E3;2023-06-30;SERVIZIO DI PULIZIE E SANIFICAZIONE PER LE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE VENETO LOTTO 1 AULSS1 DOLOMITI DELLA DURATA DI ANNI 5 RINNOVABILE DI ANNI 2 #BNS;28742567;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;EURO&PROMOS FM SOCIETA' PER AZIONI IN FORMA ABBREVIATA EURO&PROMOS FM S.P.A.
9929885055;2023-06-30;SERVIZIO DI GESTIONE DELLA RESIDENZA SANITARIA ASSISTENZIALE (RSA) PER PERSONE CON DISABILITA' GRAVE DELL'AZIENDA U.L.S.S. N. 1 DOLOMITI (SSS);16320222;PROCEDURA RISTRETTA;SERVIZI DI ASSISTENZA SOCIALE;INSIEME SI PUO' - SOCIETA' COOPERATIVA SOCIALE
B41C70E8B0;2024-11-04;FORNITURA DI VEICOLI AZIENDALI LOTTO 9A E 9B VEICOLI ED. 2;11766074;AFFIDAMENTO DIRETTO;FURGONI;FCA FLEET & TENDERS S.R.L.
B4ED4F5BE6;2024-12-20;PROCEDURA COMPETITIVA CON NEGOZIAZIONE PER L AFFIDAMENTO DELLA GESTIONE DEI MAGAZZINI AZIENDALI DI FELTRE E DI BELLUNO DESTINATI ALLA GESTIONE DEI FARMACI DEI DISPOSITIVI MEDICI DEI BENI ECONOMALI E DEI CESPITI INVENTARIABILI (NON RIENTRANO LE ATTREZZATURE BIOMEDICHE) PER TUTTE LE UNITA OPERATIVE RI;11091472;ALTRA PROCEDURA A PIU' FASI;SERVIZI DI MAGAZZINO;
95839269EC;2023-01-02;SERVIZIO ENERGIA E CALORE E LA CONDUZIONE E GESTIONE DEGLI IMPIANTI DELLE STRUTTURE SANITARIE DELLA AULSS N. 1 - DOLOMITI (ANNO 2023);10482942;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;SIRAM  S.P.A.
95783933F4;2023-01-16;LOTTO N. 1 : SERVIZI DI GESTIONE DELLE PRENOTAZIONI;10441232;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;CONSORZIO STABILE CENTO ORIZZONTI SOCIETA' CONSORTILE A RESPONSA ILITA' LIMITATA
A045CAB1BC;2023-12-29;SERVIZIO ENERGIA E CALORE E LA CONDUZIONE E GESTIONE DEGLI IMPIANTI DELLE STRUTTURE SANITARIE DELLA AULSS N. 1 - DOLOMITI (ANNO 2024);9208533;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;SIRAM  S.P.A.
9578578C9C;2023-01-16;LOTTO N. 2: SERVIZI DI SUPPORTO AMMINISTRATIVI;8070297;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
A045D17AD9;2023-12-29;SERVIZIO ENERGIA E CALORE E CONDUZIONE E GESTIONE DEGLI IMPIANTI DELLE STRUTTURE SANITARIE DELLA AULSS N. 1 - DOLOMITI, DISTRETTO DI FELTRE, PER L'ANNO 2024.;6800000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)
9548203261;2023-01-03;FORNITURA DI N. 1 SISTEMA ROBOTIZZATO PER CHIRURGIA ENDOSCOPICA DA DESTINARE AL 'CENTRO DI RIFERIMENTO REGIONALE PER LA CHIRURGIA GASTROENTEROLOGICA MICHELE DE BONI' DEL PRESIDIO OSPEDALIERO DI FELTRE # AB;6560000;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;AB MEDICA S.P.A.
9936592F1B;2023-07-01;GARA REGIONALE GAS MEDICINALI, TECNICI E DI LABORATORIO E DEI SERVIZI DI MANUTENZIONE E DI CONTROLLO QUALITY #FAR;4801245;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;NIPPON GASES PHARMA S.R.L.
