# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N. 7 PEDEMONTANA (ANAC)
# 2284 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
98468505AD;2023-06-09;EB_GARA EUROPEA PER L'AFFIDAMENTO, CON FORMULA DEL CONTO DEPOSITO, DELLA FORNITURA DI DISPOSITIVI MEDICI ED ATTREZZATURE PER PROCEDURE DI EMODINAMICA, ELETTROFISIOLOGIA E CHIRURGIA VASCOLARE- GARA 2023-110-BAS;46184619;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;N.G.C. MEDICAL SRL
B293DFCB11;2024-07-25;SERVIZIO DI INTEGRAZIONE SCOLASTICA;34009051;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;IL GIRASOLE SOCIETA' COOPERATIVA SOCIALE
A0661A9468;2025-01-17;RECEPIMENTO GARA REGIONALE PER L'AFFIDAMENTO DEL SERVIZIO DI PULIZIA E SANIFICAZIONE A RIDOTTO IMPATTO AMBIENTALE - LOTTO N. 7 GARA AULSS7_2024_00389;27247834;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B1E03FFA63;2024-05-29;SISTEMA ANALITICO CHIMICA CLINICA, IMMUNOMETRIA, AUTOMAZIONE CON PREANALITICA INTEGRATA, MIDDLEWARE UNICO AREA CORELAB;22346571;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ROCHE DIAGNOSTICS S.P.A.
96890687D9;2023-03-24;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI TRASPORTO SECONDARIO - GARA 2023-047-BAS_MM;19489691;PROCEDURA APERTA;SERVIZI DI AMBULANZA;COOPERATIVA SOCIALE ANTONIANA SOCIETA' COOPERATIVA
974876468C;2023-05-24;PNRR MISSIONE 6 PUNTO 1.1 NUOVA REALIZZAZIONE DELLA CASA DELLA COMUNITÀ A BASSANO DEL GRAPPA;10555771;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;VITTADELLO S.P.A.
A049C95016;2024-01-12;GARA REGIONALE PER LA FORNITURA DI GAS MEDICINALI, TECNICI E DI LABORATORIO E DEI SERVIZI DI MANUTENZIONE E DI CONTROLLO QUALITY - GARA 2023-096-BAS - LOTTO 7A;8793931;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;SOL S.P.A.
B2B48BDEF2;2024-08-05;SERVIZI DI CONTACT CENTER, NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE (SDAPA) ID 2682, ISTITUITO DA CONSIP S.P.A.;8287473;PROCEDURA RISTRETTA;CENTRO DI RACCOLTA DELLE CHIAMATE;CONSORZIO LEONARDO SERVIZI E LAVORI SOCIETA' COOPERATIVA CONSORTI LE STABILE
9924475FD7;2023-07-28;SERVIZIO DI ESECUZIONE E REFERTAZIONE ANCHE IN TELEGESTIONE DI ESAMI DIAGNOSTICI DI RADIOLOGIA TRADIZIONALE E SCREENING MAMMOGRAFICI DELL'AULSS 7 PEDEMONTANA. GARA N. 2023-013-TH;7215119;PROCEDURA APERTA;SERVIZI MEDICI SPECIALISTICI;MEDISHARE TELEMEDICINE S.R.L.
A041C04769;2023-12-21;PNRR - LAVORI DI RIQUALIFICAZIONE DI PARTE DEL COMPLESSO EDILIZIO CSS 'P. ALPINO' DI MAROSTICA 'PROGETTO ABITARE' NELL'AMBITO DEL 'PROGETTO INNOVATIVO PER LA QUALITÀ DELL'ABITARE - (ID PINQUA 359) - LOTTO A.1;7153133;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;I.TEC SRL COSTRUZIONI GENERALI
