# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.4 VENETO ORIENTALE (ANAC)
# 694 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9613723730;2023-01-31;SERVIZI SANITARI NELLE LOCALITÀ BALNEARI DELL'AZIENDA U.L.S.S. N. 4 'VENETO ORIENTALE';37044937;PROCEDURA APERTA;VARI SERVIZI SANITARI;
9719712016;2023-03-31;SERVIZI SANITARI NELLE LOCALITÀ BALNEARI DELL'AZIENDA U.L.S.S. N. 4 'VENETO ORIENTALE';37044937;PROCEDURA APERTA;VARI SERVIZI SANITARI;CASTEL MONTE SOCIETA' COOPERATIVA SOCIALE - ONLUS
9996575AA6;2023-08-01;"SERVIZIO DI PULIZIA E SANIFICAZIONE A RIDOTTO IMPATTO AMBIENTALE AI SENSI DEL D.M. 18 OTTOBRE 2016; RECEPIMENTO DELLA GARA REGIONALE - LOTTO 4.";17204378;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;EURO&PROMOS FM SOCIETA' PER AZIONI IN FORMA ABBREVIATA EURO&PROMOS FM S.P.A.
B116E17D4A;2024-05-14;SERVIZIO DI SOMMINISTRAZIONE DI LAVORO;9410756;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE D'UFFICIO;
97202468BF;2023-03-31;SERVIZI SANITARI PER PRESTAZIONI MEDICHE EMERGENTI/URGENTI A SUPPORTO DELL'U.O.C. RADIOLOGIA DELL'AZIENDAU.L.S.S. N. 4 'VENETO ORIENTALE';6440280;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;GAP MED SOCIETA' TRA PROFESSIONISTI S.P.A.
9619429BEC;2023-02-08;PRESTAZIONI MEDICHE A SUPPORTO DEI PRESIDI OSPEDALIERI DI SAN DONÀ DI PIAVE E DI PORTOGRUARO;5008560;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
9753426DBE;2023-06-13;ADESIONE AD ACCORDO QUADRO PER L'AFFIDAMENTO DEI LAVORI DI ESECUZIONE RELATIVI ALL'INTERVENTO DI 'REALIZZAZIONE DEL PROGETTO PNRR NR. 03 RELATIVO ALLA MISSION 'M6.C1 - INV. 1.1 CASE DELLA COMUNITÀ E PRESA IN CARICO DELLA PERSONA' SITA A SAN DONÀ DI PIAVE (VE) - COD. REG. ID M6.C1_1.1_VE 6'.;4610823;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;TECHNE S.P.A.
975303289C;2023-05-16;ADESIONE AD ACCORDO QUADRO PER L'AFFIDAMENTO DEI LAVORI DI ESECUZIONE RELATIVI ALL'INTERVENTO DI 'REALIZZAZIONE DEL PROGETTO PNRR NR. 01 RELATIVO ALLA MISSION 'M6.C1 - INV. 1.1 CASE DELLA COMUNITÀ E PRESA IN CARICO DELLA PERSONA' SITA A CAVALLINO TREPORTI (VE) - COD. REG. ID M6.C1_1.1_VE 9'.;3769780;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;
9753441A20;2023-06-13;ADESIONE AD ACCORDO QUADRO PER L'AFFIDAMENTO DELL'ESECUZIONE DEI LAVORI INERENTI ALL'INTERVENTO DI 'REALIZZAZIONE DEL PROGETTO PNRR NR. 06 RELATIVO ALLA MISSION 'M6.C1 - INV. 1.3 RAFFORZAMENTO DELL'ASSISTENZA SANITARIA INTERMEDIA E DELLE SUE STRUTTURE (OSPEDALI DELLA COMUNITÀ)' SITO A JESOLO (VE) - ;3721715;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;TECHNE S.P.A.
A032EF67BD;2023-12-20;"GARA REGIONALE PER LA FORNITURA DI GAS MEDICINALI, TECNICI E DI LABORATORIO E DEI SERVIZI DI MANUTENZIONE E DI CONTROLLO QUALITY; RECEPIMENTO LOTTO 4.A.";3472602;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;AIR LIQUIDE SANITÀ SERVICE
9745755372;2023-04-06;"FORNITURA DI KIT IN TNT STERILI; RECEPIMENTO DELLA GARA REGIONALE.";3384270;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;STRUMENTI PER SALA OPERATORIA;SERVIZI OSPEDALIERI S.P.A.
9849790FD4;2023-06-28;"SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DISMALTIMENTO/RECUPERO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI;RECEPIMENTO DELLA GARA REGIONALE.";3071458;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;SASTE SERVIZI ECOLOGICI SRL
9934532B25;2023-07-01;ADESIONE GARA REGIONALE FORNITURA IN AMBITO OSPEDALIERO E TERRITORIALE DI AUSILI PER INCONTINENTI- LOTTO N.4 DITTA SERENITY - FORNITURA TERRITORIALE.;2944309;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
975343010F;2023-06-16;ADESIONE AD ACCORDO QUADRO PER L'AFFIDAMENTO DEI LAVORI DI ESECUZIONE RELATIVI ALL'INTERVENTO DI 'REALIZZAZIONE DEL PROGETTO PNRR NR. 05 RELATIVO ALLA MISSION 'M6.C1 - INV. 1.1 CASE DELLA COMUNITÀ E PRESA IN CARICO DELLA PERSONA' SITA A CAORLE (VE) ED ADIACENTI ATTIVITÀ DI SUPPORTO - COD. REG. ID M6;2295303;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;TECHNE S.P.A.
A00326FF4D;2023-05-31;RECEPIMENTO GARA REGIONALE PER LA FORNITURA DI VACCINI IN ESCLUSIVA - LOTTO N. 2 DITTA GLAXOSMITHKLINE S.P.A.;2160000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ANTINFETTIVI GENERALI PER USO SISTEMICO, VACCINI, AGENTI ANTINEOPLASTICI E IMMUNOMODULATORI;GLAXOSMITHKLINE S.P.A.
9774601FE7;2023-05-09;FORNITURA IN SERVICE DI N. 1 FACO-VITRECTOMO E RELATIVO MATERIALE DI CONSUMO;2065523;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;D.O.R.C. ITALY S.R.L.
9934421F8A;2023-07-01;ADESIONE GARA REGIONALE FORNITURA IN AMBITO OSPEDALIERO E TERRITORIALE DI AUSILI PER INCONTINENTI- LOTTO N.4 DITTA ESSITY - FORNITURA TERRITORIALE.;1944982;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;ESSITY ITALY S.P.A.
A038A375D9;2023-12-22;SERVIZI SANITARI A SUPPORTO DELLE UU.OO.CC. PRONTO SOCCORSO DELL'AZIENDA U.L.S.S. N. 4 'VENETO ORIENTALE;1555898;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI E AFFINI;NEFROCENTER SCARL - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITAT A
97534555AF;2023-06-13;AFFIDAMENTO APPALTO PER L'ESECUZIONE LAVORI INERENTI ALL'INTERVENTO DI REALIZZAZIONE DEL PROGETTO PNRR NR. 02 RELATIVO ALLA MISSION 'M6.C1 - INV. 1.1 CASE DELLA COMUNITÀ E PRESA IN CARICO DELLA PERSONA' SITA A JESOLO (VE) - COD. REG. ID M6.C1_1.1_VE 18'.;1509247;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI RISTRUTTURAZIONE;ZAGO S.R.L.
A0298D53D4;2023-11-29;GARA REGIONALEFARMACI ESCLUSIVI DESTINATI AI CENTRI AUTORIZZATI - 17^ EDIZIONE: RECEPIMENTO LOTTO 15.;1385543;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;DAIICHI-SANKYO-ITALI
B46BB27053;2024-11-22;"XI APPALTO SPECIFICO PER LA FORNITURA DI FARMACI IN CONCORRENZA ED ESCLUSIVI; RECEPIMENTO LOTTO 213.";1345127;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
9619461656;2023-02-08;PRESTAZIONI MEDICHE IN ELEZIONE IN MODALITÀ DI TELEREFERTAZIONE.;1312000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;MEDISHARE TELEMEDICINE S.R.L.
A018DCA4E5;2023-11-08;FORNITURA IN SERVICE DI N. 1 FACOEMULSIFICATORE E RELATIVO MATERIALE DI CONSUMO;1278398;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;BAUSCH & LOMB IOM
A00167DFA2;2023-09-15;SERVIZI SANITARI A SUPPORTO DELLE UU.OO.CC. DI PEDIATRIA;1272000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI E AFFINI;PEDIACOOP SOCIETA' COOPERATIVA
99214775D3;2023-06-13;FORNITURA DI SISTEMI DIAGNOSTICI PER L'ESECUZIONE DI TEST DI CHIMICA CLINICA, IMMUNIMETRIA, EMATOLOGIA, TOSSICOLOGIA ED EMOCOAGULAZIONE. PERIODO 01/07/2023 - 31/12/2023;1254000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;APPARECCHI E PRESIDI PER DIAGNOSTICA E RADIODIAGNOSTICA;ABBOTT S.R.L.
A03FAE2FD5;2023-12-18;FORNITURA DI SISTEMI DIAGNOSTICI PER L'ESECUZIONE DI TEST DI CHIMICA CLINICA, IMMUNIMETRIA, EMATOLOGIA, TOSSICOLOGIA ED EMOCOAGULAZIONE. PERIODO 01/01/2024 - 30/06/2024;1230000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DIAGNOSTICI;ABBOTT S.R.L.
B1BB5E0EA6;2024-05-17;VACCINO IN ESCLUSIVA SHINGRIX ANTI HERPES ZOOSTER RICOMBINANTE;1224000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GLAXOSMITHKLINE S.P.A.
97751672FF;2023-05-09;FORNITURA IN SERVICE DI N. 1 FACOEMULSIFICATORE E RELATIVO MATERIALE DI CONSUMO;1177780;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
