# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.3 SERENISSIMA (ANAC)
# 2531 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9913926E88;2023-06-28;SERVIZIO DI PRENOTAZIONE DI ATTIVITA' SANITARIA, SERVIZIO DI ACCETTAZIONE E SUPPORTO ALL'UTENZA, E SERVIZI STRUMENTALI;91217726;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;ANTHESYS SERVIZI SOCIETA' COOPERATIVA
B2E65BE451;2024-11-21;GESTIONE DEGLI INTERVENTI DI INTEGRAZIONE SOCIALE E SCOLASTICA PER UTENTI DISABILI FREQUENTANTI STRUTTURE SCOLASTICHE DEL DISTRETTO DI MIRANO-DOLO DELL'AZIENDA ULSS 3 SERENISSIMA. LA DURATA DEL CONTRATTO È DI 36 MESI;21262075;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE E SERVIZI AFFINI;CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE
A04A77BE73;2024-02-12;G.R. GAS, 1^ EDIZIONE - LOTTO 3A - DELIBERA 212/2024;20161397;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;SOL S.P.A.
B1E081D030;2024-05-30;SERVIZIO DI LOGISTICA CENTRALIZZATA PER L'AZIENDA ULSS 3 SERENISSIMA;20079072;PROCEDURA APERTA;SERVIZI DI MAGAZZINO;PLURIMA S.P.A.
A0548C14BF;2024-03-26;ADESIONE CONVENZIONE CONSIP 'SERVIZIO DI PULIZIA, SANIFICAZIONE E ALTRI SERVIZI PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE AI SENSI DELL'ART. 26 DELLA LEGGE N. 488/1999 E SS.MM.II. E DELL'ART. 58 LEGGE 388/2000' - LOTTO 12;17932820;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
A063BD08C9;2024-10-28;LOTTO 3 - SERVIZIO DI RISTORAZIONE PER L'AZIENDA ULSS 3 SERENISSIMA;16818750;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;
A0025AB679;2023-10-19;LAVORI E PROGETTAZIONE REALIZZAZIONE NUOVO POLO TECNOLOGICO E RIFACIMENTO PARZIALE DELLE DORSALI DI DISTRIBUZIONE DEI VETTORI ENERGETICI A SERVIZIO DELL'OSPEDALE SS GIOVANNI E PAOLO;13996729;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;
B28E6A255E;2024-07-23;APPARECCHIATURE IN NOLEGGIO 2;11594560;AFFIDAMENTO DIRETTO;PACCHETTI SOFTWARE DI SICUREZZA DEI DATI;CANON ITALIA S.P.A.
B2FD99A28B;2024-09-12;SERVIZI DI TRASPORTO SANITARIO ORDINARIO, I TRASPORTI COLLEGATI AI RICOVERI PROGRAMMATI, ALLA FRUIZIONE DI PRESTAZIONI AMBULATORIALI, PRESTAZIONI AMBULATORIALI IN POST DEGENZA, EMODIALISI, DIMISSIONI, COMPRESE LE DIMISSIONI DAL PRONTO SOCCORSO, SERVIZI INTEROSPEDALIERI E INTRAOSPEDALIERI;9403714;PROCEDURA APERTA;SERVIZI DI AMBULANZA;COOPERATIVA SOCIALE SERVIZI ASSOCIATI C.S.S.A. SOC. COOP. A R. L.
A0014E2C78;2023-09-14;G.R. FORNITURA KIT IN TESSUTO NON TESSUTO STERILI, LOTTO B - DELIBERA 1550/2023;8262070;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;STRUMENTI PER SALA OPERATORIA;SERVIZI OSPEDALIERI S.P.A.
