# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE - IRCCS DI REGGIO EMILIA (ANAC)
# 3012 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B48F3717DC;2024-12-02;ACQUISTO A SOMMINISTRAZIONE DI CARBURANTE PER AUTOTRAZIONE TRAMITE FUEL CARD IN ADESIONE A CONVENZIONE CONSIP FUEL CARD 3;420000000;AFFIDAMENTO DIRETTO;BENZINA SENZA PIOMBO;ITALIANA PETROLI SPA
9906191F68;2023-06-27;FORNITURA A LOTTO UNICO DI DURATA PLURIENNALE DEI SERVIZI DI GESTIONE DELL'UNITÀ LOGISTICA CENTRALIZZATA E DI TRASPORTO MERCI PRESSO LE SEDI DELLE AZIENDE SANITARIE DELL'AREA VASTA EMILIA NORD. CAPOFILA AZIENDA USL DI REGGIO EMILIA;52098490;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
B46A9993C1;2024-11-22;VEICOLI A NOLEGGIO;43027200;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
9617893861;2023-01-24;MEDICINALI E RADIOFARMACI 2023-2025_DITTA MSD ITALIA - LOTTO 498;36962196;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B46AFC7D40;2024-11-22;VEICOLI A NOLEGGIO;27137700;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B46B0C922C;2024-11-22;VEICOLI A NOLEGGIO;25179750;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B2AFBC7C58;2024-08-02;SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - MOVI _ LOTTO 3;21893302;AFFIDAMENTO DIRETTO;;MOVI SPA
B2AF19E9EF;2024-08-01;SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - MEDTRONIC _ LOTTO 3;20069868;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
9616640E5D;2023-01-23;MEDICINALI E RADIOFARMACI 2023-2025_DITTA BRISTOL-MYERS SQUIBB - LOTTO 134;19988258;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B46AAE8833;2024-11-22;VEICOLI A NOLEGGIO;19655550;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
