# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE DI MODENA (ANAC)
# 1305 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A03D0487ED;2023-12-22;SERVIZIO DI GESTIONE DEGLI AUSILI PROTESICI PER DISABILI DI CUI GLI ELENCHI N. 1,2,3,DEL D.M. 332/99 ED AL DPCM 12/01/2017 - TERRITORIO DELLA PROVINCIA DI MODENA;10348864;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
9835187D0E;2023-05-29;SERVIZIO CALL CENTER E CONTACT CENTER;10000000;PROCEDURA RISTRETTA;SERVIZI DI OPERATORE TELEFONICO;
A03D0379E5;2023-12-22;SERVIZIO DI GESTIONE DEGLI AUSILI PROTESICI PER DISABILI DI CUI GLI ELENCHI N. 1,2,3,DEL D.M. 332/99 ED AL DPCM 12/01/2017 - TERRITORIO DELLA PROVINCIA DI REGGIO EMILIA;8725390;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
A03D028D83;2023-12-22;SERVIZIO DI GESTIONE DEGLI AUSILI PROTESICI PER DISABILI DI CUI GLI ELENCHI N. 1,2,3,DEL D.M. 332/99 ED AL DPCM 12/01/2017 - TERRITORIO DELLA PROVINCIA DI PARMA;8550155;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
A03CFD9C52;2023-12-22;SERVIZIO DI GESTIONE DEGLI AUSILI PROTESICI PER DISABILI DI CUI GLI ELENCHI N. 1,2,3,DEL D.M. 332/99 ED AL DPCM 12/01/2017 - TERRITORIO DELLA PROVINCIA DI PIACENZA;7887595;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI SEDIE A ROTELLE;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
A00E80F108;2023-11-20;PROCEDURA APERTA SERVIZIO DI GESTIONE DELL'ARCHIVIO DOCUMENTALE CARTACEO DELLE SEGUENTI AZIENDE: AZIENDA USL DI MODENA E OSPEDALE DI SASSUOLO;6029146;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;
97435854B4;2023-03-31;TP/34/23 - PNRR - CASA DELLA COMUNITÀ DI VIGNOLA - NUOVA COSTRUZIONE;5630331;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VARI SERVIZI DI INGEGNERIA;STUDIO CALVI S.R.L.
A02098E75B;2023-10-24;R/42/23 - CONVENZIONE INTERCENT-ER 'FORNITURA ENERGIA ELETTRICA 17 - LOTTO 1 - AZIENDE DEL SISTEMA SANITARIO REGIONALE - UTENZE IN MEDIA TENSIONE' - ANNO SOLARE 2024;5400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
B18E15CB04;2024-05-10;KIT PROCEDURALE PER IMPIANTO PORT, PICC PORT, PICC E MIDLINE;5387400;PROCEDURA APERTA;ACCESSORI PER CATETERI;
9750465243;2023-05-31;LOTTO 3 - GESTIONE CENTRI PRELIEVO AREA SUD - AZIENDA USL MODENA;5304000;PROCEDURA APERTA;VARI SERVIZI SANITARI;SALUS - SERVIZI SANITARI ED AMBIENTALI S.R.L.
975039587D;2023-05-31;LOTTO 1 - GESTIONE CENTRI PRELIEVO AREA NORD - AZIENDA USL DI MODENA;4680000;PROCEDURA APERTA;VARI SERVIZI SANITARI;DOMUS ASSISTENZA SOCIETA' COOPERATIVA SOCIALE
