# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE DI BOLOGNA (ANAC)
# 4888 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9996874167;2023-09-29;SERVICE SISTEMA AD ELEVATA AUTOMAZIONE CORELAB PER I LABORATORI ANALISI DELL'AREA VASTA EMILIA CENTRO (AVEC);98539000;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;DIASORIN ITALIA S.P.A.
98605764BB;2023-06-08;P.A. PER STIPULA ACCORDO QUADRO SERVIZIO SOMMINISTRAZIONE LAVORO TEMPORANEO PER AZIENDE SANITARIE AVEC E MONTECATONE R. I.;60000000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
B235A2F446;2024-06-25;INTERVENTI E RELATIVA DEGENZA A MEDIA COMPLESSITÀ CAPACITÀ RICETTIVA PL 35 12 SLOT DI SALA OPERATORI SETTIMANALI - DURATA TRIENNALE;48730000;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B47C940494;2024-11-27;FORNITURA DI SISTEMI AD ELEVATA AUTOMAZIONE CORELAB PER IL LABORATORIO ANALISI DELL'AUSL DI BOLOGNA;48587939;AFFIDAMENTO DIRETTO;;BECKMAN COULTER S.R.L.
B10B9F7878;2024-04-02;REINGEGNERIZZAZIONE DEI PROCESSI E L'EROGAZIONE DI SERVIZI PER LA GESTIONE E TRACCIABILITÀ DEI DISPOSITIVI MEDICI MONOUSO E IMPIANTABILE DA REALIZZARSI PRESSO AOU BO E AUSL BO;47831136;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;DEENOVA SPA
B235A2E373;2024-06-25;INTERVENTI E RELATIVA DEGENZA A BASSA COMPLESSITÀ CAPACITÀ RICETTIVA PL 24 16 SLOT DI SALA OPERATORI SETTIMANALI – DURATA TRIENNALE;37042500;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B4A2FC2034;2024-12-06;TOTALE COMPLESSIVO 6 ANNI SERVICE SISTEMI ESAMI EMOCROMOCITOMETRICI + VES;26759420;PROCEDURA RISTRETTA;REAGENTI E MEZZI DI CONTRASTO;
A02D9C38BB;2024-02-05;SISTEMI IMMUNOMETRICI AD ALTA PRODUTTIVITÀ;20779400;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;THERMO FISHER DIAGNOSTICS S.P.A.
9891065D0A;2023-06-29;SERVICE SISTEMI E MATERIALE PER ESECUZIONE DEL NIPT LUM AUSL BO;20570386;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;ROCHE DIAGNOSTICS S.P.A.
A03E30D524;2023-12-15;AOUBO - TERAPIA CAR-T FARMACI ESCLUSIVI KYMRIAH - NOVARTIS FARMA SPA E YESCARTA E TECARTUS - GILEAD SCIENCES SRL;19908009;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
