# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE DELLA ROMAGNA (ANAC)
# 8920 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B731F28FB7;2025-06-11;SERVIZIO DI ACCOMPAGNAMENTO E TRASPORTO INTERNO PAZIENTI;123462012;PROCEDURA APERTA;VARI SERVIZI SANITARI;FORMULA SERVIZI SOCIETA' COOPERATIVA
B98A47B032;2025-12-11;DET 3345 DEL 27.11.2025;57893245;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B9C1831318;2025-12-22;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - SANOFI;48409864;AFFIDAMENTO DIRETTO;;SANOFI S.R.L.
9583453399;2023-01-04;GARA A PROCEDURA APERTA PER L'ACQUISIZIONE IN NOLEGGIO DEL SISTEMA RIS-PACS A SERVIZIO DELL'AUSL ROMAGNA E DELL' 'ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI' S.R.L. (IRST) DI MELDOLA.;44626784;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMA DI INFORMAZIONE CLINICA;EL.CO. - S.R.L.
9886836B29;2023-06-19;LOTTO 13 - STRUMENTARIO COMPLEMENTARE PROTESICA;43471174;PROCEDURA APERTA;STRUMENTI PER SALA OPERATORIA;UBER ROS S.P.A.
B8B5A29135;2025-10-20;ORDINATIVO PER SERVICE DI OSSIGENOTERAPIA E VENTILOTERAPIA DOMICILIARE – EDIZIONE 3 - LOTTI 2 E 5;41480108;AFFIDAMENTO DIRETTO;;VITALAIRE ITALIA SPA
B98CD93990;2025-12-11;DET 3345 DEL 27.11.2025;40641831;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
A0450542D8;2023-12-29;SERVIZIO DI RISTORAZIONE COLLETTIVA A RIDOTTO IMPATTO AMBIENTALE PER L'AZIENDA USL ROMAGNA;39860792;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREPARAZIONE PASTI;GEMOS - SOCIETA' COOPERATIVA
B5201D3881;2025-01-09;DET. 4091 DEL 31.12.2024 - ORDINATIVO PER MEDICINALI 2025-2027- 2 - ALNYLAM ITALY;36277118;AFFIDAMENTO DIRETTO;;ALNYLAM ITALY S.R.L
B5344049FA;2025-01-15;DET. 4091 DEL 31.12.2024 - ORDINATIVO PER MEDICINALI 2025-2027- 2 - ALNYLAM ITALY;36236810;AFFIDAMENTO DIRETTO;;ALNYLAM ITALY S.R.L
9585945C0D;2023-03-20;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 -MSD ITALIA S.R.L. - LOTTO 498;34281000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B470F5F033;2024-11-25;ORDINATIVO DI FORNITURA PER IL SERVIZIO DI PULIZIA PER AZIENDE SANITARIE - LOTTO 1 PER L'AUSL DELLA ROMAGNA;31500000;AFFIDAMENTO DIRETTO;;COPURA SOC. COOP.
B98A7B382C;2025-12-11;DET 3345 DEL 27.11.2025;30072096;AFFIDAMENTO DIRETTO;;MSD ITALIA S.R.L.
B98AA0A67C;2025-12-11;DET 3345 DEL 27.11.2025;29129318;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
B98945C27C;2025-12-11;DET 3345 DEL 27.11.2025;28864887;AFFIDAMENTO DIRETTO;;BRISTOL-MYERS SQUIBB S.R.L.
9895242405;2023-06-30;APPALTO SPECIFICO PER L'AFFIDAMENTO DI SERVIZI DI CALL CENTER PER PRENOTAZIONI/DISDETTE/SPOSAMENTI/INFORMAZIONI TELEFONICHE RELATIVE ALLE PRESTAZIONI DI SPECIALISTICA AMBULATORIALI NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PA PER SERVIZI DI CONTACT CENTER ID 2444;28175513;PROCEDURA RISTRETTA;SERVIZI DI OPERATORE TELEFONICO;COOPERATIVA SOCIALE ASSO SOCIETA' COOPERATIVA
B3755F7165;2024-10-15;RADIOLOGICI CARESTREAM;27184420;AFFIDAMENTO DIRETTO;APPARECCHI RADIOLOGICI;CARESTREAM HEALTH ITALIA S.R.L.
B372B1A230;2024-10-15;RADIOLOGICI CARESTREAM;27184420;AFFIDAMENTO DIRETTO;APPARECCHI RADIOLOGICI;CARESTREAM HEALTH ITALIA S.R.L.
95858540F8;2023-03-21;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 -JANSSEN CILAG S.P.A. - LOTTO 502;27000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B807511F26;2025-08-27;SISTEMA DI MAPPAGGIO CARDIACO;26147711;PROCEDURA APERTA;APPARECCHI DI CONTROLLO DELLE FUNZIONI CARDIACHE;
B27769D258;2024-07-17;SISTEMA PER IL TRATTAMENTO DELLE PATOLOGIE RETINICHE ANCHE COMBINATE A CHIRURGIA DELLA CATARATTA;24225000;PROCEDURA APERTA;APPARECCHI PER SALA OPERATORIA;E-MED S.P.A.
A04509BD6C;2023-12-29;SERVIZIO DI RISTORAZIONE COLLETTIVA A RIDOTTO IMPATTO AMBIENTALE PER L'AZIENDA USL ROMAGNA;22687196;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREPARAZIONE PASTI;COOPERATIVA ITALIANA DI RISTORAZIONE S.C.
9752479045;2023-03-31;REALIZZAZIONE NUOVO PADIGLIONE OSPEDALE INFERMI DI RIMINI - DEMOLIZIONE CON COSTRUZIONE - AFFIDAMENTO APPALTO INTEGRATO INVITALIA AQ1 - SUBLOTTO 4 - CLUSTER 10 - ODA 11 - OPERAZIONE;22335572;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;OPERAZIONE S.R.L.
B0BCF1F3CF;2024-03-08;ADESIONE AQ VEICOLI 2 BIS - PNRR M6C1 - PNC SALUTE, AMBIENTE, BIODIVERSITÀ, CLIMA STRETTAMENTE COLLEGATO ALL'AZIONE DI RIFORMA OGGETTO DELLA MISSIONE 6 – SALUTE DEL PNRR, DENOMINATA «DEFINIZIONE DI UN NUOVO ASSETTO ISTITUZIONALE SISTEMICO PER LA PREVENZIONE IN AMBITO SANITARIO, AMBIENTALE E CLIMATIC;20804180;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;FCA FLEET & TENDERS S.R.L.
B5F5CE7BB5;2025-03-07;STRUMENTARIO PER NEUROCHIRURGIA E CHIRURGIA MAXILLOFACCIALE;20590814;PROCEDURA RISTRETTA;;PRO.MED. SRL
B5F5CE05F0;2025-03-07;STRUMENTARIO PER CHIRURGIA GENERALE E DI BASE PER TUTTE LE SALE OPERATORIE SPECIALISTICHE;20026069;PROCEDURA RISTRETTA;;PRO.MED. SRL
958490844D;2023-03-20;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - BRISTOL-MYERS SQUIBB S.R.L. - LOTTO 497;19875500;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B315D59CF3;2024-09-19;FORNITURA TOMOGRAFO PET/CT;19480000;PROCEDURA APERTA;APPARECCHI PER TOMOGRAFIA;FORA S.P.A.
B9ADB46BAA;2025-12-18;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - BRISTOL-MYERS SQUIBB;19475021;AFFIDAMENTO DIRETTO;;BRISTOL-MYERS SQUIBB S.R.L.
B4C5E5A787;2024-12-12;BUONI PASTO;19459440;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT
A015858A25;2023-11-09;PROTESI BILIARI METALLICHE ESPANDIBILI STERILI MONOUSO;18858735;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;COOK ITALIA S.R.L.
B5F5CEAE2E;2025-03-07;CONTAINER ED ACCESSORI;18749051;PROCEDURA RISTRETTA;;BS MEDICAL S.R.L.
B988C4DC08;2025-12-11;DET 3345 DEL 27.11.2025;18431581;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
9880249F64;2023-08-25;LOTTO 1 DISPOSITIVI E STRUMENTI PER LA RACCOLTA DI SANGUE INTERO: SACCHE PER LA RACCOLTA DI SANGUE INTERO E PRODUZIONE DI EMOCOMPONENTI - TUBE STRIPPER - SALDATORI- SCOMPOSITORI - STAZIONI FILTRANTI;18427380;PROCEDURA APERTA;SACCHE PER IL SANGUE;MACO-PHARMA ITALIA S.R.L.
95915659D3;2023-03-27;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 -JANSSEN CILAG S.P.A.- LOTTO 480;17351510;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B27769C185;2024-07-17;SISTEMA PER FACOEMULSIFICAZIONE PER CHIRURGIA DELLA CATARATTA;17100000;PROCEDURA APERTA;APPARECCHI PER SALA OPERATORIA;BAUSCH & LOMB-IOM S.P.A.
9735527B06;2023-05-03;LOTTO 1: FORNITURA DI AMBULANZE;16978500;PROCEDURA APERTA;AMBULANZE;SAFETY CAR SRL
B9ADCA5D51;2025-12-18;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - DAIICHI SANKYO ITALIA;16960386;AFFIDAMENTO DIRETTO;;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
A01EDFD7BC;2023-10-24;LOTTO 18 - COMUNITÀ ALLOGGIO H.24 AD INTENSITÀ DI SUPPORTO VARIABILE - CAPACITÀ RICETTIVA DA 7 A 15 POSTI LETTO - CON SEDE OPERATIVA PRESSO L'AMBITO TERRITORIALE DEI DISTRETTI DI FORLI', CESENA-VALLE SAVIO E RUBICONE;16464595;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;GENERAZIONI SOCIETA' COOPERATIVA SOCIALE ONLUS
B326BCCB7B;2024-09-24;DET. 2616 DEL 04.09.2024- ORDINATIVO PER MEDICINALI 2025-2027- 1 - GILEAD SCIENCES;16448933;AFFIDAMENTO DIRETTO;;GILEAD SCIENCES S.R.L.
9708558B80;2023-03-13;AFFIDAMENTO NOLEGGIO QUINQUENNALE SISTEMA ROBOTICO FORLI' E RELATIVO MATERIALE DI CONSUMO - DITTA PACINOTTI;16365000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;APPARECCHI E STRUMENTI PER SALA OPERATORIA;STUDIO PACINOTTI S.R.L.
B23B1C5B7C;2024-06-25;PROCEDURA NEGOZIATA EX ART. 76 COMMA 2 LETT. C DEL D.LGS. 31/03/2023, N. 36 PER L'AFFIDAMENTO DI CONTRATTO PONTE RELATIVO A OSSIGENOTERAPIA E VENTILOTERAPIA DOMICILIARE E DISPOSITIVI MEDICI PER GINNASTICA RESPIRATORIA – NELLE MORE DELLA ATTIVAZIONE DELLA CONVENZIONE INTERCENT-ER. VALORE COMPLESSIVO ;15900892;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
95841567BA;2023-03-21;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 -VERTEX PHARMACEUTICALS (ITALY) S.R.L. - LOTTO 871;15465199;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
9584688EBD;2023-03-21;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - BAYER S.P.A. - LOTTO 133;15295000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BAYER S.P.A.
B9B6ED8311;2025-12-19;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - ELI LILLY ITALIA;14918411;AFFIDAMENTO DIRETTO;;ELI LILLY ITALIA - S.P.A.
98129552A4;2023-05-26;GARA A PROCEDURA APERTA PER LA CONCLUSIONE DI 1 ACCORDO QUADRO CON PIU'OPERATORI ECONOMICI PER LA FORNITURA A NOLEGGIO DI APPARECCHIATURE E SISTEMI PER VIDEOENDOSCOPIA PER LE UU.OO. DI GASTROENTEROLOGIA ED ENDOSCOPIA DIGESTIVA DELL'AZIENDA USL DELLA ROMAGNA;14650000;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;FUJIFILM  ITALIA S.P.A.
A0158C3274;2023-11-09;PROTESI METALLICHE AUTOESPANDIBILI TOTALMENTE RICOPERTE TIPO LUMEN APPOSING;14490000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;BOSTON SCIENTIFIC SPA
B2941029CB;2024-07-26;NEUROSTIMOLATORI IMPIANTABILI RICARICABILI PER STIMOLAZIONE AD ALTA FREQUENZA;14295938;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;THERAS LIFETECH S.R.L.
B5FCEA6978;2025-03-13;MANUTENZIONE APPARECCHIATURE GE;14105440;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE E DI PRECISIONE;GE MEDICAL SYSTEMS ITALIA S.P.A
B9A6AE7066;2025-12-17;DET. 3345 DEL 27.12.2025 - ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - AMGEN;13378106;AFFIDAMENTO DIRETTO;;AMGEN S.R.L.
958517831D;2023-03-20;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - ELI LILLY ITALIA - S.P.A. - LOTTO 75;13362300;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ELI LILLY ITALIA - S.P.A.
B9B754830A;2025-12-19;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - ROCHE;13250247;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
98866566A0;2023-06-19;LOTTO 5 - STRUMENTARIO CHIRURGICO ANCA E VARIO;13221063;PROCEDURA APERTA;STRUMENTI PER SALA OPERATORIA;CITIEFFE S.R.L.
A03A166790;2024-01-15;ADESIONE FORNITURA MEDICINALI 2024-2025 FINO AL 31/12/2025 - VIIV HEALTHCARE S.R.L. . LOTTO 68;13200395;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VIIV HEALTHCARE S.R.L.
9585779313;2023-03-20;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - PFIZER S.R.L.-LOTTO 821;13196116;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;PFIZER S.R.L.
B321FFBAAB;2024-09-24;SISTEMI MOTORIZZATI A BATTERIA;13141844;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B9A66DEBED;2025-12-17;DET. 3345 DEL 27.11.2025 -ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 PFIZER SRL;13056669;AFFIDAMENTO DIRETTO;;PFIZER S.R.L.
B0AEC168D6;2024-03-07;FORNITURA A NOLEGGIO DI INIETTORI DI MEZZO DI CONTRASTO PER PROCEDURE RADIOLOGICHE TOMOGRAFICHE.;13052016;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER INFUSIONE;GUERBET S.P.A.
B6C90BAA38;2025-05-09;DET 1358 DEL 06.05.25;12765668;AFFIDAMENTO DIRETTO;;ELI LILLY ITALIA - S.P.A.
B343157205;2024-10-01;MICROINFUSORI MEDTRONIC - LOTTI 1 -3 - 4;12446323;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
959101217C;2023-03-27;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - BRISTOL-MYERS SQUIBB S.R.L.- LOTTO 134;12425500;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B614872E08;2025-03-17;ADESIONE ALLA PRESENTE CONVENZIONE A COPERTURA DEL FABBISOGNO DELL'AZIENDA USL DELLA ROMAGNA 2025-2028;12377142;AFFIDAMENTO DIRETTO;;GLAXOSMITHKLINE S.P.A.
B9B73F9E93;2025-12-19;DET. 3521 DEL 17.12.2025 - ORDINATIVO PER MEDICINALI 2026-2028 - 2 - NOVO NORDISK;12311508;AFFIDAMENTO DIRETTO;;NOVO NORDISK SOCIETA' PER AZIONI
B70074DA03;2025-05-27;SISTEMA DIAGNOSTICO PER BIOLOGIA MOLECOLARE VIROLOGICA: CARICA VIRALE DI HIV, HCV, HBV E RELATIVI REAGENTI/KIT/MATERIALE DI CONSUMO;12288750;PROCEDURA APERTA;MATERIALE DIAGNOSTICO;ROCHE DIAGNOSTICS S.P.A.
B52E77AC5E;2025-01-14;DET. 4091 DEL 31.12.2024 - ORDINATIVO PER MEDICINALI 2025-2027- 2 - NOVO NORDISK;12036413;AFFIDAMENTO DIRETTO;;NOVO NORDISK SOCIETA' PER AZIONI
B9AE1B2857;2025-12-18;DET. 3345 DEL 27.11.2025 - ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 MERCK SERONO S.P.A.;11934819;AFFIDAMENTO DIRETTO;;MERCK SERONO S.P.A.
B988A9E85D;2025-12-11;DET 3345 DEL 27/11/2025;11878989;AFFIDAMENTO DIRETTO;;ASTELLAS PHARMA S.P.A.
B5978AB94F;2025-02-11;ORDINATIVO PER RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA 5 - LOTTO 1 (CIG A03D879A6C),;11794750;AFFIDAMENTO DIRETTO;;ECO ERIDANIA SOCIETA' PER AZIONI
B70074EAD6;2025-05-27;SISTEMA DI SEQUENZIAMENTO DI ULTIMA GENERAZIONE (NEXT GENERATION SEQUENCING) PER GENOTIPIZZAZIONE E ANALISI DELLE VARIANTI DI FARMACORESISTENZA DEI VIRUS HIV, HCV E HBV, ANALISI DEL MICROBIOTA/MICOBIOTA E TIPIZZAZIONE SARS-COV-2, E RELATIVI REAGENTI/KIT/MATERIALE DI CONSUMO;11794375;PROCEDURA APERTA;MATERIALE DIAGNOSTICO;ARROW DIAGNOSTICS SRL
B52810D61F;2025-01-13;DET. 4091 DEL 31.12.2024 - ORDINATIVO PER MEDICINALI 2025-2027- 2 - ROCHE;11687676;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
9584707E6B;2023-03-21;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - PTC THERAPEUTICS INTERNATIONAL LIMITED-LOTTO 656;11672885;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
95844022BD;2023-03-20;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 - ALEXION PHARMA ITALY SRL - LOTTO 595;11589000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B6A4AC398F;2025-04-28;ADESIONE ALL'ACCORDO QUADRO INTERCENTER PER L'ACQUISTO DI SISTEMI DI MONITORAGGIO DEL GLUCOSIO -DITTA ABBOTT S.R.L. (ADESIONE PER 319.500 PEZZI/PER 3 ANNI);11502000;AFFIDAMENTO DIRETTO;;ABBOTT S.R.L.
A021D9A26C;2023-10-26;FORNITURA DI ENERGIA ELETTRICA UTENZA MEDIAT ENSIONE ANNO 2024;11425177;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
B705B573EF;2025-05-26;SERVIZIO DI ACCOMPAGNAMENTO E TRASPORTO INTERNO PAZIENTI;11403500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;LINEA STERILE S.P.A.
9584154614;2023-03-21;ADESIONE FORNITURA MEDICINALI E RADIOFARMACI 2023-2025 FINO AL 31/12/2025 -VIIV HEALTHCARE S.R.L.;11287760;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VIIV HEALTHCARE S.R.L.
B5242CE824;2025-01-10;DET. 4091 DEL 31.12.2024 - ORDINATIVO PER MEDICINALI 2025-2027- 2 - ACCORDO QUADRO ENOXAPARINA - TECHDOW PHARMA ITALY S.R.L.;11128620;AFFIDAMENTO DIRETTO;;TECHDOW PHARMA ITALY S.R.L.
B6D4CF4E8F;2025-05-13;SERVIZI SECONDARI DI MOVIMENTAZIONE INTERNA;11019199;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;FORMULA SERVIZI SOCIETA' COOPERATIVA
