# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO - UNIVERSITARIA PISANA (ANAC)
# 996 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A049151421;2024-01-29;DM - DET.1529/23 AGGIUDICAZIONE DM X ROBOTICA LOTTO 1 DITTA AB MEDICA;20054184;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;
A02C13DBF5;2023-11-24;ENERGIA ELETTRICA 2024 LOTTO 1 ALTRI USI IN ALTA E MEDIA TENSIONE;8400340;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;EDISON ENERGIA S.P.A.
A063242649;2024-10-14;PROROGA SERVIZIO PULIZIE LOTTO 1 PERIODO 14.09.2024 13.09.2025 DET. ESTAR 984 DEL 9.9.24;8310000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
A0638656B7;2024-10-22;SERVIZIO SMALTIMENTO RIFIUTI SANITARI PERIODO 15/09/2024-14/09/2028 DET AGGIUDICAZIONE 627/2014;8000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;GEECO - GESTIONE ECOLOGIA S.R.L.
B4B14A30AD;2024-12-09;ADESIONE ALL'ACCORDO QUADRO CU UN UNICO OPERATORE PER LA FORNITURA DI ENERGIA ELETTRICA ANNO2025 LOTTO 1 ALTRI USI IN ALTA E MEDIA TENSIONE;7673839;AFFIDAMENTO DIRETTO;ELETTRICITÀ, RISCALDAMENTO, ENERGIA SOLARE E NUCLEARE;EDISON ENERGIA S.P.A.
B4718F37A5;2024-11-26;AFFIDAMENTO DIRETTO IN HOUSE A CONSORZIO METIS;7418229;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;SERVIZI TECNICI;CONSORZIO METIS
A025C0DB4D;2024-01-17;DM - DET.1328/23 PROSECUZIONE DET.305/16 ROBOT DA VINCI DITTA AB MEDICA;5163934;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;AB MEDICA HOLDING S.R.L.
A04EB95175;2024-02-07;ADESIONE A CONVENZIONE PER L'AFFIDAMENTO IN CONCESSIONE DEL SERVIZIO DI RISTORO A MEZZO DISTRIBUTORI AUTOMATICI - LOTTO 5;5087760;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI VENDITA AL DETTAGLIO;
A020183438;2023-11-03;SERVIZIO RISTORAZIONE. PROROGA TECNICA CONTRATTO VIGENTE NELLE MORE DELL'ESPLETAMENTO DELLA GARA REGIONALE;4676924;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;COOPERATIVA ITALIANA DI RISTORAZIONE S.C.
965852749F;2023-03-03;DET. 1725/2022 ADESIONE ALLA CONVENZIONE QUADRO ESTAR PER L'AFFIDAMENTO DEL SERVIZIO DI CONSERVAZIONE, TRACCIABILITÀ E RINTRACCIABILITÀ DELLE INCLUSIONI IN PARAFFINA (BLOCCHETTI) E DEI RELATIVI VETRINI;4299600;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VARI SERVIZI SANITARI;ARCHIMEDE - SOCIETA' COOPERATIVA SOCIALE
