# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO-UNIVERSITARIA CAREGGI (ANAC)
# 660 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B466B11987;2024-11-22;FORNITURA DI PRODOTTI E DI SERVIZI PER LA REALIZZAZIONE, MANUTENZIONE E GESTIONE DI RETI LOCALI PER LE PUBBLICHE AMMINISTRAZIONI, SUDDIVISA IN 2 LOTTI, AI SENSI DELL'ARTICOLO 26 LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58 LEGGE 23 DICEMBRE 2000 N. 388 - EDIZIONE 8;145154514;AFFIDAMENTO DIRETTO;RETE LOCALE;VODAFONE ITALIA S.P.A.
A05BD0AAE5;2024-05-31;SERVIZI DI LAVANOLO, STERILIZZAZIONE E ALTRI SERVIZI CONNESSI;96766743;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;SERVIZI ITALIA S.P.A.
992416500A;2023-06-23;RINNOVO CONTRATTUALE TRA L'AOUC E DUSMANN SERVICE SRL PER I SERVIZIO DI RISTORAZIONE DEGENTI;11400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI MENSA;GE.S.IN. GESTIONE SERVIZI INTEGRATI - SOCIETA' COOPERATIVA (IN SIGLA GE.S.IN. SOCIETA' COOPERATIVA)
A066655F5D;2024-09-15;SERVIZIO DI RACCOLTA, TRASPORTO E SMALTIMENTO DEI RIFIUTI SANITARI - DET 627/2024 - ECO ERIDANIA;11200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
B334F53E6C;2024-09-26;NOLEGGIO DI APPARECCHIATURE MULTIFUNZIONE DI FASCIA MEDIA;8583584;AFFIDAMENTO DIRETTO;FOTOCOPIATRICI E STAMPANTI OFFSET;OLIVETTI S.P.A. SOCIETA' BENEFIT
A06C3DBCEE;2023-11-01;ADESIONE ACCORDO QUADRO PER L'AFFIDAMENTO DEI SERVIZI INTEGRATI DI MANUTENZIONE, CONDUZIONE E GESTIONE IMMOBILI LOTTO 1;8264462;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI DI EDIFICI;
A046BE84F0;2024-01-16;DET. ESTAR 1529/2023 FORNITURA IN NOLEGGIO DI SISTEMI CHIRURGICI ROBOTICI PER LE AA.SS. DELLA REGIONE TOSCANA (N. 1 LOTTO) - DITTA AB MEDICA SPA;7500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;AB MEDICA S.P.A.
A010BE3201;2023-09-08;SERVIZIO DI APPROVIGIONAMENTO DI SET PROCEDURALI E MATERIALE IN TNT STERILE PER LE SALE OPERATORIE - ADDENDUM 505/2023 - SERVIZI ITALIA SPA;7050000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;TESSUTI NON TESSUTI;SERVIZI OSPEDALIERI S.P.A.
9744366933;2023-02-22;FORNITURA DI VALVOLE CARDIACHE BIOLOGICHE PER IMPIANTO TRANSCATETERE, SISTEMI PER IL TRATTAMENTO PERCUTANEO DELL'INSUFFICIENZA MITRALICA E DELL'INSUFFICIENZA TRICUSPIDALICA (N. 6 LOTTI) OCCORRENTI ALLE AZIENDE SANITARIE ED OSPEDALIERO-UNIVERSITARIE DELLA REGIONE TOSCANA-RIF.DET.245/2023 LOTTO 1 AGGI;6930000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VALVOLE CARDIACHE;EDWARDS LIFESCIENCES ITALIA S.R.L.
974473273C;2023-02-22;FORNITURA DI VALVOLE CARDIACHE BIOLOGICHE PER IMPIANTO TRANSCATETERE, SISTEMI PER IL TRATTAMENTO PERCUTANEO DELL'INSUFFICIENZA MITRALICA E DELL'INSUFFICIENZA TRICUSPIDALICA (N. 6 LOTTI) OCCORRENTI ALLE AZIENDE SANITARIE ED OSPEDALIERO-UNIVERSITARIE DELLA REGIONE TOSCANA DETERMINA ESTAR 245/2023 LOTT;6509100;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VALVOLE CARDIACHE;MEDTRONIC ITALIA S.P.A.
