# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO UNIVERSITARIA MEYER (ANAC)
# 267 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A047D0EBAC;2023-09-30;SERVIZI INTEGRATI DI MANUTENZIONE, CONDUZIONE E GESTIONE IMMOBILI E IMPIANTI IN USO A REGIONE TOSCANA, AGENZIE REGIONALI ED ENTI DIPENDENTI DELLA REGIONE TOSCANA, ENTI DEL SERVIZIO SANITARIO REGIONALE - LOTTO 2 - ADESIONE ALL'ACCORDO QUADRO STIPULATO DALLA REGIONE TOSCANA IN QUALITÀ DI SOGGETTO AGGR;5782472;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI DI EDIFICI;OPLONDE S.R.L.
B318C5A6E7;2024-09-18;FORNITURA ACCORDO QUADRO ZOLGENSMA 4 TRATTAMENTI DET ESTAR 945/2024 FINO 31/12/2025;4948166;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
B24903B020;2024-11-14;PRESTAZIONI DI SERVIZI IN HOUSE;4465202;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;SERVIZI DI OPERATORE TELEFONICO;CONSORZIO METIS
959576756E;2023-01-09;ZOLGENSMA VII PAZIENTE;3900114;AFFIDAMENTO DIRETTO;MEDICINALI VARI;
9509617035;2023-01-01;FORNITURA DI ENERGIA ELETTRICA IN ALTA E MEDIA TENSIONE - ANNO 2023 - PER L'A.O.U. MEYER - ADESIONE ALLA CONVENZIONE STIPULATA DALLA REGIONE TOSCANA;3138090;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;NOVA AEG S.P.A
B18299B78F;2024-05-03;CONCESSIONE DEL SERVIZIO DI RISTORO A MEZZO DISTRIBUTORI AUTOMATICI;2535180;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ITALIAN VENDING GROUP S.R.L. IN SIGLA IVG S.R.L.
B340968DB8;2024-10-01;SERVIZIO DI RACCOLTA . TRASPORTO E SMALTIMENTO DEI RIFIUTI SANITARI;2500000;AFFIDAMENTO DIRETTO;SERVIZI DI SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
A02A6E1B55;2024-01-01;ADESIONE ALLA CONVENZIONE RELATIVA ALLA FORNITURA DI ENERGIA ELETTRICA NELL'ANNO 2024 STIPULATA DALLA REGIONE TOSCANA A SEGUITO DI PROCEDURA APERTA ESEGUITA DAL C.E.T. CONSORZIO ENERGIA TOSCANA S.C.A.R.L.;1980343;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;EDISON ENERGIA S.P.A.
B28574DD56;2024-07-19;ADESIONE PROVVEDIMENTO ESTAR N. 300-2024 LOTTO 1 SERVICE SISTEMA SEQUENZIATORE NSG SOC. TECHNOGENETICS;1934643;AFFIDAMENTO DIRETTO;SISTEMI DIAGNOSTICI;TECHNOGENETICS S.P.A.
B4AEEA782B;2024-12-06;ADESIONE ACCORDO QUADRO RELATIVO ALLA FORNITURA DI ENERGIA ELETTRICA PER L'A.O.U. MEYER I.R.C.C.S. - ANNO 2025;1876139;AFFIDAMENTO DIRETTO;ELETTRICITÀ;EDISON ENERGIA S.P.A.
