# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA USL N.2 DELL UMBRIA (ANAC)
# 4409 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2D29FC1FE;2024-08-23;SERVIZI DI ASSISTENZARESIDENZIALE, SEMIRESIDENZIALE EDOMICILIARE, DESTINATA AGLI UTENTIANZIANI;121590764;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;
B2D29FD2D1;2024-08-23;SERVIZI DI ASSISTENZARESIDENZIALE, SEMIRESIDENZIALE EDOMICILIARE, DESTINATA AGLI UTENTIDISABILI ADULTI;116211893;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;
B2D29FF477;2024-08-23;SERVIZI DI ASSISTENZARESIDENZIALE, SEMIRESIDENZIALE EDOMICILIARE, DESTINATA A SOGGETTIAFFETTI DA PATOLOGIE MENTALI E ASOGGETTI CON DIPENDENZE;72023007;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;
B2D29FE3A4;2024-08-23;SERVIZI DI ASSISTENZA SEMIRESIDENZIALE EDOMICILIARE, DESTINATA A DISABILIMINORI;48056426;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;
9913125988;2023-06-30;LOTTO 3 SERVIZI ASSISTENZIALI AREA SUD;30444900;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;
B511B11B18;2025-01-02;VEDI DOCUMENTAZIONE DI GARA;27587354;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;
B0FB46F5EF;2024-03-27;SERVIZI SOCIO-SANITARI DI ASSISTENZA RESIDENZIALE, SEMIRESIDENZIALE E DOMICILIARE DESTINATI AD UTENTI RESIDENTI NEL TERRITORIO DELL'EX ASL N. 4 DELL'UMBRIA.;23489691;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE;SOCIETA' COOPERATIVA SOCIALE ACTL
971814856D;2023-05-15;INTERVENTO DI MIGLIORAMENTO SISMICO DELL'OSPEDALE SAN GIOVANNI BATTISTA DI FOLIGNO - VIA MASSIMO ARCAMONE;14989742;PROCEDURA APERTA;LAVORI STRUTTURALI;EDILSYSTEM S.R.L.
B870FDD953;2025-09-30;DDG FF 981 DEL 20/05/2025: RECEPIMENTO DETERMINA PUNTOZERO SCARL15/04/2025: PROCEDURA APERTA PER L'AFFIDAMENTO IN CONVENZIONE DEL SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE (CON FORNITURA DI FARMACO OSSIGENO LIQUIDO, LOX, E CON CONCENTRATORI, COX) ED EROGAZIONE DI SERVIZI CONNESSI PER LE NECESSITÀ DELL;12131783;AFFIDAMENTO DIRETTO;;NIPPON GASES PHARMA S.R.L.
B676CD3F78;2025-04-14;SERVIZIO INTRAOSPEDALIERO DI TRASPORTO/ACCOMPAGNAMENTO DEGENTI, PAZIENTI DI PRONTO SOCCORSO ED ATTIVITÀ COMPLEMENTARI;11937690;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;
9910202D64;2023-06-30;LOTTO 1 - ANZIANI SEMIRESIDENZIALI E DOMICILIARI, DISABILI MINORI E ADULTI, PATOLOGIE MENTALI AREA NORD;11850000;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;
9913002409;2023-06-30;LOTTO 2 ANZIANI RESIDENZIALE AREA NORD E SERVIZI EX ONPI;11800000;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;
97598735FC;2023-04-13;SERVIZI SOCIO SANITARI DI ASSISTENZA RESIDENZIALE, SEMIRESIDENZIALE E DOMICILIARE DESTINATI AD UTENTI RESIDENTI NEL TERRITORIO DELL'EX ASL N. 4 DELL'UMBRIA NELLE MORE PROCEDURA APERTA;10889130;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE;ALBA SOCIETA' COOPERATIVA SOCIALE
99555614D5;2023-05-30;CONTRATTO DI APPALTO PER L'AFFIDAMENTO DEI SERVIZI INTEGRATI PER LA GESTIONE E LA MANUTENZIONE DELLE APPARECCHIATURE SANITARIE DELL'AZIENDA UNITÀ SANITARIA LOCALE UMBRIA 2 - ESERCIZIO DI RINNOVO PERIODO CONTRATTUALE 01.01.2023 - 31.12.2025;10875000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;ELETTRONICA BIO MEDICALE S.P.A.
B676CD2EA5;2025-04-14;SERVIZIO DI TRASPORTO E COLLEGAMENTO FRA LE STRUTTURE E I PRESIDI AZIENDALI;9027903;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE, MAGAZZINAGGIO E SERVIZI AFFINI;
B85CE817A0;2025-09-24;LORRO 1 - AREA SIERO;8539549;AFFIDAMENTO DIRETTO;REAGENTI E MEZZI DI CONTRASTO;ROCHE DIAGNOSTICS S.P.A.
B09C14A5A5;2024-02-29;FORNITURA DI AUSILI PER INCONTINENZA - LOTTO N.1 - DITTA SANTEX;7919904;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANTEX S.P.A.
A06194DDE8;2024-09-23;ADESIONE A CONVENZIONE PUNTO ZERO SCARL - CRAS PER L'AFFIDAMENTO IN CONVENZIONE DEL SERVIZIO DI RACCOLTA, TRASPORTO E SMALTIMENTO/RECUPERO DEI RIFIUTI SANITARI PERICOLOSI E NON, OCCORRENTE PER LE ESIGENZE DELLE AZIENDE OSPEDALIERE E PER LE AZIENDE U.S.L. UMBRIA N. 1 E N. 2 DELLA REGIONE UMBRIA;6840189;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
A0419301F4;2023-12-29;SERVIZIO DI TRASPORTO CON CONDUCENTE DI PAZIENTI NEFROPATICI CRONICI IN TRATTAMENTO DIALITICO OSPEDALIERO, DA EFFETTUARSI CON I COMUNI MEZZI DI TRASPORTO;6656250;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
A009AAB3A6;2023-09-11;RECEPIMENTO DETERMINAZIONE DELL'AMMINISTRATORE UNICO DEL 01/08/2023 'APPALTO SPECIFICO AI SENSI DELL'ART.55 DEL D.LGS. N.50/2016 E SMI, NELL'AMBITO DELLO SDA CONSIP, PER LA FORNITURA DI FARMACI ESCLUSIVI E GENERICATI SUDDIVISA IN N.1556 LOTTI ALLE AZIENDE SANITARIE DELLA REGIONE UMBRIA. CODICE GARA ;6502571;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ANTINFETTIVI GENERALI PER USO SISTEMICO, VACCINI, AGENTI ANTINEOPLASTICI E IMMUNOMODULATORI;ASTELLAS PHARMA S.P.A.
9650989810;2023-02-10;CONVEZIONE CONSIP 'FORNITURA ENERGIA ELETTRICA 20 - LOTTO 9 (MARCHE-UMBRIA)' - STRUTTURE AREA NORD - PERIODO CONTRATTUALE 01/04/2023-31/03/2024;6300000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
971872733C;2023-08-14;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO MEDIANTE APPALTO INTEGRATO DELLA PROGETTAZIONE DEFINITIVA ED ESECUTIVA E DELLA REALIZZAZIONE DEGLI INTERVENTI DI RECUPERO FUNZIONALE PER LA REALIZZAZIONE DI UN OSPEDALE E DI UNA CASA DI COMUNITA' IN ORVIETO PIAZZA DUOMO;6232593;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;STREVER S.P.A.
B0F668D095;2024-03-26;SERVIZI SOCIO-SANITARI DI ASSISTENZA RESIDENZIALE, SEMIRESIDENZIALE E DOMICILIARE DESTINATI AD ANZIANI DA RENDERE PRESSO IL TERRITORIO DELLA EX ASL N. 3 DELL'UMBRIA;6060150;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;PALOMAR SOCIETA' CONSORTILE COOPERATIVA SOCIALE
9597874030;2023-03-28;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO MEDIANTE APPALTO INTEGRATO DELLA PROGETTAZIONE DEFINITIVA ED ESECUTIVA E DELLA REALIZZAZIONE DEI LAVORI DI MIGLIORAMENTO SISMICO DELL'OSPEDALE SANTA MARIA DELLA STELLA IN ORVIETO IN LOCALITA' CICONIA.;5439045;PROCEDURA APERTA;LAVORI STRUTTURALI;CONSORZIO INTEGRA SOCIETA' COOPERATIVA
B6DE3E1AD3;2025-05-15;RECEPIMENTO DETERMINAZIONI DELL'AMMINISTRATORE UNICO DI PUNTO ZERO S.C. A R.L. DEL 26/03/2025 RELATIVA ALL'AGGIUDICAZIONE DELLA PROCEDURA APERTA, AI SENSI DELL'ART. 71 D.LGS. N. 36/2023, PER L'AFFIDAMENTO IN CONVENZIONE DELLA FORNITURA DI FARMACI ESCLUSIVI E ETOR ALLE AZIENDE SANITARIE DELLA REGIONE;5325267;AFFIDAMENTO DIRETTO;;MSD ITALIA S.R.L.
B1DC58D255;2024-05-28;RECEPIMENTO DETERMINAZIONE DELL'AMMINISTRATORE UNICO DI PUNTOZERO S.C. A R.L. DEL 09/05/2024: APPALTO SPECIFICO INDETTO DA PUNTOZERO S.C. A R.L. (CRAS) PER L'AFFIDAMENTO DELLA FORNITURA DI FARMACI ESCLUSIVI E GENERICATI, SUDDIVISA IN N. 944 LOTTI  COD. GARA ANAC 9512849 , PER 36 MESI CODICE PRATICA ;4792946;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
A01D85E01E;2023-10-28;SERVIZI DI ASSISTENZA RESIDENZIALE, SEMIRESIDENZIALE E DOMICILIARE DESTINATI A DIVERSE TIPOLOGIE DI UTENTI DELL'AZIENDA USL UMBRIA 2- LOTTO 6;4666500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE;ALBA SOCIETA' COOPERATIVA SOCIALE
B706BC854F;2025-05-26;RECEPIMENTO DETERMINAZIONI DELL'AMMINISTRATORE UNICO DI PUNTO ZERO S.C. A R.L. DEL 26/03/2025 RELATIVA ALL'AGGIUDICAZIONE DELLA PROCEDURA APERTA, AI SENSI DELL'ART. 71 D.LGS. N. 36/2023, PER L'AFFIDAMENTO IN CONVENZIONE DELLA FORNITURA DI FARMACI ESCLUSIVI E ETOR ALLE AZIENDE SANITARIE DELLA REGIONE;4561660;AFFIDAMENTO DIRETTO;;PFIZER S.R.L.
B818F13788;2025-09-02;RECEPIMENTO DETERMINAZIONI DELL'AMMINISTRATORE UNICO DI PUNTO ZERO S.C. A R.L. DEL 14/07/2025 RELATIVA ALL'AGGIUDICAZIONE PER L'AFFIDAMENTO IN CONVENZIONE DELLA FORNITURA DI FARMACI SUDDIVISA IN N. 499 LOTTI OCCORRENTI ALLE AZIENDE SANITARIE DELLA REGIONE UMBRIA, NELL'AMBITO DEL SISTEMA DINAMICO DI ;4310400;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
B85E937287;2025-09-24;LOTTO 16 - MICROBIOLOGIA;3994784;AFFIDAMENTO DIRETTO;REAGENTI E MEZZI DI CONTRASTO;BIOMERIEUX ITALIA SPA
B511B13CBE;2025-01-02;VEDI DOCUMENTAZIONE DI GARA;3971395;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;
A044E00701;2023-12-27;PRESIDIO OSPEDALIERO SAN GIOVANNI BATTISTA DI FOLIGNO-VIA MASSIMO ARCAMONE-AMPLIAMENTO DEL PRONTO SOCCORSO CON REALIZZAZIONE DI NUOVA STRUTTURA IN ADIACENZA ALL'ATTUALE CON RIORGANIZZAZIONE E RISTRUTTURAZIONE DELL'INTERA AREA - AFFIDAMENTO LAVORI;3875089;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI SANITARI;
B6CF391AEA;2025-05-12;RECEPIMENTO DETERMINAZIONI DELL'AMMINISTRATORE UNICO DI PUNTO ZERO S.C. A R.L. DEL 26/03/2025 RELATIVA ALL'AGGIUDICAZIONE DELLA PROCEDURA APERTA, AI SENSI DELL'ART. 71 D.LGS. N. 36/2023, PER L'AFFIDAMENTO IN CONVENZIONE DELLA FORNITURA DI FARMACI ESCLUSIVI E ETOR ALLE AZIENDE SANITARIE DELLA REGIONE;3736406;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
B0FAC22C52;2024-03-27;SERVIZI SOCIO-SANITARI DI ASSISTENZA SEMIRESIDENZIALE E DOMICILIARE DESTINATI AD UTENTI DISABILI ADULTI RESIDENTI NEL TERRITORIO DELL'EX ASL N. 3 DELL'UMBRIA.;3713130;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;PALOMAR SOCIETA' CONSORTILE COOPERATIVA SOCIALE
975963840F;2023-04-13;SERVIZI SOCIO SANITARI DI ASSISTENZA RESIDENZIALE, SEMIRESIDENZIALE E DOMICILIARE DESTINATI AD ANZIANI NELLE MORE PROCEDURA APERTA;3636090;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE;PALOMAR SOCIETA' CONSORTILE COOPERATIVA SOCIALE
966426321F;2023-02-24;AFFIDAMENTO FORNITURA ACCELERATORE LINEARE PER RADIOTERAPIA SPOLETO;3500000;PROCEDURA APERTA;ACCELERATORI LINEARI;VARIAN MEDICAL SYSTEMS ITALIA S.P.A.
A04EC8ABA0;2024-02-08;CONVENZIONE CONSIP 'FORNITURA ENERGIA ELETTRICA 20 - LOTTO 9 (MARCHE-UMBRIA)' - STRUTTURE AREA NORD - PERIODO CONTRATTUALE 01/04/2024-31/03/2025;3500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
9718268873;2023-09-29;INTERVENTO DI RECUPERO FUNZIONALE OSPEDALE DI COMUNITÀ IN MONTEFLACO VIA RINGHIERA UMBRA;3473946;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;ATIPROJECT S.R.L.
97508006B5;2023-06-26;CASA DELLA COMUNITÀ TERNI VIALE TRIESTE - INTERVENTO DI RISTRUTTURAZIONE E NUOVA COSTRUZIONE - AFFIDAMENTO LAVORI;3331960;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;STREVER S.P.A.
B2687DCBB0;2024-07-10;CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 – EDIZIONE 21;3300000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B267D4F6C2;2024-07-09;CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 – EDIZIONE 21;3300000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A S.P.A.
B2791B5E19;2024-07-16;FORNITURA ENERGIA ELETTRICA;3300000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B6D9A70FBE;2025-05-14;RECEPIMENTO DETERMINAZIONI DELL'AMMINISTRATORE UNICO DI PUNTO ZERO S.C. A R.L. DEL 26/03/2025 RELATIVA ALL'AGGIUDICAZIONE DELLA PROCEDURA APERTA, AI SENSI DELL'ART. 71 D.LGS. N. 36/2023, PER L'AFFIDAMENTO IN CONVENZIONE DELLA FORNITURA DI FARMACI ESCLUSIVI E ETOR ALLE AZIENDE SANITARIE DELLA REGIONE;3193344;AFFIDAMENTO DIRETTO;;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
