# Ospedali Trasparenti — contratti pubblici di AZIENDA ASL DI VITERBO (ANAC)
# 1859 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2F5991A19;2024-09-06;SERVIZI DI SVILUPPO DELL'INTEROPERABILITA' DEI DATI SANITARI E SVILUPPO DI INTERFACCE APPLICATIVE, SISTEMI DI MESSAGE BROKER E SISTEMI DI ORCHESTRAZIONE – CUP G89J22001460001 IN ADESIONE AD ACCORDO QUADRO CONSIP SERVIZI APPLICATIVI IN AMBITO SANITARIO - SISTEMI INFORMATIVI SANITARI E SERVIZI AL CITT;71489706;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;DEDALUS ITALIA S.P.A.
B27098AF8A;2024-07-15;LOTTO 2 – STRUTTURE TERRITORIALI;18750000;PROCEDURA APERTA;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;LA TORRE COSTRUZIONI - S.R.L.
B270989EB7;2024-07-15;LOTTO 1 – PRESIDI OSPEDALIERI;18750000;PROCEDURA APERTA;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;ICR IMPIANTI E COSTRUZIONI SRL
99207806A4;2023-06-28;PROCEDURA APERTA TELEMATICA IN AMBITO COMUNITARIO, AI SENSI DEGLI ARTT. 58 E 60 DEL D.LGS. 50/2016, VOLTA ALL'AFFIDAMENTO DEL SERVICE DI STERILIZZAZIONE CON FORNITURA DI STRUMENTARIO CHIRURGICO ED ATTIVITÀ CONNESSE PER LA ASL VITERBO.;14515718;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;SERVIZI ITALIA S.P.A.
A03A38ABC8;2023-12-06;SERVIZIO OSSIGENOTERAPIA DOMICILIARE RECEPIMENTO GARA REGIONALE;7988004;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;OSSIGENO;Operatore individuale (persona fisica)
991176680D;2023-06-29;AFFIDAMENTO DELLE ATTIVITÀ LOGISTICHE INERENTI IL FLUSSO FISICO ED INFORMATIVO NECESSARIO PER EVADERE LE RICHIESTE D'APPROVVIGIONAMENTO INVIATE DAI REPARTI OSPEDALIERI O DA ALTRE UNITÀ AZIENDALI;6606500;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;DEMAX DEPOSITI E TRASPORTI SPA
A00892F5EF;2023-08-30;SERVIZIO SMALTIMENTO RIFIUTI SANITARI;5940759;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
A01E1404AD;2023-09-26;PRESA D'ATTO DRL G12653/2023 - LOTTO 1 ENHERTU;5400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A04E3D7DD8;2024-02-05;ADESIONE ASL DI VITERBO ALLA CONVENZIONE SOTTOSCRITTA TRA PSN S.P.A. E DIPARTIMENTO PER LA TRASFORMAZIONE DIGITALE DELLA PCM PER LA MIGRAZIONE AL PSN;5139735;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;
A03B201B98;2023-12-22;LAVORI DI MIGLIORAMENTO SISMICO P.O. CIVITA CASTELLANA CORPI A-E-C;4961662;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
9583516795;2023-03-01;FORNITURA AUSILI PER INCONTINENZA AD ASSORBENZA CONSEGNA DOMICILIARE;4612746;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;
9772599BCE;2023-04-14;MATERIALE CONSUMO MICROINFUSORI MEDTRONIC;4368000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
A0559957D1;2023-09-27;PRESA D'ATTO DRL G 12621/2023 - LOTTO 228;3996000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B48949A433;2024-11-29;FORNITURA TAGRISSO - DRL G08149/2024 - LOTTO 414;3367500;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
A03B62AA76;2023-12-22;LAVORI DI MIGLIORAMENTO SISMICO P.O. TARQUINIA CORPO B;2918229;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;PROTECNO IMPIANTI S.R.L.
B4370340A8;2024-11-11;FORNITURA DARZALEX - DRL G04209/2022 - LOTTO 14;2908854;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
