# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI RIETI (ANAC)
# 2788 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B45A6DE0E8;2024-11-21;PRESIDI TERRITORIALI ASL RIETI;12931164;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;ALFREDO CECCHINI SOCIETA A RESPONSABILITA LIMITATA
B45A6DD015;2024-11-21;P.O. SAN CAMILLO DE LELLIS;10573740;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;AUROS ELEVATOR - SOCIETA' A RESPONSABILITA' LIMITATA
A039906E45;2023-12-22;TRASPORTO PROTETTO E TRASFERIMENTO DEI PAZIENTI PRESSO ALTRE STRUTTURE SANITARIE E TRASPORTO DI MATERIALE SANITARIO E NON (BIOLOGICO PER ESAMI, POSTA, FARMACI, DOCUMENTAZIONE SANITARIA.);8834860;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B459F4AFF3;2024-11-21;FORNITURA, GESTIONE, DISTRIBUZIONE GAS MEDICINALI AIC, GAS MEDICINALI FU, GAS DM E GAS TECNICI E DI LABORATORIO, NONCHÉ MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI DI STOCCAGGIO, PRODUZIONE ON-SITE E DI DISTRIBUZIONE, PRESSO I PRESIDI OSPEDALIERI E SANITARI DELLA ASL DI RIETI.;7436917;PROCEDURA APERTA;IDROGENO, ARGO, GAS RARI, AZOTO E OSSIGENO;TECNOIMPIANTI S.R.L.
B369C58379;2024-10-14;FORNITURA, GESTIONE, DISTRIBUZIONE GAS MEDICINALI AIC, GAS MEDICINALI FU, GAS DM E GAS TECNICI E DI LABORATORIO, NONCHÉ MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI DI STOCCAGGIO, PRODUZIONE ON-SITE E DI DISTRIBUZIONE, PRESSO I PRESIDI OSPEDALIERI E SANITARI DELLA ASL DI RIETI;7104364;PROCEDURA APERTA;IDROGENO, ARGO, GAS RARI, AZOTO E OSSIGENO;
B05EFEB84B;2024-02-13;CONTRATTO DI UTENZA SERVIZI CLOUD POLO STRATEGICO NAZIONALE;6077394;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;POLO STRATEGICO NAZIONALE S.P.A.
A008289965;2023-09-11;PRESA D'ATTO DELLA DETERMINAZIONE N. G06702 17/05/2023 CON CUI È STATA DISPOSTA L'AGGIUDICAZIONE DELLA 'PROCEDURA APERTA FINALIZZATA ALLA STIPULA DI UNA CONVENZIONE VOLTA ALL'AFFIDAMENTO DEL SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE OCCORRENTE ALLE AZIENDE SANITARIE DELLA REGIONE LAZIO.' ADESIONE AL L;5272459;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;OSSIGENO;NIPPON GASES INDUSTRIAL S.R.L.
B284EB128D;2024-07-22;FORNITURA CHIAVI IN MANO RMN 3,0 T E TAC NON INFERIORE A 256 STRATI;5189291;PROCEDURA APERTA;APPARECCHIATURE PER IMMAGINOGRAFIA A RISONANZA MAGNETICA;SIEMENS HEALTHCARE S.R.L.
9620848EEA;2023-03-31;FORNITURA IN NOLEGGIO SERVICE FULL RISK DI EMOGASANALIZZATORI DA BANCO E DEI CONSUMABILI E REAGENTI;4220040;PROCEDURA APERTA;APPARECCHI PER L'ANALISI DEL SANGUE;ADE MORI SPA
B1DBF4FB9C;2024-05-29;SERVIZI DI ARCHIVI;3456060;PROCEDURA APERTA;SERVIZI DI ARCHIVI;DEMAX DEPOSITI E TRASPORTI SPA
B437F58F37;2024-11-11;PRESA ATTO DELLA DETERMINA N. G14083 DEL 23/10/2024 CON CUI LA CENTRALE ACQUISTI HA DISPOSTO LA RETTIFICA DI ALCUNI LOTTI;3312882;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B437E09AC5;2024-11-11;PRESA ATTO DELLA DETERMINA N. G14083 DEL 23/10/2024 CON CUI LA CENTRALE ACQUISTI HA DISPOSTO LA RETTIFICA DI ALCUNI LOTTI;3312882;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
9620888FEC;2023-03-31;FORNITURA IN NOLEGGIO SERVICE FULL RISK DI EMOGASANALIZZATORI PORTATILI CON POSSIBILITÀ DI TEST URGENZA/EMERGENZA E DEI CONSUMABILI E REAGENTI;3249400;PROCEDURA APERTA;APPARECCHI PER L'ANALISI DEL SANGUE;ABBOTT S.R.L.
A00A374395;2023-09-21;GARA CENTRALIZZATA PER L'AFFIDAMENTO DEL SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE LAZIO SUDDIVISA IN 7 LOTTI. PRESA D'ATTO DELL'AVVENUTA AGGIUDICAZIONE IN FAV;2673822;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
99962541C3;2023-09-28;AFFIDAMENTO DEI LAVORI PER LA REALIZZAZIONE DI UN ODC PASSO CORESE - FRAZ. FARA SABINA NELL'AMBITO DEL PNRR - M6C1 1.3;2369749;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;GRUPPO ZETA COSTRUZIONI S.R.L.
B31440348B;2024-09-19;NOLEGIO FULL RISK SISTEMA ESECUZIONE ANALISI MARCATORI BIOMOLECOLARI PROGNOSTICO PREDITTIVI NELLE PATOLOGIE TUMORALI+CONSUMABILI E KIT DIAGNOSTICI X TEST MEDIANTE TECNICHE DI BIOLOGIA MOLECOLARE ESTRATTIVA;2222605;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DIATECH PHARMACOGENETICS SOCIETA' A RESPONSABILITA' LIMITATA
A050E3FC80;2024-01-23;ADESIONE ALLA CONVENZIONE 'POLO STRATEGICO NAZIONALE - CONCESSIONE PER LA REALIZZAZIONE E LA GESTIONE DI UNA NUOVA INFRASTRUTTURA INFORMATICA AL SERVIZIO DELLA PA ('PSN'), PER LA DEMATERIALIZZAZIONE DI ATTI AMMINISTRATIVI, SANITARI E CLINICI;2148114;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;SOGEI S.P.A.
A00E1BD9CE;2023-09-28;FORNITURA DI LICENZE MICROSOFT ENTERPRISE AGREEMENT IN ADESIONE ALLA CONVENZIONE CONSIP ID SIGEF: 2441 - ENTERPRISE AGREEMENT 7;2113262;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;TIM S.P.A.
9905628ECE;2023-06-29;LOTTO 1 _ SEVIZIO VENTILOTERAPIA DOMICILIARE _FORNITORE RTI MEDICAIR - VIVISOL - VITALAIRE;2009369;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;VITALAIRE ITALIA SPA
A02431A497;2023-11-20;ANALISI EMOCOAGULATIVE;1803563;PROCEDURA APERTA;SISTEMA DI CHIMICA CLINICA;
B28354EF64;2024-07-18;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 414_ASTRAZENECA SPA_DELIBERA N. 608/C.S. DEL 26/06/2024;1697220;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTRAZENECA S.P.A.
B262D6FC87;2024-07-08;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 118, _BIOGEN ITALIA S.R.L. - DELIBERA N.608/C.S./2024 DEL 26/06/2024;1679933;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
B25AE6CC4D;2024-07-04;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO , 15,_JANSSEN-CILAG SPA - DELIBERA N.608/C.S./2024 DEL 26/06/2024;1620000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
A0455EE238;2023-12-28;PRESA ATTO GARA FARMACI 2022 IX TRANCHE LOTTO N. 10;1546520;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B273BE3BE2;2024-07-12;PRESA ATTO 456/2024;1537272;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B273C6BC1D;2024-07-12;PRESA ATTO 567/2024;1537272;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B1B8E605F9;2024-05-17;DELIBERA PRESA D'ATTO N. 285/CS DEL 26/03/2024RETTIFICA N. 485/CS DEL 15/05/2024;1523328;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GRIFOLS ITALIA S.P.A.
A01AA5FB11;2023-10-20;PRESA ATTO GARA FARMACI 2023 VII TRANCHE UNICO LOTTO;1477912;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
B41BA0AB08;2024-11-04;PRESA ATTO DELLA DETERMINA N. G14083 DEL 23/10/2024 CON CUI LA CENTRALE ACQUISTI HA DISPOSTO LA RETTIFICA DI ALCUNI LOTTI;1450872;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
9661494511;2023-02-17;PRESA ATTO E ADESIONE GARA FARMACI 2022 VIII TRANCHE LOTTO 66;1289050;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9996372323;2023-09-28;AFFIDAMENTO DEI LAVORI PER LA REALIZZAZIONE DI UN ODC POGGIO MIRTETO NELL'AMBITO DEL PNRR - M6C1 1.3;1263620;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GRUPPO ZETA COSTRUZIONI S.R.L.
B25AFC04E3;2024-07-04;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 67, _BRISTOL-MYERS SQUIBB S.R.L. - DELIBERA N.608/C.S./2024 DEL 26/06/2024;1195708;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
