# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE LATINA (ANAC)
# 1672 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B45934009F;2024-11-21;REAGENTI E MEZZI DI CONTRASTO;27972500;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;
B4C2070FAF;2024-12-13;SERVIZIO TRASPORTO INFERMI;19988000;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B2C4B3E1F3;2024-08-12;PNRR M6C2 1.1.1 APP E PORTALI - DEA I - FORMIA - POSUD;12037002;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;DEDALUS ITALIA S.P.A.
B25F755727;2024-07-09;ACCORDO QUADRO LAVORI DI MANUTENZIONE EDILE E ACCESSORI DI GESTIONE;11754000;PROCEDURA APERTA;LAVORI EDILI;ALFREDO CECCHINI SOCIETA A RESPONSABILITA LIMITATA
B055AAAD39;2024-02-09;ADESIONE A CONVENZIONE PER LA REALIZZAZIONE DEL POLO STRATEGICO NAZIONALE (PSN) COMPRENSIVO DEI SERVIZI DI MIGRAZIONE, DELLA PIATTAFORMA CLOUD, DEI SERVIZI DI SICUREZZA E DI DISASTER RECOVERY, RIENTRANTI NEL PROGETTO PNRR M1.C1.INV.1.1 – DURATA DEL CONTRATTO DI ANNI 10;11352530;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TIM S.P.A.
A021853789;2023-10-03;FORNITURA DEL SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE PER LA ASL DI LATINA PER LA DURATA DI 48 MESI - RTI VIVISOL SRL (CAPOGRUPPO)/VOXISUD SRL;10842180;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;OSSIGENO;
B111E53A2D;2024-04-04;LAVORI DI MANUTENZIONE EDILE E ACCESSORI DI GESTIONE DA ESEGUIRSI SU IMMOBILI IN USO A QUALSIASI TITOLO ALLA ASL DI LATINA;9795000;PROCEDURA APERTA;Lavori edili e di muratura;
A0125F6662;2023-10-09;SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE LAZIO- PER 48 MESI DITTA RTI ECOERIDANIASPA/SASTE SERVIZI ECOLOGICI SRL;7101252;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
9704669235;2023-03-16;FORNITURA DI AUSILI PER INCONTINENZA AD ASSORBENZA CONSEGNA DOMICILIARE - LOTTO 5;6725471;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;
B4436BF86A;2024-11-13;VERTEX PHARMACEUTICALS SRL - LOTTO 22;6270240;AFFIDAMENTO DIRETTO;;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
