# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE FROSINONE (ANAC)
# 3235 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B1BA38E05B;2024-05-17;RETI LOCALI 8;242780128;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VODAFONE SPA
B318B3DBB5;2024-09-20;SERVIZI DI AMBULANZA;14867519;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
A05ED24CBA;2024-05-22;ADESIONE ALLA CONVENZIONE 'POLO STRATEGICO NAZIONALE - CONCESSIONE PER LA REALIZZAZIONE E LA GESTIONE DI UNA NUOVA INFRASTRUTTURA INFORMATICA AL SERVIZIO DELLA PA ('PSN'), PER LA DEMATERIALIZZAZIONE DI ATTI AMMINISTRATIVI, SANITARI E CLINICI E CREAZIONE DEL FASCICOLO DIGITALE IN MODALITÀ 3D BIM PER ;14455283;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;TIM S.P.A.
B3999CD04F;2024-10-18;FARMACO KYPROLIS;13979686;AFFIDAMENTO DIRETTO;MEDICINALI VARI;AMGEN S.R.L.
B33E7D9C34;2024-10-01;ELLEPALMIRON;13920000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MOLTENI  & C. SPA
B3620017B2;2024-10-11;FARMACI ERBITUX;13704600;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SERONO SPA
B3E5DC4F7B;2024-10-22;FARMACI BYANNLI;13363690;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B4261BCDFC;2024-11-07;FARMACI SKYCLARYS;12853185;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;BIOGEN ITALIA S.R.L.
9914389C9D;2023-06-28;GARA A PROCEDURA APERTA FINALIZZATA ALLA COPERTURA ASSICURATIVA TRIENNALE DELLA RESPONSABILITÀ CIVILE TERZI E PRESTATORI D'OPERA;12000000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
B1DE0E4217;2024-05-29;ACCORDO QUADRO CON UN UNICO OPERATORE ECONOMICO PER LAVORI DI MANUTENZIONE EDILE E ACCESSORI DI GESTIONE DA ESEGUIRSI SU IMMOBILI IN USO A QUALSIASI TITOLO ALLA ASL FROSINONE;11520000;PROCEDURA APERTA;LAVORI DI RIPARAZIONE E RIPRISTINO;
B337E4B0F5;2024-09-30;FARMACO M.U. FILSUVEZ;10946879;AFFIDAMENTO DIRETTO;MEDICINALI VARI;CHIESI ITALIA S.P.A.
A00974882C;2023-08-01;ADESIONE ALLA PROCEDURA APERTA FINALIZZATA ALLA STIPULA DI UNA CONVENZIONE PER AFFIDAMENTO SERVIZIO OSSIGENOTERAPIA DOMICILIARE OCCORRENTE ALLE AZIENDE SANITARIE DELLA REGIONE LAZIO;10247642;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;OSSIGENO;
B4ED6310AF;2024-12-19;INTEGRAZIONE LOTTO 437 - III TRANCHE 2024 FARMACI;8867739;AFFIDAMENTO DIRETTO;;ALNYLAM ITALY S.R.L
A05F9961E9;2024-03-07;ADESIONE ALLA CONVENZIONE 'POLO STRATEGICO NAZIONALE - CONCESSIONE PER LA REALIZZAZIONE E LA GESTIONE DI UNA NUOVA INFRASTRUTTURA INFORMATICA AL SERVIZIO DELLA PA ('PSN'), PER LA MIGRAZIONE AL CLOUD DEI DATI DEGLI APPLICATIVI SANITARI ATTUALMENTE IN SERVIZIO SU INFRASTRUTTURE SERVER ON PREMISE.;7991624;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;TIM S.P.A.
99186443F6;2023-06-28;GARA, PROCEDURA APERTA, PER L'ACQUISIZIONE IN NOLEGGIO DI UN SISTEMA DI CHIRURGIA ROBOTICA E DEL MATERIALE MONOUSO ED IMPIANTABILE CORRELATO;7910000;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;
9836341560;2023-06-08;LOTTO 5 - II TRANCHE 2023 FARMACI;7740447;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9840290033;2023-06-07;LOTTO 10 - IX TRANCHE 2022 FARMACI - DITTA VERTEX PHARMACEUTICALS SRL;7364380;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B413D26AE7;2024-10-31;LOTTO 22 - VII TRANCHE 2024 FARMACI;7095822;AFFIDAMENTO DIRETTO;;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
9621623E77;2023-01-23;GARA CENTRALIZZATA PER LA FORNITURA DI AUSILI PER INCONTINENZA ED ASSORBENZA CON CONSEGNA DOMICILIARE;7027983;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;
B2660244CC;2024-07-10;FARMACI DUODOPA;6500000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ABBVIE S.R.L.
A03F6B7F51;2023-12-01;SERVIZIO SMALTIMENTO RIFIUTI SPECIALI;6073813;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
