# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO-UNIVERSITARIA POLICLINICO UMBERTO I (ANAC)
# 3113 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B26DBAF838;2024-07-11;ORDINATIVO DI FORNITURA - CONSIP EE ED.21 - LOTTO 10;36913806;AFFIDAMENTO DIRETTO;ELETTRICITÀ;HERA COMM S.P.A.
95952960C1;2023-01-11;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 102 FARMACO PEMBROLIZUMAB KEYTRUDA DITTA MSD ITALIA SRL CON SOCIO UNICO DETERMINA REGIONALE G12930 DEL 2022;29508480;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
9594345FF2;2023-01-10;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 71 FARMACO IBRUTINIB IMBRUVICA 140 MG 30 CPR DITTA JANSSEN-CILAG SPA DETERMINA REGIONALE G12930 DEL 2022;20433031;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B4450927FC;2024-11-14;ORDINATIVO PER FARMACI 2024_ SETTIMA TRANCHE LOTTI 214_JANSSEN-CILAG SPA;18853800;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B12545C38E;2024-04-09;SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI FORNITI A NOLO PRESSO L'AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO UMBERTO 1;14031769;PROCEDURA APERTA;GAS MEDICI;
A044223CC9;2023-12-27;AFFIDAMENTO DEL SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI FORNITI A NOLO PRESSO L'AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO UMBERTO I, PER UN PERIODO DI TRE ANNI EVENTUALMENTE RINNOVABILE PER ULTER;13343624;PROCEDURA APERTA;GAS MEDICI;
A02F5CBA8D;2023-12-19;ADESIONE ESITI GARA REGIONALE AFFIDAMENTO SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DALLE ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE LAZIO. AFFIDAMENTO PER QUATTRO ANNI DEL SERVIZIO AL RTI ECO ERIDANIA SPA;9197855;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
95942723B8;2023-01-10;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 50 FARMACO EMTRICITABINA/TENOFOVIR ALAFENAMIDE FUMARATOBIKTARVY*50/200/25MG 30CPR DITTA GILEAD SCIENCES SRL DETERMINA REGIONALE G12930 DEL 2022;8819768;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B2CD45319C;2024-08-20;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 232_BRISTOL-MYERS SQUIBB S.R.L.;8683500;AFFIDAMENTO DIRETTO;;BRISTOL-MYERS SQUIBB S.R.L.
B1C9C02807;2024-05-22;LOTTO 1 FARMACO EVKEEZA FLACONE 150 MG. II TRANCHE FARMACI 2024;8314831;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
