# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI PESCARA (ANAC)
# 2725 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2CE5700ED;2024-08-20;IMPIANTI RETE LAN;104129171;AFFIDAMENTO DIRETTO;RETE DI TELECOMUNICAZIONI;VODAFONE ITALIA S.P.A.
A05DF5578F;2023-12-27;ADESIONE GARA REGIONALE SIMOG N. 8662715 - SERVIZIO DI CURE DOMICILIARI PER I PAZIENTI RESIDENTI NEL TERRITORIA REGIONE ABRUZZO DETERMINAZIONE DIRIGENZIALE ARIC N. 46 DEL 16.03.2023;32358187;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CURE MEDICHE A DOMICILIO;
A05EF8D9E5;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA NOVARTIS FARMA SPA;28487394;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05EF59EFA;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA MSD ITALIA SRL CON SOCIO UNICO;24151048;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9625403DD2;2023-02-03;SERVIZIO DI SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO PER LE ESIGENZE DELLA ASL DI PESCARA;21250000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
B35407C370;2024-10-09;RCT/O;21000000;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ PROFESSIONALE;AMTRUST ASSICURAZIONI S.P.A.
9646149DF6;2023-02-17;SISTEMI DIAGNOSTICI PER LE ESIGENZE DEI LABORATORI ANALISI DELLA ASL DI PESCARA (PREANALITICA E POST ANALITICA, CHIMICA CLINICA, IMMUNOMETRIA E PROTEINE SPECIFICHE);18400400;PROCEDURA APERTA;MATERIALE DI SOMMINISTRAZIONE;
A05F00B1E2;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA ROCHE;16843531;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A016161EE3;2023-09-27;DELIBERA ASL PE N. 1201/2021 - ADESIONE GARA FARMACI ED. 3 SIMOG 7684969 - DITTE VARIE AGGIUDICATARIE.;16523745;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9757475B16;2023-03-09;DEL. 343/2023 PRESA D'ATTO DETERMINA ARIC N. 14 DEL 18.01.2023 - SERVIZI DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICALI E TECNICI, COMPRESA LA MANUTENZIONE DEGLIIMPIANTI A SERVIZIO DEI PRESIDI DELLE AA.SS.LL. DELLE REGIONI ABRUZZO E MOLISE - LOTTO 2 ASL PESCARA;13732322;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;
96628915E8;2023-02-16;GARA COMUNITARIA A PROCEDURA RISTRETTA, AI SENSI DELL'ART. 61 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ESECUZIONE DEI LAVORI DI AMPLIAMENTO, RISTRUTTURAZIONE E MESSA A NORMA DELPRESIDIO OSPEDALIERO DI PENNE (PE);12612524;PROCEDURA APERTA;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;
A05DD9BACE;2024-06-25;ADESIONE GARA REGIONALE - SIMOG N. 9525141 - SISTEMI DI MONITORAGGIO DELLA GLICEMIA LOTTO UNICO;11044963;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;ROCHE DIABETES CARE ITALY S.P.A.
B14E249687;2024-04-17;DELIBERA ASL PE 633/2024 - PRESA D'ATTO DETERMIN. AREACOM 15/2024 - PROSECUZIONE FORNITURA FARMACI VARI DI CUI ALL'APPALTO CENTRALIZZATO SIMOG 7684969- CIG UNICO PER TUTTI GLI OPERATORI - DITTE VARIE;10499928;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;A.P.M. S.R.L. - AZIENDA PRODOTTI MEDICALI (IN BREVE A.P.M. S.R.L.)
A05EFC3676;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM FARMACI OSPEDALIERI EDIZIONE IV - 2023 - SIMOG 9281553. DITTA GILEAD SCIENCES;10352075;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B42DEFFC83;2024-11-07;PRESA D'ATTO FORNITURA DI SERVIZI DI GUARDIANIA PER LE NECESSITA' DELLA ASL DI PESCARA;9591584;AFFIDAMENTO DIRETTO;SERVIZI DI PORTINERIA;DIOGENE COOPERATIVA SOCIALE
A050B32801;2023-09-06;PRESA D'ATTO DETERMINA ARIC N. 268 DEL 03.08.2023 SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO SMALTIMENTO;9096451;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI PER RIFIUTI RADIOATTIVI, TOSSICI, MEDICALI E PERICOLOSI;DI NIZIO EUGENIO SRL
97939130B0;2023-04-27;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 20-LOTTO 12 VIA R. PAOLINI;9000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
B24489B4C6;2024-06-27;PRESA D'ATTO DEL. 1335/23 ASL2 MATERIALE PER EMODIALISI LOTTO 68 VANTIVE (EX BAXTER);8697000;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
A04D64C0CD;2024-01-31;PRESA D'ATTO DETERMINA AREACOM N. 15/2024 - PROSECUZIONE FORNITURE FARMACI VARI DI CUI ALL'APPALTO CENTRALIZZATO SIMOG N. 7684969;8261873;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05F050AD0;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA TAKEDA ITALIA SPA;8217851;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B30C227AB8;2024-09-17;LISTINO;7500000;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
A05EF2868D;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM FARMACI OSPEDALIERI EDIZIONE IV - 2023 - SIMOG 9281553. DITTA BAYER;6886704;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05F025755;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA SANOFI;6349058;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05EF5E31E;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM FARMACI OSPEDALIERI EDIZIONE IV - 2023 - SIMOG 9281553. DITTA BRISTOL MYERS SQUIBB;6273587;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B2A3D3E04E;2024-07-30;SERVIZI DI VIGILANZA ARMATA, GUARDIANIA, RITIRO, TRASPORTO E DEPOSITO VALORI E TRASPORTO METADONE PER LE AA.SS.LL. DELLA REGIONE ABRUZZO;6258312;AFFIDAMENTO DIRETTO;SERVIZI DI VIGILANZA DI EDIFICI;ITALPOL VIGILANZA SOCIETA' A RESPONSABILITA' LIMITATA
B25022C723;2024-07-04;SISTEMA COMBINATO PER L'ESTRAZIONE DELLA CATARATTA, CON IRRIGAZIONE/ASPIRAZIONE, LA VITRECTOMIA ANTERIORE E POSTERIORE, LA DIATERMIA BIPOLARE, L'INIEZIONE E LA RIMOZIONE DI FLUIDI VISCOSI E SCAMBIO ARIA /GAS CON INTEGRATA UNITÀ ENDOLASER E SORGENTE DI LUCE A LED PER L'ESECUZIONE DI INTERVENTI DI CAT;5945400;PROCEDURA APERTA;ATTREZZATURE PER OFTALMOLOGIA;SINERGIE AGENZIE DI ALLEGRI ANDREA E RISPOLI STEFANO S.N.C
A042A4BF9A;2023-12-20;SERVIZIO DI PRESTAZIONI DI ASSISTENZA SANITARIA DOMICILIARE PER LA ASL DI PESCARA;5788100;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI CURE MEDICHE A DOMICILIO;MEDICASA ITALIA SPA
A05F0629AB;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA VERTEX PHARMACEUTICALS SRL;5643216;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05EFC14D0;2024-07-15;PRESA D'ATTO ESITI APPALTO AREACOM 'FARMACI OSPEDALIERI - EDIZIONE IV-2023' - SIMOG N. 9281553. DITTA PFIZER SRL;5564364;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B29331B0D3;2024-07-24;ESECUZIONE D'URGENZA - FORNITURA DPC - SPECIALITÀ MEDICINALE INDICATA PER IL TRATTAMENTO DELLA MALATTIA DA COVID-19 DENOMINATA COMMERCIALMENTE PAXLOVID (NIRMATRELVIR E RITONAVIR).;5521950;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;PFIZER S.R.L.
