# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE AVELLINO (ANAC)
# 3699 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B151950F7A;2024-04-18;SM3 - PNRR- MISSIONE 6;229547400;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;FASTWEB SPA
A04DB4072E;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150148;39398978;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
B903C78ABE;2025-11-11;RCT/O;27500000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
B6454FEEB6;2025-04-03;GARA EUROPEA - PROCEDURA APERTA PER L'AFFIDAMENTO IN GESTIONE DEI CENTRI SEMIRESIDENZIALI DI S. ANGELO DEI LOMBARDI E DI AVELLINO PER IL TRATTAMENTO DEI DISTURBI DELLO SPETTRO AUTISTICO NELL'ADOLESCENZA E GIOVANI ADULTI E PER LA REALIZZAZIONE DEI TRATTAMENTI IN AMBULATORIO E NEI CONTESTI DI VITA.;27318168;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B87EAEE0D7;2025-10-06;AFFIDAMENTO PRESTAZIONI TRATTAMENTO DISTURBI SPETTRO AUTISTICO;24726928;PROCEDURA APERTA;VARI SERVIZI SANITARI;
A04DB4AF6C;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150149;24098404;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
981098374A;2023-06-28;PROCEDURA APERTA PER L'AFFIDAMENTO IN GESTIONE DEL CENTRO SEMIRESIDENZIALE DI S. ANGELO DEI LOMBARDI PER IL TRATTAMENTO DEI DISTURBI DELLO SPETTRO AUTISTICO NELL'ADOLESCENZA E GIOVANI ADULTI E PER LA REALIZZAZIONE DEI TRATTAMENTI NEI CONTESTI DI VITA;22488447;PROCEDURA APERTA;VARI SERVIZI SANITARI;
9921037AB8;2023-06-30;PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI PER L'AFFIDAMENTO DEL SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE (VMD) CON FORNITURA DI MATERIALE DI CONSUMO ED ASSISTENZA FULL RISK;15331733;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;
A04DB52609;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150145;12335934;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
B35F508164;2024-10-10;PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DELLA RESIDENZA SANITARIA ASSISTITA E DEL CENTRO DIURNO DEMENZE DI NUSCO (AV);10087336;PROCEDURA APERTA;VARI SERVIZI SANITARI;COOPERATIVA SOCIALE IL SORRISO ONLUS - SOCIETA' COOPERATIVA
A04DB8829A;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150143;9480492;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
A04DB77492;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150146;8070393;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
B52FC06112;2025-01-14;GESTIONE E CONDUZIONE DEI SISTEMI INFORMATIVI AZIENDALI;6744950;AFFIDAMENTO DIRETTO;SERVIZI CONNESSI AL SOFTWARE;Operatore individuale (persona fisica)
9644865A60;2023-02-15;SERVIZIO DI PULIZIA E SANIFICAZIONE PRESSO I PRESIDI OSPEDALIERI;6578023;PROCEDURA APERTA;SERVIZI DI PULIZIA;GE.S.A.P.  S.R.L.
A04B4143D1;2023-12-29;ASSISTENZA SOCIOSANITARIA - ANNO 2024 - NSIS 150147 - SRP1/2/3;6058494;AFFIDAMENTO DIRETTO;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;
B86C00882E;2025-09-29;ACCORDO QUADRO SGM -ED. 2;5908593;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;VODAFONE ITALIA S.P.A.
B211D53736;2024-06-14;PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI BONIFICA AMBIENTALE CON ATTUAZIONE DI INTERVENTI DI DISINFESTAZIONE E DERATTIZZAZIONE SUL TERRITORIO DEI COMUNI DELL' A.S.L. AVELLINO;5733520;PROCEDURA APERTA;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;CIDAP S.R.L.
965513771A;2023-03-10;CONVENZIONE SO.RE.SA. FORNITURA SISTEMI FGM - ALPHA PHARMA SERVICE S.R.L.;5400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRESIDI DIAGNOSTICI;ALPHA PHARMA SERVICE S.R.L.
9644910F81;2023-02-15;SERVIZIO DI PULIZIA E SANIFICAZIONE PRESSO LE STRUTTURE TERRITORIALI;4543108;PROCEDURA APERTA;SERVIZI DI PULIZIA;GESTIONE SERVIZI INTEGRATI S.R.L.
A0200506DF;2023-11-03;CONVENZIONE SO.RE.SA. SERVIZI VIGILANZA ARMATA E SERVIZI VIGILANZA AGGIUNTIVI-LOTTO 6;4388343;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI VIGILANZA DI EDIFICI;ISTITUTO DI VIGILANZA LA TORRE - S.R.L.
A03E7B8F46;2023-11-30;PROCEDURA APERTA PER L'AFFIDAMENTO DELLA GESTIONE DEL CENTRO RESIDENZIALE PER CURE PALLIATIVE DENOMINATO 'PAIN CONTROL CENTER - 'HOSPICE' DI SOLOFRA (AV);4260612;PROCEDURA APERTA;VARI SERVIZI SANITARI;ARCA SANITA' BY NEW CARE S.R.L.
B6E54BFEE7;2025-05-16;ADESIONE ALLA CONCESSIONE AL POLO STRATEGICO NAZIONALE P6R1;4236236;AFFIDAMENTO DIRETTO;SERVIZI INFORMATICI;POLO STRATEGICO NAZIONALE S.P.A.
B60D1989B5;2025-03-17;PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI DI RISTRUTTURAZIONE MEDIA PER LA REALIZZAZIONE DI UN OSPEDALE DI COMUNITÀ IN MONTELLA (AV);3956613;PROCEDURA APERTA;;
A04B3EF548;2023-12-29;ASSISTENZA RIABILITATIVA EX ART.26 - ANNO 2024 - NSIS 150882;3731262;AFFIDAMENTO DIRETTO;SERVIZI MEDICI SPECIALISTICI;
A04B3EB1FC;2023-12-29;ASSISTENZA RIABILITATIVA EX ART.26 - ANNO 2024 - NSIS 150193;3644641;AFFIDAMENTO DIRETTO;SERVIZI MEDICI SPECIALISTICI;
A04DB45B4D;2023-12-29;ASSISTENZA OSPEDALIERA 2024 - LEGITTIMO AFFIDAMENTO SU 2023-DGRC 652/2023 - NSIS 150147;3621693;AFFIDAMENTO DIRETTO;SERVIZI MEDICI OSPEDALIERI;
9918135FE8;2023-06-28;PROCEDURA APERTA FINALIZZATA ALL'AFFIDAMENTO DEI SERVIZI DI ASSISTENZA ALLA PERSONA PRESSO LA SPECIALE UNITÀ DI ACCOGLIENZA PERMANENTE PER I PAZIENTI IN STATO VEGETATIVO (SV) E DI MINIMA COSCIENZA (MC) - SUAP DI BISACCIA;3375338;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B92CCA7AB3;2025-11-19;LOTTO 3;3238704;AFFIDAMENTO DIRETTO;;MOVI SPA
A069E51285;2024-08-09;PNRR M6C1 - ODC MONTEFORTE IRPINO (AV) - AFFIDAMENTO APPALTO MISTO;3208680;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;
B92DA948A2;2025-11-19;LOTTO 5-II GRAD.;3159360;AFFIDAMENTO DIRETTO;;THERAS BIOCARE S.R.L.
