# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE NAPOLI 2 NORD (ANAC)
# 5578 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B73C37BA82;2025-06-13;PPP COSTITUZIONE CER E REALIZZAZIONE IMPIANTI PRODUZIONE E ACCUMULO FER IMMOBILI ASL NA2 NORD – AFFIDAMENTO CONCESSIONE ANNI 20+3;266178248;ND P1_19;SERVIZI DI GESTIONE ENERGIA;
B6DF70CC35;2025-05-16;ISOLE E COMUNI COSTIERI;60363460;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B20C9B673F;2024-06-12;ISOLE E COMUNI COSTIERI;53507760;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B6DF70EDDB;2025-05-16;COMUNI AREA NORD-EST;48777015;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B20C9B88E5;2024-06-12;COMUNI AREA NORD-EST;43238426;PROCEDURA APERTA;SERVIZI DI PULIZIA;
A023E24C8B;2023-10-13;ACCORDO QUADRO FORNITURA IN SERVICE DI DISPOSITIVI MEDICI PER VENTILOTERAPIA;33020581;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;VITALAIRE ITALIA SPA
B5E0E5D9B2;2025-03-04;FORNITURA DI SISTEMI DIAGNOSTICI COMPLETI DI REATTIVI E MATERIALI DI CONSUMO DI BIOCHIMICA, IMMUNOMETRIA, COMPRENDENTE LA REALIZZAZIONE CHIAVI IN MANO DI UN CORELAB AD ALTA AUTOMAZIONE;24958995;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
B6DF70DD08;2025-05-16;COMUNI AREA DISTRETTI SANITARI NORD-OVEST;22602810;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B47A63E0E8;2024-11-28;SERVIZIO DI BONIFICA IGIENICO-SANITARIA CON ATTUAZIONE DI INTERVENTI DI DISINFEZIONE, DISINFESTAZIONE, DEBLATTIZZAZIONE E DERATTIZZAZIONE SUL TERRITORIO DEI COMUNI, NELLE SCUOLE PUBBLICHE, NEI PRESIDI OSPEDALIERI E NELLE STRUTTURE SANITARIE DI COMPETENZA DELL'ASL NAPOLI 2 NORD;22267730;PROCEDURA APERTA;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;
B696C77798;2025-04-24;SERVIZIO DI DISINFEZIONE, DISINFESTAZIONE, DEBLATTIZZAZIONE E DERATTIZZAZIONE SUL TERRITORIO DEI COMUNI, NELLE SCUOLE PUBBLICHE, NEI PRESIDI OSPEDALIERI E NELLE STRUTTURE SANITARIE DI COMPETENZA DELL'ASL NAPOLI 2 NORD;22267730;PROCEDURA APERTA;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;
B20C9B7812;2024-06-12;COMUNI AREA DISTRETTI SANITARI NORD-OVEST;18429237;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B334B5530E;2024-09-30;SERVIZIO CURE DOMICILIARI DI BASE DI I E II LIVELLO NEL TERRITORIO DELL'ASL NAPOLI 2 NORD;16497250;PROCEDURA APERTA;VARI SERVIZI SANITARI;
