# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA SANTOBONO - PAUSILIPON (ANAC)
# 896 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9934559170;2023-07-17;ADESIONE CONVENZIONE DECENNALE PSN;13154500;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;SOGEI S.P.A.
9822507D30;2023-05-12;FORNITURA DELLA SPECIALITA' MEDICINALE INFUNGIBILE ZOLGENSMA - DITTA NOVARTIS FARMA;13000380;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
9703028801;2023-03-17;ADESIONE LOTTO ACCESSORIO CONSIP LOTTO N. 14 - AFFIDAMENTO DI DURATA QUADRIENNALE DEL SERVIZIO DI PULIZIE E SERVIZI ACCESSORI COMPRENSIVO DEGLI IMPORTI A CONSUMO EXTRA CANONE;11679582;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
B36E65D8AD;2024-10-15;ACCORDO QUADRO, CON UN UNICO OPERATORE ECONOMICO, PER LA MANUTENZIONE ORDINARIA E STRAORDINARIA DEL PATRIMONIO IMMOBILIARE ED IMPIANTISTICO;8698235;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;IMPRE.FI.TI. SOCIETA' A RESPONSABILITA' LIMITATA
B374D75C0A;2024-10-17;SERVIZI INTEGRATI, GESTIONALI E OPERATIVI DI MANUTENZIONE DA ESEGUIRSI PRESSO GLI IMMOBILI DI PROPRIETÀ O IN USO DELL'AORN SANTOBONO PAUSILIPON;7843296;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;SIRAM  S.P.A.
B4A08F28BF;2024-12-04;SERVIZI DI SUPPORTO ALL'EVOLUZIONE STRATEGICA E DIGITALE DELL'AORN SANTOBONO PAUSILIPON;5459253;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;KPMG ADVISORY S.P.A.
971248000D;2023-03-24;APPALTO INTEGRATO PER L'AFFIDAMENTO DEI SERVIZI DI INGEGNERIA E ARCHITETTURA PER LA REDAZIONE DEL PROGETTO DEFINITIVO, PROGETTO ESECUTIVO E CSP E L'ESECUZIONE DEI 'LAVORI DI ADEGUAMENTO SISMICO DEL PADIGLIONE SANTOBONO PRESSO IL P.O. SANTOBONO DELL'A.O.R.N. SANTOBONO-PAUSILIPON' AFFERENTE AL PNC - N;5098324;PROCEDURA APERTA;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;ENGCO  S.R.L.
B2C1CA5DD0;2024-08-09;FORNITURA ANNUALE ZOLGENSMA;4948166;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;NOVARTIS FARMA SPA
961953101C;2023-02-03;FORNITURA E POSA IN OPERA DI TRE SALE OPERATORIE PREFABBRICATE COMPRESO LOCALI ANNESSI - COMPONENTE A) FINANZIAMENTO POR - FERS 2014-2020 - COMPONENTE B) APPARECCHIATURE CON FONDI DELL'AORN;4421330;PROCEDURA APERTA;ASSEMBLAGGIO ED INSTALLAZIONE DI STRUTTURE PREFABBRICATE;MANUFACTURING ENGINEERING & DEVELOPMENT S.R.L.
A014EACEE1;2023-10-02;FORNITURA DI PRODOTTI HARWARE E LICENZE SOFTWARE E RELATIVI SERVIZI DI INSTALLAZIONE PER IL POTENZIAMENTO DELL'INFRASTRUTTURA DI CYBERSECURITY DELL'AORN SANTOBONO PAUSILIPON;2919916;PROCEDURA APERTA;PACCHETTI SOFTWARE PER RETI;TIM S.P.A.
