# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA DEI COLLI (ANAC)
# 1330 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9743035ED1;2023-04-07;PNRR- MISSIONE 6 (SALUTE) - C 2 - INV. 1.2 (VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE): LAVORI DI ADEGUAMENTO SISMICO DELL'OSPEDALE D. COTUGNO DI NAPOLI;16629948;PROCEDURA APERTA;LAVORI EDILI;CADEL SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA
B2DE9B58E8;2024-08-29;ORDINATIVO PER SERVIZIO DI VIGILANZA ARMATA E SERVIZI DI VIGILANZA AGGIUNTIVI SECURITY SERVICE SRL - AO DEI COLLI;10941840;AFFIDAMENTO DIRETTO;;SECURITY SERVICE - S.R.L.
B1DB8A294D;2024-05-27;ORDINATIVO PER RIFIUTI SPECIALI-LOTTO 6 CONSORZIO UNECO/AO DEI COLLI;6889403;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;CONSORZIO UNECO
9906187C1C;2023-06-26;SERVIZIO DI CONDUZIONE E MANUTENZIONE ORDINARIA E STRAORDINARIA DEGLI IMPIANTI TECNOLOGICI A SERVIZIO DELLE STRUTTURE AZIENDALI' DELL'AZIENDA OSPEDALIERA DEI COLLI;6122938;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO;GETEC ITALIA S.P.A.
A01EE7C08C;2023-10-11;FORNITURA DI STENT E DISPOSITIVI PER EMODINAMICA (ADESIONE AQ SORESA- MEDTRONIC ITALIA S.P.A);4926069;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
9610656439;2023-01-18;SERVIZI APPLICATIVI IN OTTICA CLOUD;4866680;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;SOFITER TECH S.R.L.
B283E74C13;2024-07-19;PROCEDURA APERTA DI CUI ALL'ART. 71 DEL D.LGS. 36/2023 RELATIVA ALL'APPALTO DI SOLA ESECUZIONE DEI LAVORI DI ADEGUAMENTO STRUTTURALE, EDILE E IMPIANTISTICO DELL'EDIFICIO MORGUE E DEI LOCALI DEL SERVIZIO DI ANATOMIA PATOLOGICA DEL P.O. MONALDI DELL'A.O. DEI COLLI;4864108;PROCEDURA APERTA;;S.I.C.C.I. SUD SOCIETA' IMPRESA COSTRUZIONI CIVILIED INDUSTRIALI S.R.L.
B215F66DE7;2024-06-13;SERVIZIO SOSTITUTIVO MENSA MEDIANE BUONI PASTO ELETTRONICI;4445100;AFFIDAMENTO DIRETTO;BUONI PASTO;EDENRED ITALIA S.R.L.
A063DC670D;2024-09-16;PNRR - MISSIONE 6 (SALUTE) - C 2 - INV. 1.2 (VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE) - APPALTO INTEGRATO IN ACCORDO QUADRO DEI LAVORI DI ADEGUAMENTO SISMICO IMPIANTISTICO E FUNZIONALE DELL'INTERO OSPEDALE COTUGNO (CORPI A, B E C) ``. AFFIDAMENTO DEI LAVORI DI CUI AI PROGETTI ESECUTIVI LOTTO 1 ;3703583;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI EDILI;FERROTECNICA S.R.L.
A017E5537A;2023-09-14;FORNITURA DI PACEMAKER, DEFIBRILLATORI IMPIANTABILI ED ACCESSORI (ADESIONE AQ SORESA - BOSTON);3689754;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;BOSTON SCIENTIFIC SPA
B3561B09DA;2024-10-09;IMPLEMENTAZIONE DELLA MEDICINA D'URGENZA E DELLA TRAUMATOLOGIA PER IL POTENZIAMENTO DEL PS DEL PO C.T.O. EX ART. 20 L. 67/88 III FASE;3368469;PROCEDURA APERTA;;
B325DA2B36;2024-09-25;SERVIZIO DI PRENOTAZIONE DELLE PRESTAZIONI SANITARIE E CASSA (CONTACT CENTER, FRONT OFFICE E BACK OFFICE);3322000;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;
A01EDB0831;2023-10-11;FORNITURA DI STENT E DISPOSITIVI PER EMODINAMICA (ADESIONE AQ SORESA- ABBOTT MEDICAL ITALIA S.R.L.);3240000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
A01DD4E333;2023-10-11;FORNITURA DI SUTURATRICI MECCANICHE, CLIPS E SISTEMI DI FISSAGGIO PER CHIRURGIA APERTA E LAPAROSCOPICA (ADESIONE AQ SORESA - MEDTRONIC);2830752;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;STRUMENTI PER SALA OPERATORIA;MEDTRONIC ITALIA S.P.A.
A037D402ED;2023-12-05;LAVORI DI RISANAMENTO STATICO CONSERVATIVO - INTERVENTO DI MESSA IN SICUREZZA SOLAI E STRUTTURE OSPEDALE MONALDI - PIANO INTERRATO E PIANI SUPERIORI;2785037;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI EDILI;EDILCIDO S.R.L.
B0EF0A10A8;2024-03-21;ADESIONE INFRASTRUTTURA POLO STRATEGICO NAZIONALE;2767423;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;POLO STRATEGICO NAZIONALE S.P.A.
B3269D7E0A;2024-09-25;FORNITURA DI SISTEMI PER CIRCOLAZIONE EXTRACORPOREA (CEC);2760000;PROCEDURA APERTA;IMPIANTO PER LA CIRCOLAZIONE EXTRACORPOREA;
A01842E6D6;2023-10-27;LOTTO 1 - SISTEMA PER MAPPAGGIO ELETTROANATOMICO ED ABLAZIONE NON FLUOROSCOPICA COSTITUITO DA : PATCH E CATETERE STERILE MONOUSO PER MAPPAGGIO AD ALTA RISOLUZIONE MULTIPOLARE.;2714400;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B1A6794FCC;2024-05-13;ORDINATIVO PER FORNITURA DI STENT E DISPOSITIVI PER EMODINAMICA - EPION SRL (LOTTO 6)/ AO DEI COLLI;2713500;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;EPION S.R.L.
