# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI TARANTO (ANAC)
# 2428 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
965786959F;2023-02-24;SERVIZIO INTEGRATO DI MANUTENZIONE DEL PATRIMONIO IMMOBILIARE DELL'ASL DI TARANTO ATTINENTE A TUTTE LE ATTIVITÀ AFFERENTI ALL'ESERCIZIO, GESTIONE, CONDUZIONE, MANUTENZIONE, VERIFICA E MIGLIORAMENTO DEGLI IMMOBILI, IL SERVIZIO ENERGIA EX DPR 412/1993 E D.LGS. N. 115/2008;41297263;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;EDISON NEXT GOVERNMENT S.R.L.
B13C447121;2024-04-15;SERVIZIO DI LOGISTICA DEI MAGAZZINI E MOVIMENTAZIONE DEL MATERIALE PER LE NECESSITA' DELL'AZIENDA SANITARIA LOCALE TARANTO;17400000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B409E8A76D;2024-10-29;FORNITURA ENERGIA ELETTRICA UTENZE ASL TARANTO;10200000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;AGSM AIM ENERGIA S.P.A.
A01AA54200;2023-10-06;LAVORI DI REALIZZAZIONE DI UNA CASA DI COMUNITA' NEL COMUNE DI TARANTO;8944890;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
A00BD332A6;2023-10-24;ADEGUAMENTO SISMICO PO SAN PIO CASTELLANETA;7902435;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
978255863D;2023-05-19;ARREDI AREE SANITARIE;7627070;PROCEDURA RISTRETTA;MOBILI PER USO MEDICO;
B47CED1C84;2024-11-27;FORNITURA SACCHE MULTIDOSE E MULTIPRELIEVO DI FARMACI CHEMIOTERAPICI ANTIBLASTICI;5778718;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B1A5EDBD12;2024-05-13;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.23 (N.GARA 9283342) PER FARMACI - MERCK SHARP & DOHME (ITALIA);5491520;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MSD ITALIA S.R.L.
9965167BF2;2023-09-28;LAVORI PER ADEGUAMENTO SISMICO SS. ANNUNZIATA DI TARANTO;5474768;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
A010E939C0;2023-09-18;ADEGUAMENTO SISMICO;5151485;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
9941029CA3;2023-07-03;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.6 (N.GARA 8264541) PER FARMACI UNICI, INN E GEN - MERCK SHARP & DOHME (ITALIA) - KEYTRUDA, IVEMEND, DELSTRIGO - RINNOVO;4841855;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
A008CFA73A;2023-09-19;ADEGUAMENTO O MIGLIORAMENTO SISMICO PO MANDURIA;4688335;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
A045DCD10D;2023-12-29;RINEGOZIAZIONI ANNO 2024 - - FORNITURA DI REAGENTI LIBERI, MATERIALI DI CONSUMO E DI PRODOTTI IN SERVICE DA DESTINARE AI LABORATORI DI ANALISI ASL TARANTO - DITTA ROCHE;4637500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;REAGENTI E MEZZI DI CONTRASTO;
A014F84125;2023-09-26;ADEGUAMENTO O MIGLIORAMENTO SISMICO PO MOSCATI DI STATTE;4521493;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B24856F731;2024-07-01;NOLEGGIO STRUMENTAZIONE TRIENNALE;4400000;PROCEDURA APERTA;REATTIVI PER LABORATORIO;TECHNOGENETICS S.P.A.
A048D69AE5;2024-01-26;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.22 (N.GARA 9256973) PER VACCINI - GLAXOSMITHKLINE S.P.A.;4254843;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
A048D6ABB8;2024-01-26;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.22 (N.GARA 9256973) PER VACCINI - MERCK SHARP & DOHME (ITALIA);4145237;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B15B35BE45;2024-04-23;Servizio di emodialisi domiciliare assistita comprensivo della fornitura, in comodato d'uso, di apparecchiatura con e senza osmosi, e del relativo materiale di consumo;4074939;PROCEDURA APERTA;Servizi di dialisi a domicilio;
B149209D13;2024-04-18;Servizio di emodialisi domiciliare assistita comprensivo della fornitura, in comodato d'uso, di apparecchiatura con e senza osmosi, e del relativo materiale di consumo;4074939;PROCEDURA APERTA;Servizi di dialisi a domicilio;
B0C16FB0AC;2024-03-13;EMOGASANALIZZATORI DA BANCO;3900000;PROCEDURA APERTA;APPARECCHI PER ANALISI;
A01966922C;2023-09-10;ADEGUAMENTO O MIGLIORAMENTO SISMICO PO MARTINA FRANCA;3883084;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B23BC0E84F;2024-06-25;ORDINATIVO DI FORNITURA PER IL SERVIZIO DI RISTORAZIONE DA RENDERE IN FAVORE DEI DEGENTI PRESSO I PP.OO. E LE AREE TERRITORIALI DELL'AZIENDA SANITARIA LOCALE DI TARANTO;3799696;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;LADISA S.R.L.
B1A5F551C3;2024-05-13;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.23 (N.GARA 9283342) PER FARMACI - NOVARTIS FARMA;3459123;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B2DC1EC3FC;2024-08-29;N.19 SISTEMI DI VIDEOLAPAROSCOPIA;3420000;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;
A0447C746C;2023-12-29;RINEGOZIAZIONI ANNO 2024 - - FORNITURA DI DISPOSITIVI MEDICI PER LE STRUTTURE DELLA ASL DI TARANTO - DITTA SURGIKAL S.R.L.;3414861;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
9735197AB3;2023-04-17;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA QUINQUENNALE IN SERVICE DI EMOGASANALIZZATORI CON RELATIVI REAGENTI E MATERIALE DI CONSUMO PER LA ASL DI TARANTO;3400000;PROCEDURA APERTA;APPARECCHI PER L'ANALISI DEL SANGUE;
B5042AA666;2024-12-27;CANONI RELATIVI ALLE STRUMENTAZIONI IN USO PRESSO I LABORATORI. ROCHE;3366323;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ROCHE DIAGNOSTICS S.P.A.
995401268E;2023-07-10;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.6 (N.GARA 8264541) PER FARMACI UNICI, INN E GEN - VERTEX PHARMACEUTICALS (ITALY) SRL - KAFTRIO E KALYDECO CPR - RINNOVO;3280583;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
9782542908;2023-05-19;ARREDI DEGENZE ORDINARIE;3258046;PROCEDURA RISTRETTA;MOBILI PER USO MEDICO;
