# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI POTENZA A.S.P. (ANAC)
# 697 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B0EC5E5CAB;2024-03-21;ACQUISTO BUONI PASTO ELETTRONICI;65824920;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;EDENRED ITALIA S.R.L.
A0522D26F9;2023-10-25;SUA-RB_ LOTTO 1 'SERVIZIO CURE DOMICILIARI' - CIG 9110660279;36640981;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CURE MEDICHE A DOMICILIO;Operatore individuale (persona fisica)
A0522B5F08;2023-10-25;SUA-RB_ LOTTO 3 'SERVIZIO CURE PALLIATIVE DOMICILIARI' - CIG 9110730C3A;18138444;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CURE MEDICHE A DOMICILIO;SANITA' PIU' - SOCIETA' COOPERATIVA SOCIALE
A03CB249ED;2023-12-07;SUA-RB_SDAPA FARMACI ED.6_LOTTO 308 SUB-LOTTO A_FYCOMPA*10MG 28 CPR, SUB-LOTTO B_FYCOMPA*0,5MG/ML 1FL 340ML, SUB-LOTTO C_FYCOMPA*12MG 28 CPR, SUB-LOTTO D_FYCOMPA*2MG 7 CPR, SUB-LOTTO E_FYCOMPA*4MG 28 CPR, SUB-LOTTO F_FYCOMPA*6MG 28 CPR E SUB-LOTTO G_FYCOMPA*8MG 28 CPR;11374308;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;EISAI S.R.L.
A03CDC1203;2023-12-07;SUA-RB_SDAPA FARMACI ED.6_LOTTO 343_SUB-LOTTO A_RYBELSUS 3 MG, SUB-LOTTO B_RYBELSUS 7 MG E SUB-LOTTO C_RYBELSUS 14 MG;6446700;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVO NORDISK SOCIETA' PER AZIONI
9845096E38;2023-06-06;PRESA D'ATTO GARA SUA RB PER AFFIDAMENTO TRIENNALE GESTIONE IN OUTSOURCING DEI SERVIZI INTEGRATI DEL CENTRO UNICO PRESTAZIONI AMBULATORIALI E SERVIZI DI SUPPORTO AMMINISTRATIVO PER LE ESIGENZE DELL'ASP ( LOTTO 1) - DITTA GPI;6341035;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;
A059F2F7B2;2024-02-13;GARA SUA-RB LOTTO 4: SERVIZIO DI ASSISTENZA INTEGRATIVA ALLEGATO2: AUSILI ASSORBENTI L'URINA A BASSO IMPATTO AMBIENTALE;6340024;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
B2D2E6ED16;2024-08-22;ACQUISTO VEICOLI ADI;6319413;AFFIDAMENTO DIRETTO;VEICOLI UTILITARI;FCA FLEET & TENDERS S.R.L.
B1B72EF0C4;2024-05-21;PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO PER L'AFFIDAMENTO DEL SERVIZIO DI SOMMINISTRAZIONE DI LAVORO TEMPORANEO PER L'AZIENDA SANITARIA LOCALE DI POTENZA (ASP);4619164;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;ATTAL GROUP S.P.A.
A03A05FE85;2023-12-28;REALIZZAZIONE OSPEDALE SICURO MARATEA - APPALTO INTEGRATO: PROGETTAZIONE ESECUTIVA ED ESECUZIONE LAVORI;4453804;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
