# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI MATERA A.S.M. (ANAC)
# 1249 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B3B7386DF0;2024-10-21;LOTTO 13 - CODICE ATC: L04AB04 - ADALIMUMAB;12425400;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B737A40C;2024-10-21;LOTTO 1 - CODICE ATC: B03XA01 - EPOETINA;9939600;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B73808FE;2024-10-21;LOTTO 7 - CODICE ATC: L04AB01 - ETANERCEPT;8117870;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B7387EC3;2024-10-21;LOTTO 14 - CODICE ATC: L01XC07 - BEVACIZUMAB;6548580;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
9820208401;2023-05-11;FORNITURA DI ENERGIA ELETTRICA AI SOGGETTI PUBBLICI DELLA REGIONE BASILICATA SEL EE10;6012120;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;NOVA AEG S.P.A
96720181C0;2023-02-21;FORNITURA DI GAS NATURALE AI SOGGETTI PUBBLICI DELLA REGIONE BASILICATA SEL GAS9;5726775;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS NATURALE;
9779937353;2023-04-30;SERVIZI DI OSSIGENOTERAPIA CON OSSIGENO LIQUIDO PER ASM;5392800;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;SAPIO LIFE SRL
B3B73819D1;2024-10-21;LOTTO 8 - CODICE ATC: B01AB05 - ENOXAPARINA;5355720;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B737F82B;2024-10-21;LOTTO 6 - CODICE ATC: L01XC02 - RITUXIMAB;4420080;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B737C5B2;2024-10-21;LOTTO 3 - CODICE ATC: A10AE04 - INSULINA GLARGINE;4416192;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B7384C4A;2024-10-21;LOTTO 11 - CODICE ATC: L01XC03 - TRASTUZUMAB;4322160;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B738D3BA;2024-10-21;LOTTO 20 - CODICE ATC: L04AC05 - USTEKINUMAB;4055060;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
A0348C4330;2023-11-23;SDAPA 6 LOTTO 114 KAFTRIO;3976765;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A026F0636F;2023-04-17;FORNITURA DEI GAS MEDICINALI E TECNICI PRESSO LE STRUTTURE DELL ASM;3852848;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;NIPPON GASES PHARMA S.R.L.
A017F10DC8;2023-05-25;AFFIDAMENTO SERVIZI INTEGRATI DEL CENTRO UNICO DI PRENOTAZIONE;3475951;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;
A036631B9B;2023-11-23;SDAPA 6 LOTTO 115 HEMLIBRA 30 MG + 105MG +150 MG +60 MG;3243017;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
A05BA8EE0C;2024-05-30;ADESIONE GARA SUARB LOTTO 4 'AUSILI ASSORBENTI URINA' - D.D. 20AB.2017/D.00198;3170448;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
B3B7388F96;2024-10-21;LOTTO 15 - CODICE ATC: L04AA25 - ECULIZUMAB;3145336;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B737E758;2024-10-21;LOTTO 5 - CODICE ATC: H01AC01 - SOMATROPINA;3056760;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
9651830E12;2023-01-09;AUSILI PER INCONTINENZA ED ASSORBENZA , LOTTO 4 GARA SUA;2884525;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;FATER S.P.A.
B33928C7BF;2024-09-27;LOTTO 2 MATERIALE DI CONSUMO PER STAMPANTI;2834347;AFFIDAMENTO DIRETTO;TONER PER STAMPANTI LASER/APPARECCHI FAX;Operatore individuale (persona fisica)
A0349B9D5B;2023-11-23;SDAPA 6 LOTTO 210 KALYDECO;2821608;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
