# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA REGIONALE SAN CARLO DI POTENZA (ANAC)
# 3616 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B75BB182CB;2025-06-24;SERVIZI DI PULIZIA E AUSILIARIATO PER L'AOR SAN CARLO;68559337;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B81CF08EF3;2025-09-04;GARA A PROCEDURA APERTA PER L' AFFIDAMENTO IN CONCESSIONE, AI SENSI DELL' ART. 193 DEL D.LGS. 36/2023, DELL' AMPLIAMENTO E GESTIONE DEL SERVIZIO DI RADIOTERAPIA DELL' AOR SAN CARLO DI POTENZA;51420001;ND P1_19;SERVIZI OSPEDALIERI E AFFINI;
B75BB171F8;2025-06-24;SERVIZI DI PULIZIA E AUSILIARIATO PER L'AZIENDA SANITARIA POTENZA -ASM;45315676;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B75BB16125;2025-06-24;SERVIZI DI PULIZIA E AUSILIARIATO PER L'AZIENDA SANITARIA POTENZA -ASP;42798617;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B523719EEE;2025-01-13;ACCORDO QUADRO PER L'AFFIDAMENTO SERVIZIO DI NOLEGGIO, LAVAGGIO DI BIANCHERIA PIANA, CONFEZIONATA, MATERASSERIA OCCORRENTE ALL'IRCCS-CROB, ASP, ASM E A.O.R. SAN CARLO DI POTENZA;34003951;PROCEDURA APERTA;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;
B6832F4FC3;2025-04-16;SERVIZIO DI PREPARAZIONE E SOMMINISTRAZIONE PASTI VEICOLATI AI DEGENTI E AL PERSONALE DEI PRESIDI DELL'AZIENDA OSPEDALIERA SAN CARLO DI POTENZA.;32506058;PROCEDURA APERTA;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;
A01A91F301;2023-12-01;LOTTO 1 SERVIZIO DI SUPPORTO ALL'ATTIVITÀ AMMINISTRATIVA;19656889;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;
B830CBAA98;2025-09-11;PROCEDURA APERTA PER LA FORNITURA QUINQUENNALE DI MATERIALE TESSUTO NON TESSUTO PER LE SALE OPERATORIE OCCORRENTE ALLE AZIENDE DEL SERVIZIO SANITARIO REGIONALE;18075643;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B6832F2E1D;2025-04-16;SERVIZIO DI PREPARAZIONE E SOMMINISTRAZIONE PASTI VEICOLATI AI DEGENTI E AL PERSONALE DEI PRESIDI DELL'AZIENDA SANITARIA LOCALE DI MATERA.;14427137;PROCEDURA APERTA;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;
B75BB1939E;2025-06-24;SERVIZI DI PULIZIA E AUSILIARIATO PER L'IRCCS CROB DI RIONERO IN VULTURE;14347276;PROCEDURA APERTA;SERVIZI DI PULIZIA;
B5D9C203F7;2025-02-28;FORNITURA DI ENERGIA ELETTRICA A PREZZI VARIABILI AI SOGGETTI PUBBLICI DELLA REGIONE BASILICATA - SEL EE11 - LOTTO 1;11000000;AFFIDAMENTO DIRETTO;GAS DA RETE PUBBLICA;NOVA AEG S.P.A
A03CAC0768;2023-12-01;GARA SDAPA 6 FARMACI - LOTTO 304 - ACQUISTO KEYTRUDA 4 ML (25 MG/ML) FLACONI;9794304;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
9755088946;2023-04-08;SERVIZIO DI GESTIONE DELLA FORNITURA DEI GAS MEDICINALI E TECNICI PER LE STRUTTURE SANITARIE DELL'ASM MATERA, DELL'A.O.R. SAN CARLO DI POTENZA, DELL'ASP DI POTENZA E DELL'IRCCS CROB DI RIONERO IN VULTURE.;9313681;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;SAPIO LIFE SRL
B572727077;2025-04-08;SISTEMA PRODUZIONE EMOCOMPONENTI;8976000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B572721B80;2025-04-08;VALIDAZIONE SIEROLOGICA;8000000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
A03CC1834A;2023-12-22;PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR) E PIANO NAZIONALE COMPLEMENTARE (PNC) MISSIONE M6 - SALUTE - ADEGUAMENTO SISMICO DEL PADIGLIONE 'A' (DEMOLIZIONE E RICOSTRUZIONE) PRESSO IL P.O. DI MELFI (PZ) - CUP I65F22000440001 (04_22).;7661031;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VARI SERVIZI DI INGEGNERIA;
B7806C9D39;2025-07-03;SERVIZIO DI MANTENIMENTO IMMOBILI E ARREDI (PICCOLE MANUTENZIONI) E MANUTENZIONE DEL VERDE AZIENDA SANITARIA LOCALE DI POTENZA (ASP);7635351;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE VARI;
9923267AF9;2023-06-30;REALIZZAZIONE DI UN EDIFICIO DA ADIBIRE A CENTRO PER LE CURE PALLIATIVE-HOSPICE, NELL'AREA PROSPICIENTE IL PADIGLIONE 'E' DELL'OSPEDALE SAN CARLO DI POTENZA;7567744;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;ECOCLIMA S.R.L.
B5D089A679;2025-02-26;FORNITURA DI GAS NATURALE AI SOGGETTI PUBBLICI DELLA REGIONE BASILICATA SEL GAS9 - AOR SAN CARLO POTENZA;7338750;AFFIDAMENTO DIRETTO;GAS NATURALE;ESTRA ENERGIE S.R.L.
B84915C05A;2025-09-17;REGIONE BASILICATA SDAPA7 - LOTTO 551 C - DARZALEX 1800 MG FLACONCINO DA 15 ML;6625723;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;JANSSEN CILAG S.P.A.
B7806C8C66;2025-07-03;SERVIZIO DI MANTENIMENTO IMMOBILI E ARREDI (PICCOLE MANUTENZIONI) E MANUTENZIONE DEL VERDE AZIENDA SANITARIA LOCALE DI MATERA (ASM);6413054;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE VARI;
B572720AAD;2025-04-08;SISTEMA IMMUNOEMATOLOGICO;6400000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B8DCF81B06;2025-10-29;LOTTO 12: DEFIBRILLATORI BICAMERALI ICD DR ALTA FASCIA COMPRENSIVO DI ELETTROCATETERI DEDICATI E SISTEMA DI MONITORAGGIO REMOTO - BOSTON SCIENTIFIC S.P.A.;6368000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;BOSTON SCIENTIFIC SPA
