# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI CATANZARO (ANAC)
# 3026 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2A30D41BC;2024-07-30;DECRETO SUA N. 19716/2023 LOTTO N. 1532- APPALTO SPECIFICO N. 7 - 1 TRANCHE KESIMPTA 20 MG SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA;991239449;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
B22A58B285;2024-06-20;"•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI TERMICI COMPRENSIVO DELLA FORNITURA DI ENERGIA TERMICA;•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI ELETTRICI ED ELETTRICO SPECIALI COMPRENSIVO DELLA FORNITURA DI ENERGIA ELETTRICA;•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI DI CLIMA";134789000;ND P1_19;SERVIZI DI GESTIONE ENERGIA;
A001A52930;2023-08-03;ACQUISTO FARMACO UNICO AVATROMBOPAG ( DOPTELET)20 MG PER LE TRE FARMACIE DISTRETTUALI;62760096;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;SWEDISH ORPHAN BIOVITRUM S.R.L.
B2BE781373;2024-08-08;DECRETO SUA N. 7619/2024 APPALTO SPECIFICO N. 8 LOTTO N. 2- RITONAVIR ( PAXLOVID);53570278;AFFIDAMENTO DIRETTO;MEDICINALI VARI;PFIZER S.R.L.
A0025E130A;2023-08-03;REALIZZAZIONE DELL'INTERVENTO DI ADEGUAMENTO SISMICO DEL PRESIDIO OSPEDALIERO DI LAMEZIA TERME (POLT), SITO IN VIA ARTURO PERUGINI, RICADENTE NEL FONDO COMPLEMENTARE AL PNRR PROGETTO OSPEDALE SICURO'. CUP E85F22000580006;17648914;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;VALORI S.C.A R.L. - CONSORZIO STABILE IN SIGLA VALORI - S.C. A R. L.
96225603B7;2023-01-31;AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE PER DEGENTI DELL'ASP DI CATANZARO;7160997;PROCEDURA RISTRETTA;SERVIZI DI DISTRIBUZIONE PASTI;SCAMAR S.R.L.
B144FA645E;2024-04-16;DECRETO SUA N. 19716/2023 LOTTO N. 1557-COSENTYX 300 MG SOLUZIONE INIETTABILE 1 SIRINGA PRERIEMPITA;6381896;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B144D80E7B;2024-04-16;DECRETO SUA N. 19716/2023 LOTTO N. 1556-COSENTYX 300 MG SOLUZIONE INIETTABILE 1 PENNA PRERIEMPITA;6381896;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B159E2B242;2024-04-19;DECRETO SUA N. 19716/2023 LOTTO 1563 FARMACO TALTZ 80 MG SOLUZIONE INIETTABILE 2 SIRINGHE PRERIEMPITE;6228105;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B159DB1D91;2024-04-19;DECRETO SUA N. 19716/2023 LOTTO 1562 FARMACO TALTZ 80 MG SOLUZIONE INIETTABILE 2 PENNE PRERIEMPITE;6228105;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B1652246E5;2024-04-23;DECRETO SUA N.19716/2023 LOTTO N.1500 ERLEADA 60MG CPR;6221412;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
A066EC66B0;2023-10-20;CONTRATTO DI APPALTO SPECIFICO PROCEDURA APERTA DI MASSIMA URGENZA IN 21 LOTTI PER LA CONCLUSIONE DI ACCORDI QUADRO CON PIU' OPERATORI ECONOMICI AI SENSI DELL'ARTICOLO 33 DELLA DIRETTIVA 2014/24/UE PER L'AFFIDAMENTO DI LAVORI, SERVIZI DI INGEGNERIA ED ARCHITETTURA E ALTRI SERVIZI TECNICI, AL FINE DE;5679900;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI SANITARI;
98025529CE;2023-05-08;DECRETO DIRIGENZIALE SUA N. 3754/2023 LOTTO 42 FARMACO DUPIXENT 300MG E DUPIXENT 200MG SOL INIETT;5614986;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
98943346B6;2023-06-16;CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI STRUTTURE ASP CZ;5380000;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B1616DECE8;2024-04-23;DECRETO N. 19716/2023 LOTTO N. 1681 FARMACO SPINRAZA NUSINERSEN – SOLUZIONE INIETTABILE PER INIEZIONE INTRATECALE;5163552;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOGEN ITALIA S.R.L.
B21A76ABC6;2024-06-14;FORNITURA ENERGIA ELETTRICA STRUTTURE AZIENDA SANITARIA PROVINCIALE DI CATANZARO;5000000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;Operatore individuale (persona fisica)
B2F71C0F11;2024-09-09;CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA STRUTTURE ASP DI CATANZRO;5000000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B143618DBA;2024-04-15;DECRETO SUA N.19716/2023 LOTTO N.1338-KISQALI 200 MG COMPRESSE RIVESTITE CON FILM;4971931;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B1651A09F6;2024-04-23;DECRETO SUA N.19716/2023 LOTTO N.1357 IMBRUVICA 140MG;4474289;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
A0039A3109;2023-08-03;INTERVENTO DI REALIZZAZIONE DELL'ODC DI GIRIFALCO, SITO IN CONTRADA SERRE, DA ADIBIRSI AD OSPEDALE DI COMUNITÀ RICADENTE NELLA MISSIONE 'M6 - SALUTE M6.C1 - 1.3 OSPEDALI DI COMUNITÀ' DEL PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR), INVESTIMENTO 1.3: RAFFORZAMENTO DELL'ASSISTENZA SANITARIA INTERME;4414782;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;OMNIA SERVITIA S.R.L.
B1446586AD;2024-04-16;DECRETO SUA N. 19716/2023 LOTTO N. 1553-ILARIS 150 MG/ML SOLUZIONE INIETTABILE;4395897;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B139ECC315;2024-04-12;DECRETO SUA N. 19716/2023 LOTTO N. 799 DUPIXENT 300 MG SOLUZIONE INIETTABILE IN SIRINGHE PRERIEMPITE CON SISTEMA DI SICUREZZA 2 ML (150MG/ML);4205862;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANOFI S.R.L.
