# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI VIBO VALENTIA (ANAC)
# 1508 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A058B24D74;2024-04-23;APPALTO INTEGRATO PROGETTAZIONE ED ESECUZIONE LAVORI DI ADEGUAMENTO SISMICO ED EFFICIENTAMENTO ENERGETICO DEL P.O. DI VIBO VALENTIA;16462114;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B260EE4817;2024-07-08;ADESIONE APPALTO 7 FARMACI - LOTTO 1357;4468832;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B0B8A05D8C;2024-03-07;SERVIZIO DI RISTORAZIONE PER I PAZIENTI;2278675;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;
A04FF97443;2024-02-16;APPALTO INTEGRATO PER PROGETTAZIONE ESECUTIVA E LAVORI OSPEDALE DI COMUNITÀ SORIANO;2157749;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B1B7472021;2024-05-16;ELI LILLY;1822860;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY
B1B9D9201C;2024-05-17;ELI LILLY;1822860;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY
B05E99B2BC;2024-02-13;AFFIDAMENTO DEL SERVIZIO TRIENNALE DI AUTOESPURGO, STASAMENTO DI CADITOIE, POZZETTI RETE FOGNARIA ED ACQUE METEORICHE, ECC. PRESSO I PRESIDI OSPEDALIERI, STRUTTURE SANITARIE ED IMMOBILI DI PROPRIETA' O DI INTERESSE DELL'AZIENDA SANITARIA PROVINCIALE DI VIBO VALENTIA.;1597320;PROCEDURA APERTA;SERVIZI DI PULIZIA DELLE FOGNATURE;
9627742808;2023-01-30;ACQUISTO FARMACO FUORI GARA KAFTRIO;1524427;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A04F668029;2024-02-13;APPALTO INTEGRATO PER PROGETTAZIONE ESECUTIVA ED ESECUZIONE LAVORI OSPEDALE DI COMUNITÀ DI TROPEA;1462212;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B1ABC7D1C1;2024-05-14;SANOFI;1402170;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANOFI S.R.L.
A00F801998;2023-09-27;ADESIONE APPALTO SPECIFICO SUA CALABRIA N^ 2 - VACCINI VARI - LOTTO 5 - DITTA GLAXOSMITHKLINE SPA;1328800;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;VACCINI;GLAXOSMITHKLINE S.P.A.
B19089DFB5;2024-05-07;NOVARTIS FARMA;1286604;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;IMPRESA INESISTENTE
B156616A7A;2024-04-19;LOTTO 57;1267840;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BECTON, DICKINSON ITALIA S.P.A.
98057107DF;2023-06-06;ADESIONE CONVENZIONE CONSIP - HERA COMM SPA ENERGIA ELETTRICA EDIZIONE 20 LOTTO 15 CALABRIA PERIODO 01.07.2023 - 30.06.2024;1207297;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;HERA COMM S.P.A.
B206B2B24E;2024-06-07;ADESIONE CONVENZIONE CONSIP - HERA COMM - ENERGIA EL. ED. 21 PERIODO 1.8.24 31.7.25;1160000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;HERA COMM S.P.A.
B20376E030;2024-06-06;ADESIONE CONVENZIONE CONSIP - HERA COMM ENERGIA ELETTRICA ED. 21 LOTTO 15;1160000;AFFIDAMENTO DIRETTO;ELETTRICITÀ, RISCALDAMENTO, ENERGIA SOLARE E NUCLEARE;HERA COMM S.P.A.
B43F76B5DA;2024-11-13;SERVIZIO TRIENNALE DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI E IL SERVIZIO DI PRESIDIO TECNOLOGICO PRESSO IL P.O. DI VIBO VALENTIA (LOTTO 1);1140636;PROCEDURA RISTRETTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI DI EDIFICI;
B129B403C2;2024-04-09;LOTTO 19 ENDO HOSPITAL;1133190;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ENDO HOSPITAL S.R.L.
A068DAF8B3;2023-05-17;LAVORI DI REALIZZAZIONE CASA DI COMUNITÀ DI FILADELFIA PNRR MISSIONE 6 SALUTE M6 C1.1.;1116605;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
