# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA PUGLIESE - CIACCIO (ANAC)
# 74 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9609889B44;2023-02-27;AFFIDAMENTO DEL SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DEI RIFIUTI SANITARI DELL'AZIENDA OSPEDALIERA PUGLIESE CIACCIO;5394535;PROCEDURA APERTA;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
9471620416;2023-01-23;GARA EUROPEA A PROCEDURA APERTA PER LA FORNITURA TRIENNALE IN SERVICE DI UN SISTEMA ANALITICO (STRUMENTI/REAGENTI) PER L'ESECUZIONE DI ESAMI CON METODICA IN BIOLOGIA MOLECOLARE PER PATOLOGIE EMATOLOGICHE;1100000;PROCEDURA APERTA;SERVIZI DI ANALISI DEL SANGUE;
9607044F7E;2023-01-12;FARMACO PHESGO;691720;AFFIDAMENTO DIRETTO;MEDICINALI VARI;
964492296A;2023-02-07;SISTEMI PER ANESTESIA;450000;PROCEDURA APERTA;APPARECCHI PER ANESTESIA;
95733767CA;2023-01-09;L'AFFIDAMENTO DELLA CONCESSIONE DEL SERVIZIO DI GESTIONE BAR-CAFFETTERIA PRESSO L'OSPEDALE PUGLIESE;338000;PROCEDURA APERTA;SERVIZI DI GESTIONE BAR;
96362347DA;2023-01-25;FARMACO SARCLISA;277246;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
9717868E5A;2023-03-06;FARMACO MINJUVI;262538;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
968251367E;2023-02-22;FARMACO BLENREP;218600;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
97260763D2;2023-03-21;ACQUISTO DI ARMADI INFORMATIZZATI PER LA GESTIONE DI DISPOSITIVI MEDICI E FARMACI PER IL DIPARTIMENTO EMERGENZA ACCETTAZIONE DELL'A.O. PUGLIESE CIACCIO DI CATANZARO.;210000;PROCEDURA APERTA;MOBILI PER USO MEDICO, ESCLUSI LETTI E TAVOLI;
9646728BC5;2023-02-08;PROCEDURA NEGOZIATA PER LA FORNITURA IN SERVICE DI UN SISTEMA PER DISCECTOMIA PERCUTANEA LASER CON RELATIVO MATERIALE DI CONSUMO;200000;PROCEDURA APERTA;LASER CHIRURGICO;
96541844AA;2023-01-23;FARMACO FIBRYGA;190000;PROCEDURA APERTA;ARTICOLI DI FARMACIA;
9657315C70;2023-02-14;COLONNA VIDEOLAPAROSCOPICA 4K PER CHIRURGIA;190000;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;
96463725FF;2023-02-03;FARMACO VABOREM;180500;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
9621023F54;2023-01-25;ACQUISTO KIT EMOSTATICO GELATINA E TROMBINA;172000;PROCEDURA APERTA;MATERIALI MEDICI NON CHIMICI DI CONSUMO MONOUSO E MATERIALE DI CONSUMO EMATOLOGICO;
97407132A8;2023-03-22;FARMACO FECTROJA;166680;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
9618616D03;2023-01-27;FORNITURA TRIENNALE IN SERVICE DI UN APPARECCHIATURA PER IMMUNOISTOCHIMICA PER L'ESECUZIONE DI CIRCA 100 TEST ISH E 3.000 TEST IHC, COMPRENSIVA DI STRUMENTAZIONE E RELATIVA ASSISTENZA TECNICA FULL RISK, PER LA UOC DI ANATOMIA PATOLOGICA DELL'A.O. PUGLIESE-CIACCIO;165000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;APPARECCHI PER IMMUNOANALISI;
9762611973;2023-04-04;FARMACO RYBREVANT;158421;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
9669967535;2023-02-21;LAVORI DI MANUTENZIONE STRAORDINARIA REPARTO DI CHIRURGIA VASCOLARE E ORTOPEDI - PRESIDIO PUGLIESE.;148494;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI RIPARAZIONE;
9793400956;2023-03-31;ACQUISTO DI MEDICAZIONE CON SISTEMA DI FISSAGGIO INTEGRATO 'AL IN ONE' PER ACCESSI VASCOLARI DELL'A.O. PUGLIESE-CIACCIO;134400;PROCEDURA APERTA;PRESIDI DIAGNOSTICI;
9622092183;2023-01-26;VIDEOURETEROSCOPIO FLESSIBILE DIGITALE MONOUSO PEZZI 100;110000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
96220964CF;2023-01-26;VIDEOURETEROSCOPIO FLESSIBILE DIGITALE MONOUSO CON CMOS E ILLUMINAZIONE A DOPPIO LEDPEZZI 100;95000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9747185F81;2023-03-23;FARMACO ERWINASE;91900;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
97949421D8;2023-03-27;INCARICHI PROFESSIONALI PER SERVIZI TECNICI FINANZIAMENTO DECRETO MINISTERO DELLA SALUTE DEL 14.04.2011 - CUP J68I23000090001;87966;AFFIDAMENTO DIRETTO;SERVIZI DI PROGETTAZIONE DI EDIFICI;
96812525E2;2023-02-27;CONTENITORI PRERIEMPITI DI FORMALINA DA 5 ML;85500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
972646332F;2023-03-17;FARMACI DOVPRELA E TRALEUSIN;82615;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;
9995940EA0;2023-08-31;LAVORI PER IL RIPOSIZIONAMENTO DELLE CABINE DI DECOMPRESSIONE (TSD) DEL P.O. PUGLIESE;77217;AFFIDAMENTO DIRETTO;LAVORI DI INSTALLAZIONE DI RACCORDERIA GAS;
9793314260;2023-04-26;FORNITURA DI SISTEMI IDENTIFICATIVO MADRE - NEONATO PER LA SOC DI TERAPIA INTENSIVA NEONATALE E PATOLOGIA NEONATALE PER L'A.O.PUGLIESE CIACCIO;71500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9725176D1B;2023-03-21;ACQUISTO DI SISTEMI HOLTER ECG E HOLTEL PRESSORIO PER VARIE S.O.C. DELL'A.O. PUGLIESE CIACCIO DI CATANZARO;70000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
960429749C;2023-01-16;FORNITURA TRIENNALE IN SERVICE DI SISTEMI DI ETICHETTATURA PER TRACCIABILITA' ED IDENTIFICAZIONE FARMACI PER IL DIPARTIMENTO EMERGENZA ACCETTAZIONE DELL.A.O.P.C.;67788;PROCEDURA APERTA;MACCHINE ETICHETTATRICI;
970577206F;2023-04-11;ACQUISTO DISPOSITIVI PER OSSIGENO TERAPIA E NEBULIZZAZIONE MECCANICA;67000;PROCEDURA APERTA;KIT RESPIRATORI;
96291566E7;2023-01-30;CATETERE VENOSO CENTALE PICC IN POLIURETANO;66600;PROCEDURA APERTA;MATERIALI MEDICI NON CHIMICI DI CONSUMO MONOUSO E MATERIALE DI CONSUMO EMATOLOGICO;
9742243141;2023-03-28;ACQUISTO KIT DI GESTIONE PER ASSEMBLATO;66000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
