# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI AGRIGENTO (ANAC)
# 2323 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
973691439F;2023-03-15;`MULTISERVIZIO TECNOLOGICO INTEGRATO CON FORNITURA DI ENERGIA PER LA SANITA``` (MIES2) - RINEGOZIAZIONE AI SENSI D. LGS. 115/2008.;57022269;AFFIDAMENTO DIRETTO;SERVIZI ENERGETICI E AFFINI;
B4C90C638D;2024-12-12;FORNITURA E CONSEGNA A DOMICILIO DI AUSILI ASSORBENTI PER L'INCONTINENZA;22255649;PROCEDURA RISTRETTA;PRODOTTI PER L'INCONTINENZA;
B136448930;2024-04-11;LOTTO N.RO 42M SISTEMA DI SINTESI IN TITANIO A COMPRESSIONE E A STABILITÀ ANGOLARE PER TIBIA, PERONE, POLSO, MANO E PIEDE;19174062;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;EUROPA TRADING - S.R.L.
B46D2DBFC7;2024-11-25;ACCORDO QUADRO PER LA FORNITURA DI CARBURANTE PER AUTOTRAZIONE MEDIANTE FUEL CARD;10370000;AFFIDAMENTO DIRETTO;GAS DI PETROLIO LIQUEFATTO (GPL);KUWAIT PETROLEUM ITALIA S.P.A.
B2CD6154F5;2024-08-20;D.D. N. 121 DEL 25/07/2024 - LOTTO 10 - LEQVIO 284 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (INCLISIRAN SODICO).;9930075;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
A05F990CF2;2024-07-11;D.D. 156 DEL 31/08/23 - AFFIDAMENTO 'DEI SERVIZI DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI AIC, DEI GAS FU E DM, DEI GAS TECNICI E DI LABORATORIO E DELLA MANUTENZIONE DEGLI IMPIANTI DI PRODUZIONE E DISTRIBUZIONE-;8682671;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;LINDE MEDICALE SRL
B346BA2CDB;2024-10-02;AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE NELL AMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI BENI E SERVIZI PER LA SANITA - AREA AG 1;6930635;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;SAPIO LIFE SRL
9813294A62;2023-05-01;SERVIZI INTEGRATI PER LA GESTIONE DELLE APPARECCHIATURE ELETTROMEDICALI FULL RISK LOTTO 2 - ADESIONE GARA CUC;6774278;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
A00F09E11A;2023-12-01;LOTTO 179 - MEDICAZIONE STERILE A FORTISSIMO ASSORBIMENTO A CAPTAZIONE BATTERICA.;6491750;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;GESCAR S.R.L.
B43B57BC07;2024-11-12;DD204/24 LOTTO 16 A FARAMACO KEYTRUDA;6103134;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MSD ITALIA S.R.L.
A00CA2D80B;2023-09-27;"APPALTO INTEGRATO PER LA REALIZZAZIONE DELL'INTERVENTO FINANZIATO CON FONDI DEL PNRR RIGUARDANTE 'ADEGUAMENTO SISMICO DEL P.O. 'F.LLI PARLAPIANO' DI RIBERA' - CUP C91B22001700006, IN ADESIONE ACCORDO QUADRO N. 3; LOTTO GEOGRAFICO 'A (PA-AG)'; CLUSTER 'AQ1 - AGRIGENTO - D'; (CIG ACCORDO QUADRO: 97482";5685495;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;VALORI S.C.A R.L. - CONSORZIO STABILE IN SIGLA VALORI - S.C. A R. L.
A00C9FD071;2023-09-27;"APPALTO INTEGRATO PER LA REALIZZAZIONE DELL'INTERVENTO FINANZIATO CON FONDI DEL PNC RIGUARDANTE 'ADEGUAMENTO SISMICO DEL P.O. 'GIOVANNI PAOLO II' DI SCIACCA' - CUP C81B22001710006, IN ADESIONE ACCORDO QUADRO N. 3; LOTTO GEOGRAFICO 'A (PA-AG)'; CLUSTER 'AQ3 - AGRIGENTO - E'; (CIG ACCORDO QUADRO: 9748";5639123;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;DELTA INGEGNERIA S.R.L.
B43BA8221B;2024-11-12;DD 204/24 LOTTO 10 A/B/C/D/E/F/G/H;5593390;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
B346DDA199;2024-10-02;AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE NELLAMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI BENI E SERVIZI PER LA SANITA - AREA AG 2 - LOTTO 21;5561246;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;MEDICAIR SUD S.R.L.
A00CD6B4FC;2023-09-27;"APPALTO INTEGRATO PER LA REALIZZAZIONE DELL'INTERVENTO FINANZIATO CON FONDI DEL PNC RIGUARDANTE 'ADEGUAMENTO SISMICO DEL P.O. 'SAN GIOVANNI DI DIO' DI AGRIGENTO' - CUP C41B22001340006, IN ADESIONE ACCORDO QUADRO N. 3; LOTTO GEOGRAFICO 'A (PA-AG)'; CLUSTER 'AQ3 - AGRIGENTO - A'; (CIG ACCORDO QUADRO: ";5513113;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;COOPROGETTI SOCIETA' COOPERATIVA
A00CDB413B;2023-09-27;"APPALTO INTEGRATO PER LA REALIZZAZIONE DELL'INTERVENTO FINANZIATO CON FONDI DEL PNC RIGUARDANTE 'ADEGUAMENTO SISMICO DEL P.O. 'SAN GIACOMO D'ALTOPASSO' DI LICATA' - CUP C61B22001760006, IN ADESIONE ACCORDO QUADRO N. 3; LOTTO GEOGRAFICO 'A (PA-AG)'; CLUSTER 'AQ3 - AGRIGENTO - C'; (CIG ACCORDO QUADRO:";4908840;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;HYSOMAR SOCIETA' COOPERATIVA
9657894A3F;2023-02-28;LOTTO 5 - PROTESI AD ANCORAGGIO OSSEO DI TIPO TRANSCUTANEO;4745250;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;GM S.R.L.
B45B8EC718;2024-11-20;APPALTO SPECIFICO PER LA REALIZZAZIONE DI UN SISTEMA ENTERPRISE IMAGING – RIS/PACS/CVIS/VNA) PER L'AZIENDA SANITARIA PROVINCIALE DI AGRIGENTO.;4403400;PROCEDURA DI GARA;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;
