# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI CALTANISSETTA (ANAC)
# 1546 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B4663044BE;2024-11-21;RECEPIMENTO DEL DD. N. 52 DEL 17-04-2024 DELLA CENTRALE UNICA DI COMMITTENZA AVENTE AD OGGETTO L'AFFIDAMENTO DEL SERVIZIO DI OSSIGENOTERAPIA DOMICILIARE DI INTERESSE PER GLI ENTI DEL S.S.R. DELLA REGIONE SICILIANA DELLA DURATA DI ANNI 4 - LOTTO 8 -;11286725;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;VIVISOL SRL
B277B7C765;2024-07-17;FORNITURA DI SERVIZI MEDICI MULTIDISCIPLINARI PRESSO I PRESIDI OSPEDALIERI DELL'ASP DI CALTANISSETTA PER IL PERIODO DI DODICI MESI;8964200;PROCEDURA APERTA;SERVIZI MEDICI SPECIALISTICI;
B32666997F;2024-09-25;LOTTO 1 ASP CL PROFILO ASSISTENZIALE 1 A;8713200;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
B466551ACB;2024-11-21;RECEPIMENTO DECRETO DIRIGENZIALE N. 52 DEL 17-04-2024 DELLA CENTRALE UNICA DI COMMITTENZA DELLA REGIONE SICILIANA CON IL QUALE HA DISPOSTO L'AGGIUDICAZIONE DELLA PROCEDURA TRAMITE SDAPA, AI SENSI DEGLI ARTT. 60 E 95, CO.2 DEL D.LGS. N. 50/2016 E SS.MM.II., DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE ;8541065;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;Operatore individuale (persona fisica)
B2E77EE691;2024-09-04;PROCEDURA TELEMATICA, AI SENSI DEGLI ARTT. 32, 72 E 108 COMMA 2) DEL D. LGS. 36 DEL 31 MARZO 2023, TRAMITE SDAPA DI CONSIP, PER L'AFFIDAMENTO DEL SERVIZIO DI LAVANOLO DELL'ASP DI CALTANISSETTA;8287924;PROCEDURA RISTRETTA;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;
B32666BB25;2024-09-25;LOTTO 3 ASP CL PROFILO ASSISTENZIALE 2 A;8072064;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
975475674D;2023-04-05;AFFIDAMENTO DEL SERVIZIO DI TESORERIA E CASSA DELL'ASP DI CALTANISSETTA;6566250;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B425FEAD6E;2024-11-06;LOTTO 16 GARA CENTRALIZZATA FARMACI D.D.204/24 PTORS 92/93;5085945;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
9586061BC7;2023-01-13;ADESIONE AQ CONSIP SERVIZI APPLICATIVI IN OTTICA CLOUD E PMO - FORNITURA DI SERVIZI APPLICATIVI LOTTO 5 INDRA ITALIA;4952196;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;
B326670F44;2024-09-25;LOTTO 2 ASP AG PROFILO ASSISTENZIALE 1 B;4756536;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
A058EBF725;2024-04-18;LOTTO 42 E ADESIONE GARA DI BACINO ASP DI AG P. A. FORNITURA PROTESI ORTOPEDICHE,SISTEMI PER OSTEOSINTESI MATERIALE VARIO PER ORT;4633868;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALE ORTOPEDICO;
B2A057EEA9;2024-07-29;LOTTO 10- D.D.121/24 GARA CENTRALIZZATA FARMACI PTORS 91 CUC;4610443;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B32666FE71;2024-09-25;LOTTO 1 ASP AG PROFILO ASSISTENZIALE 1 A;4530864;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
B3266720EF;2024-09-25;LOTTO 4 ASP AG PROFILO ASSISTENZIALE 2 B;4346496;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
B326674295;2024-09-25;LOTTO 6 ASP AG PROFILO ASSISTENZIALE 3 B;4268880;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
B32666ED9E;2024-09-25;LOTTO 6 ASP CL PROFILO ASSISTENZIALE 3 B;4268880;PROCEDURA RISTRETTA;VARI SERVIZI SANITARI;
