# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI ENNA (ANAC)
# 863 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B0CC5AFC12;2024-03-13;AFFIDAMENTO DELLA FORNITURA DI PRODOTTI E SERVIZI PER LA REALIZZAZIONE, MANUTENZIONE E GESTIONE DI RETI LOCALI;145154514;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VODAFONE SPA
B202E6B064;2024-06-06;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;22648816;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VITALAIRE ITALIA SPA
97829211CD;2023-04-26;PROCEDURA APERTA PER L'AFFIDAMENTO DELLA GESTIONE INTEGRATA E MANUTENZIONE DEGLI IMPIANTI TECNOLOGICI UBICATI PRESSO I PRESIDI OSPEDALIERI E POLIAMBULATORI DELL'AZIENDA SANITARIA PROVINCIALE DI ENNA PER N. 6 ANNI;21780000;PROCEDURA APERTA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;CONMAR - CONSORZIO STABILE MARCHESE SOCIETA' CONSORTILE A.R.L.
A019D7B7D3;2023-03-31;PNC - M6.C2 - 1.2. - AQ3 ADEGUAMENTO SISMICO E MIGLIORAMENTO ANTINCENDIO OSPEDALE CHIELLO PIAZZA ARMERINA;15700080;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B00CD4BB65;2024-01-22;GESTIONE E MANUTENZIONE DEI SISTEMI E SERVIZI NECESSARI PER IL P.O. DI ENNA E DELL?INSTALLAZIONE E GESTIONE DA REMOTO DI SISTEMI PER L?EDIFICIO EX CISS DI PERGUSA.;14140600;PROCEDURA DI GARA;Cpv prevalente non disponibile;28 58 SECURITY S.R.L.
9762927E37;2023-04-06;GARA EUROPEA A PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI PULIZIA, SANIFICAZIONE, AUSILIARIATO E SERVIZI ACCESSORI, PER ANNI DUE PER L'ASP DI ENNA;13817467;PROCEDURA APERTA;SERVIZI DI PULIZIA;N.S.I. NIGRA SERVIZI ITALIA  SOCIETA' COOPERATIVA
A018EA9CE9;2023-03-31;PNC - M6.C2 - 1.2- AQ1 ADEGUAMENTO SISMICO PLESSO BLU UMBERTO I ENNA;8078400;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
9823048BA3;2023-05-10;RECEPIMENTO D.D. N.76/2023 - FARMACI INSERITI NEL PTORS DELLA REGIONE SICILIANA - AGGIORNAMENTI N. 76, 77 E 78 - LOTTO 46 SUB A;7725456;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
A019D07819;2023-03-31;PNC - M6.C2 - 1.2. - AQ3 ADEGUAMENTO SISMICO E MIGLIORAMENTO ANTINCENDIO OSPEDALE F.B.C. LEONFORTE;7522680;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
A018EF39FB;2023-03-31;PNC - M6.C2 - 1.2- AQ1 ADEGUAMENTO SISMICO E ANTINCENDIO PLESSO BLU UMBERTO I ENNA;7032960;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
