# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI MESSINA (ANAC)
# 1718 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B02E766A6B;2024-02-01;PROCEDURA DI GARA PER L'AFFIDAMENTO, PER UN PERIODO DI ANNI SEI, DEL SERVIZIO DI GESTIONE DELL'ATTIVITÀ DI NEURORIABILITAZIONE INTENSIVA DI ALTA SPECIALITÀ PER N. 36 POSTI LETTO ALLOCATI PRESSO IL P.O. SAN SALVATORE DI MISTRETTA;51000335;PROCEDURA APERTA;SERVIZI DI RIABILITAZIONE;
B355152828;2024-10-09;PROCEDURA APERTA PER L'AFFIDAMENTO TRIENNALE DEI SERVIZI ASSICURATIVI RELATIVI ALLA RESPONSABILITà CIVILE GENERALE (RCT-RCO);37398773;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE GENERALE;
A024993BFB;2023-11-03;PROCEDURA DI GARA PER L'AFFIDAMENTO, PER UN PERIODO DI ANNI SEI, DEL SERVIZIO DI GESTIONE DELL'ATTIVITÀ DI NEURORIABILITAZIONE INTENSIVA DI ALTA SPECIALITÀ PER N. 36 POSTI LETTO ALLOCATI PRESSO IL P.O. 'SAN SALVATORE' DI MISTRETTA;37207513;PROCEDURA APERTA;SERVIZI DI RIABILITAZIONE;
A0118C0F75;2023-10-18;PROCEDURA APERTA TELEMATICA TRAMITE PIATTAFORMA AZIENDALE (E-PROCUREMENT) IN UN UNICO LOTTO PER L'AFFIDAMENTO DEL SERVIZIO DI CASSA/ TESORERIA PER L'AZIENDA SANITARIA PROVINCIALE DI MESSINA;10065000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B13255AACB;2024-04-12;PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI CASSA/ TESORERIA PER L'AZIENDA SANITARIA PROVINCIALE DI MESSINA.;10065000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B41193305C;2024-10-31;PROCEDURA APERTA TELEMATICA TRAMITE PIATTAFORMA AZIENDALE (E-PROCUREMENT) IN UN UNICO LOTTO PER L'AFFIDAMENTO DEL SERVIZIO DI CASSA/ TESORERIA PER L'AZIENDA SANITARIA PROVINCIALE DI MESSINA;10065000;PROCEDURA APERTA;SERVIZI DI TESORERIA;BANCA  NAZIONALE DEL LAVORO S.P.A. O IN FORMA CONTRATTA BNL S.P.A.
988526176F;2023-06-26;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE IN FAVORE DEI PP.OO. AZIENDALI E TALUNI PRESIDI EXTRA OSPEDALIERI DELL'ASP DI MESSINA;9015225;PROCEDURA APERTA;SERVIZI DI PREPARAZIONE PASTI;
B3B7EE3E85;2024-10-18;PROCEDURA INIZIATIVA SDAPA NEL PORTALE CONSIP, AI SENSI DEGLI ARTT. 60 E 95, CO. 2, DEL D.LGS N. 50/2016 E SS.MM.II., PER LAFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE DINTERESSE PER GLI ENTI DEL S.S.R.- LOTTO 10 DITTA NIPPON GASES PHARMA SRL;8527796;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;NIPPON GASES PHARMA S.R.L.
A00BA07490;2023-09-15;P.N.R.R. - MISSIONE 6 SALUTE - M6.C2 - 1.2. VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE (PNRR) - 'ADEGUAMENTO STRUTTURALE P.O. DI TAORMINA (ME)';8482320;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO INNOVA SOCIETA' COOPERATIVA
B1261A8C9D;2024-04-08;ADESIONE ALLE RISULTANZE DELLA GARA REGIONALE, ESPLETATA DALLA C.U.C. DELLA REGIONE SICILIANA, PER L'AFFIDAMENTO DEI SERVIZI DI GESTIONE, DISTRIBUZIONE E FORNITURA DI GAS MEDICINALI AIC, DEI GAS FU E DM, DEI GAS TECNICI E DI LABORATORIO E DELLA MANUTENZIONE DEGLI IMPIANTI DI PRODUZIONE E DI DISTRIBU;7515397;AFFIDAMENTO DIRETTO;GAS MEDICI;LINDE MEDICALE SRL
