# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI PALERMO (ANAC)
# 2735 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B243B84770;2024-06-28;SISTEMA DI MONITORAGGIO GLICEMICO CGM IN PAZIENTI IN TERAPIA INSULINICA MULTINIETTIVA, O SOTTOPOSTI A TERAPIA IPOGLICEMIZZANTE, ASSOCIABILI O MENO ALL'UTILIZZO DEL MICROINFUSORE.;54705000;PROCEDURA APERTA;FORNITURE PER INFUSIONE;
B243B80424;2024-06-28;MICROINFUSORE PER INFUSIONE CONTINUA DI INSULINA CON SISTEMA INTEGRATO DI MONITORAGGIO GLICEMICO CONTINUO IN MODALITà AUTOMATICA CON IL QUALE INTERAGISCE SIA IN CASO DI IPER O IPO GLICEMIA,NON ADESIVO;51432500;PROCEDURA APERTA;FORNITURE PER INFUSIONE;
9728645BD1;2023-04-04;LOTTO 2 - SERVIZIO DI VENTILOTERAPIAPOLMONARE A DOMICILIO - PROTOCOLLO A PATOLOGIEBPCO, IRC E NEUROMUSCOLARI IN VENTILAZIONE NONINVASIVA - PROTOCOLLO B PATOLOGIE BPCO, IRC ENEUROMUSCOLARI IN VENTILAZIONE NON INVASIVA;34457643;PROCEDURA APERTA;SERVIZI DI CURE MEDICHE A DOMICILIO;SAPIO LIFE SRL
B3F95DDC93;2024-10-24;LOTTO 21A - FARMACI AGGIORNAMENTI PTORS 92+93 E ALTRE SPECIALITÀ MEDICINALI ANDATE DESERTE NELLE PRECEDENTI PROCEDURE E/O CON QUANTITÀ EROSE: AGGIUDICAZIONE D.D. N. 204 DEL 23/10/2024.;22389898;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
9728631047;2023-04-04;LOTTO 1 - SERVIZIO DI VENTILOTERAPIA POLMONARE A DOMICILIO - PROTOCOLLO A OSAS - PROTOCOLLO B OSAS COMPLESSA;21437253;PROCEDURA APERTA;SERVIZI DI CURE MEDICHE A DOMICILIO;LINDE MEDICALE SRL
B464DE9A0A;2024-11-21;AFFIDAMENTO MEDIANTE PROCEDURA NEGOZIATA SENZA PUBBLICAZIONE DI UN BANDO EX ART. 76 COMMA 2 LETT. C) DEL D.LGS. N. 36/2023, DEL SERVIZIO DI PULIZIA E SERVIZI INTEGRATI ED ACCESSORI IN AMBITO SANITARIO PER GLI ENTI DEL SERVIZIO SANITARIO REGIONALE DELLA REGIONE SICILIANA, A FAVORE DELLA SOCIETÀ DUSSM;18679151;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA;
B3420164FE;2024-10-01;LOTTO 3 - SERVIZI DI OSSIGENOTERAPIA DOMICILIARE D'INTERESSE PER GLI ENTI DEL S.S.R.;17892228;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;MEDICAIR SUD S.R.L.
A03E33ED91;2024-02-28;ACCORDO QUADRO AGGIUDICATO DALLA CUC REGIONE SICILIA CON IL DD 231 DEL 06/12/2023 - LOTTO 7 - ERITROPOIETINA;15507017;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SANDOZ S.P.A.
B243B8369D;2024-06-28;SISTEMA DI MONITORAGGIO GLICEMICO FGM IN PAZIENTI IN TERAPIA INSULINICA MULTINIETTIVA, O SOTTOPOSTI A TERAPIA IPOGLICEMIZZANTE, ASSOCIABILI O MENO ALL'UTILIZZO DEL MICROINFUSORE.;15078000;PROCEDURA APERTA;FORNITURE PER INFUSIONE;
B3449D79D4;2024-10-02;LOTTO 4 - SERVIZI DI OSSIGENOTERAPIA DOMICILIARE D'INTERESSE PER GLI ENTI DEL S.S.R.;14681434;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;VIVISOL SRL
