# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI RAGUSA (ANAC)
# 1914 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B44298A255;2024-11-13;FORNITURA RISONANZA MAGNETICA;90091000;AFFIDAMENTO DIRETTO;APPARECCHI PER TOMOGRAFIA;PHILIPS S.P.A.
B2D8A0E998;2024-08-27;ADESIONE AQ SYSTEM MANAGEMENT;50487250;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;ENTERPRISE SERVICES ITALIA S.R.L.
B07C7B1A26;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;43500824;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B07C7B3BCC;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;24491568;PROCEDURA APERTA;VARI SERVIZI SANITARI;
A02DF8DFB5;2023-11-16;PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. N. 36/2023, PER L'AFFIDAMENTO DEL 'SERVIZIO DI TESORERIA, CASSA E SERVIZIO DI TRASPORTO E CONTAZIONE VALORI, PER LA DURATA DI TRE ANNI (CON FACOLTÀ DI PROROGA PER ANNI UNO)';21094117;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B1DCE61B55;2024-05-29;VANTOBRA 56 FL 170 MG;16489841;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NEUPHARMA S.R.L.
B07C7B4C9F;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;16315465;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B07C7B5D72;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;13604409;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B42287D050;2024-11-05;DD 204 LOTTO 16;8137512;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
B35EC0F9D6;2024-10-09;PRESA D'ATTO E RECEPIMENTO DEL D.D. N. 52 DEL 17 APRILE 2024, RELATIVO ALL'AGGIUDICAZIONE DELLA GARA REGIONALE SDAPA NEL PORTALE CONSIP A CURA DELLA CENTRALE UNICA DI COMMITTENZA PER ACQUISIZIONE DI BENI E SERVIZI REGIONE SICILIA PER L'AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE DI INTERE;7850924;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;VITALAIRE ITALIA SPA
99042269D8;2023-08-24;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA ED.20 BIS SICILIA.;7786885;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B2B3B888DD;2024-08-05;D.D. 121 LOTTO 9;6734126;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVO NORDISK FARMACEUTICI SPA
B3643D58AB;2024-10-10;PRESA D'ATTO E RECEPIMENTO DEL D.D. N. 52 DEL 17 APRILE 2024, RELATIVO ALL'AGGIUDICAZIONE DELLA GARA REGIONALE SDAPA NEL PORTALE CONSIP A CURA DELLA CENTRALE UNICA DI COMMITTENZA PER ACQUISIZIONE DI BENI E SERVIZI REGIONE SICILIA PER L'AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE DI INTERE;6590816;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;IMPRESA INESISTENTE
B25FA14B48;2024-07-08;D.D.99 LOTTO 20;4918562;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
B225891C9A;2024-06-18;FORNITURA ENERGIA ELETTRICA;4918033;AFFIDAMENTO DIRETTO;ELETTRICITÀ;ENEL ENERGIA SPA
B220494D6A;2024-06-17;FORNITURA ENERGIA ELETTRICA;4918033;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;ENEL ENERGIA SPA
B2B3BD693B;2024-08-05;D.D. 121 LOTTO 10;4487726;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
B07C7B2AF9;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;4205582;PROCEDURA APERTA;VARI SERVIZI SANITARI;
95868441F1;2023-01-05;PROCEDURA DI GARA APERTA, AI SENSI DELL'ART. 60, COMMA 3, DEL D.LGS. N. 50/2016 E S.M.I., PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI 'GAS MEDICINALI A.I.C., GAS AD USO UMANO, GAS TECNICI E DI LABORATORIO, COMPRENSIVA DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI DI DISTRIBUZIONE, MESSA A ;4122196;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;AIR LIQUIDE SANITÀ SERVICE
B36F0B952E;2024-10-14;PRESA D'ATTO E RECEPIMENTO DELLA DELIBERA N. 374 DEL 09.05.2024 DELL'ARNAS GARIBALDI DI CATANIA (CAPOFILA) DI AGGIUDICAZIONE DELLA GARA FINALIZZATA ALLA STIPULA DI UN CONTRATTO-PONTE PER IL SERVIZIO DI LAVAGGIO E NOLEGGIO DELLA BIANCHERIA PIANA E SAGOMATA, PER 48 MESI, DESTINATO ALLE AZIENDE SANITAR;4100642;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;PACIFICO - S.R.L.
A052851013;2024-02-16;MONOUSO IN SERVICE CON APPARECCHIATURE - FACO-VITRECTOMI (LOTTO N. 38);3445850;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ATTREZZATURE PER OFTALMOLOGIA;
B42274707E;2024-11-05;DD 204 LOTTO 10;3157350;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
A002005D30;2023-07-20;D.D. 134 DEL 12/07/2023- LOTTO 1;2905712;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
9743499DB9;2023-05-12;PNRR - MISSIONE 6 SALUTE 1.2.2 OSPEDALI SICURI E SOSTENIBILI PNC PROGETTO DI FATTIBILITÀ TECNICA ED ECONOMICA DELL'ADEGUAMENTO SISMICO DEL PADIGLIONE 'A' DEL P.O. BUSACCA DI SCICLI;2702508;PROCEDURA APERTA;LAVORI STRUTTURALI;
A05285B851;2024-02-16;MONOUSO IN SERVICE CON APPARECCHIATURE - FACO-VITRECTOMI (LOTTO N. 39);2506825;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ATTREZZATURE PER OFTALMOLOGIA;
A026470711;2023-11-09;D.D. 186 DEL 31/10/2023- LOTTO 28;2309238;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;DAIICHI-SANKYO-ITALI
A026016FC1;2023-11-21;LOTTO N.2 - CONSERVE E PRODOTTI ALIMENTARI VARI;2205240;PROCEDURA RISTRETTA;PRODOTTI ALIMENTARI E PRODOTTI SECCHI VARI;
B2B3E9A180;2024-08-05;D.D. 121 LOTTO 13;2179961;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ABBVIE S.R.L.
A009FE9719;2023-07-20;D.D. 134 DEL 12/07/2023- LOTTO 11;2122971;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
9796506C7C;2023-06-16;LAVORI DI RISTRUTTURAZIONE DELLA U.O.C. DI CHIRURGIA E U.O.S.D. UROLOGIA DEL P.O 'MAGGIORE' DI MODICA.;2068563;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;CONSORZIO SIMPLEX - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA
A00D44A090;2023-09-22;PNNR MISSIONE 6 SALUTE. 1.1 CASE DELLA COMUNITA' E PRESA IN CARICO DELLA PERSONA. INTERVENTO DI REALIZZAZIONE DELLA CASA DI COMUNITA' DI MONTEROSSO ALMO. AGGIUDICAZIONE APPALTO INTEGRATO DISCENDENTE DA ACCORDO QUADRO REGIONE SICILIANA - INVITALIA;1997675;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;VALORI S.C.A R.L. - CONSORZIO STABILE IN SIGLA VALORI - S.C. A R. L.
A0549386F2;2024-04-06;D.D.28 DEL 13/03/2024 LOTTO 59 BAYER;1905862;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B3E90E942E;2024-10-21;RECEPIMENTO DELLA DELIBERAZIONE N. 809 DEL 13.06.2024 DELL'ASP DI ENNA (CAPOFILA) AUTORIZZAZIONE ALLA STIPULA DI UN CONTRATTO PONTE SINO AL 31.12.2024 PER LA FORNITURA DI AUSILI PER INCONTINENTI CON CONSEGNA DIRETTA AL DOMICILIO DEGLI UTENTI AVENTI DIRITTO E SUCCESSIVA ASSISTENZA POST VENDITA NELLE ;1812535;AFFIDAMENTO DIRETTO;PRODOTTI PER L'INCONTINENZA;IMPRESA INESISTENTE
9642799178;2023-02-02;D.D. 14 DEL 02/02/2023;1772000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
A02BAF5CFE;2023-11-24;FINANZIAMENTO PNRR. - M6C2, COMPONENTE 2, INNOVAZIONE, RICERCA E DIGITALIZZAZIONE DEL SERVIZIO SANITARIO, LINEA DI INTERVENTO 1.1.1 AMMODERNAMENTO DEL PARCO TECNOLOGICO E DIGITALE OSPEDALIERO - ADESIONE ACCORDO QUADRO PER L'AFFIDAMENTO DI SERVIZI DI SYSTEM MANAGEMENT PER LE PUBBLICHE AMMINISTRAZIONI;1741682;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;
