# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI SIRACUSA (ANAC)
# 1562 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A022743B32;2023-12-12;SERVIZIO DI AUSILIARIATO /SUPPORTO E SERVIZIO RECEPTION;30400000;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B4EC3868EB;2024-12-19;RECEPIMENTO D.D 20/2024 DEL 23/10/2024 LOTTO 10 (A-B-C-D-E-G-H) DUPIXENT VARI DOSAGGI;20507657;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;SANOFI S.R.L.
B3FE2AAD58;2024-10-28;RIMODULAZIONE IMPEGNO DI SPESA PER MICROINFUSORI;11644084;AFFIDAMENTO DIRETTO;APPARECCHI E STRUMENTI PER TRASFUSIONE E INFUSIONE;ROCHE DIABETES CARE ITALY S.P.A.
B4B1E4DA46;2024-12-10;RIMODULAZIONE IMPEGNO DI SPESA PER L'ASP DI SIRACUSA PER LA FORNITURA IN SERVICE DI MICROINFUSORI DI INSULINA -ANNO 2024;11644084;AFFIDAMENTO DIRETTO;APPARECCHI E STRUMENTI PER TRASFUSIONE E INFUSIONE;ROCHE DIABETES CARE ITALY S.P.A.
B33B8CFAD5;2024-09-30;RECEPIMENTO LOTTO 18 D.D. 57 DEL 17/04/2023. OSSIGENOTERAPIA DOMICILIARE. DITTA: VITALAIRE;10461611;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;Operatore individuale (persona fisica)
A00FF3AF6E;2023-09-15;PNC MISSIONE 6 - COMPONENTE 2 - LINEA 1.2 - INTERVENTO DI ADEGUAMENTO/MIGLIORAMENTO SISMICO DEL P.O. UMBERTO I DI SIRACUSA;10347303;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GRANDI IMPIANTI S.R.L.
B2C0BC50DA;2024-08-12;SERVIZIO DI TESORERIA E DI CASSA;10337689;PROCEDURA APERTA;SERVIZI DI TESORERIA;
A0130D5EFA;2023-09-29;PNRR MISSIONE 6 - COMPONENTE 2 - LINEA 1.2 - INTERVENTO DI ADEGUAMENTO/ MIGLIORAMENTO SISMICO DEL P.O. 'RAFFAELE TRIGONA' DI NOTO;10202364;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO NAZIONALE COOPERATIVE DI PRODUZIONE E LAVORO CIRO MENOTTI SOCIETA' COOPERATIVA PER AZIONI
B2CBE2B8EB;2024-08-19;RECEPIMENTO D.D. 121/2024. LOTTO 9 (G-H-I-L-M)- ESPEROCT VARI DOSAGGI.;9716684;AFFIDAMENTO DIRETTO;ARTICOLI DI FARMACIA;NOVO NORDISK FARMACEUTICI SPA
A00FE0B566;2023-10-11;PNC MISSIONE 6 - COMPONENTE 2 - LINEA 1.2 - INTERVENTO DI ADEGUAMENTO/ MIGLIORAMENTO SISMICO DEL P.O. 'DI MARIA' DI AVOLA;9307649;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;EMMECCI S.P.A. BENEFIT
B33BA69D2C;2024-09-30;RECEPIMENTO LOTTO 19 D.D. 52 DEL 17/04/2024 OSSIGENOTERAPIA DOMICILIARE. DITTA: LINDE MEDICALE.;8790236;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;Operatore individuale (persona fisica)
