# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA PER L'EMERGENZA CANNIZZARO DI CATANIA (ANAC)
# 588 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
983348722F;2023-03-09;RINEGOZIAZIONE CONTRATTUALE AI SENSI DEL D.LGS. N. 115 DEL 30/05/2008 DELLA CONVENZIONE CONSIP 'MULTISERVIZIO TECNOLOGICO INTEGRATO CON FORNITURA DI ENERGIA PER LA SANITÀ - MIES2';64421524;AFFIDAMENTO DIRETTO;SERVIZI DI GESTIONE ENERGIA;REKEEP S.P.A.
B45D863E48;2024-11-20;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 6;24469740;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
A04BB37780;2023-12-14;MANTENIMENTO DEL SERVIZIO DI AUSILIARIATO DI SUPPORTO AI REPARTI ED ALLE STRUTTURE DELL'AZIENDA OSPEDALIERA PER L'EMERGENZA CANNIZZARO - AI SENSI DELL'ART. 9 DEL DISCIPLINARE DI GARA;23355504;AFFIDAMENTO DIRETTO;SERVIZI OSPEDALIERI E AFFINI;
B25947F748;2024-07-04;SERVIZIO DI RISTORAZIONE;11814537;PROCEDURA RISTRETTA;SERVIZI DI MENSA;SERENISSIMA RISTORAZIONE S.P.A.
A05B6B3F8C;2024-04-10;SERVIZI DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI AIC, DEI GAS FU E DM, DEI GAS TECNICI E DI LABORATORIO E DELLA MANUTENZIONE DEGLI IMPIANTI DI PRODUZIONE E DI DISTRIBUZIONE PER LE AZIAENDE SANITARIE E OSPEDALIERE DELLA REGIONE SICILIANA - GARA ANAC N. 8881307 - LOTTO 2;7119289;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;SOL S.P.A.
B415C39F92;2024-10-31;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 16;5764071;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
A04BC936AE;2023-12-14;MANTENIMENTO DELL'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DELLE PRESTAZIONI DIAGNOSTICHE PET/CT GESTIONE DELLE PRESTAZIONI DIAGNOSTICHE NEL CICLOTRONE E PRODUZIONE DI RADIOFARMACO A SUPPORTO ED INTEGRAZIOINE DELLE RISORSE UMANE E TECNOLOGICHE DELLA A.O.E. CANNIZZARO - AI SEN SI DELL'ARTICOLO 5 DEL DISC;4884744;AFFIDAMENTO DIRETTO;SERVIZI OSPEDALIERI E AFFINI;
A018E8D5D0;2023-10-20;AFFIDAMENTO DEL SERVIZIO DI TESORERIA E CASSA PER L'AZIENDA OSPEDALIERA PER L'EMERGENZA CANNIZZARO DI CATANIA;4735570;PROCEDURA APERTA;SERVIZI DI TESORERIA;
9657369901;2023-01-02;SERVIZIO DI PREPARAZIONE E SOMMINISTRAZIONE PASTI AI DEGENTI ED AI DIPENDENTI DELL'AOEC CANNIZZARO;3500000;PROCEDURA APERTA;SERVIZI DI PREPARAZIONE PASTI;GEMEAZ ELIOR S.P.A.
97783326D5;2023-07-07;VERIFICATION MECHANIMS - PNRR DIGITALIZZAZIONE;3400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA PER LA GESTIONE DI PROGETTI;MCKINSEY & COMPANY, INC. ITALY
A0206D8AA5;2023-10-20;PROCEDURA NEGOZIATA MEDIANTE RDO MEPA SULLA PIATTAFORMA WWW.ACQUISTINRETEPA.IT PER L'AFFIDAMENTO DI UN 'ACCORDO QUADRO PER LAVORI IN SOMMINISTRAZIONE PER IL MANTENIMENTO DELLA FUNZIONALITÀ, L'ADEGUAMENTO A NORMA E LA RISTRUTTURAZIONE DEGLI IMMOBILI DELL'A.O.E. CANNIZZARO';3000000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;LAVORI DI RIPARAZIONE E RIPRISTINO;L.S.V. COSTRUZIONI S.R.L.
B4D45445F2;2024-12-18;LAVORI DI ADEGUAMENTO ANTINCENDIO DELL'EDIFICIO F - II LOTTO FUNZIONALE, CORPI F2 (EX B) E C DEL F1 - PROGETTO ESECUTIVO DI COMPLETAMENTO - STRALCIO PIANI 5°, 6° E 8°;2974940;PROCEDURA DI GARA;LAVORI EDILI;
B27E1DF566;2024-07-17;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 20;2863388;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
B2F7AD8036;2024-09-09;SERVIZIO DI LAVAGGIO E NOLEGGIO DELLA BIANCHERIA PIANA E SAGOMATA;2491318;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;SERVIZI SANITARI INTEGRATI  S.R.L.
9949603024;2023-07-26;ACQUISTO N.1 ACCELERATORE LINEARE;2200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRESIDI ED APPARECCHI PER RADIOTERAPIA;ELEKTA S.P.A.
B2C71E9ADA;2024-08-14;SERVIZIO SESSENNALE DI ASSISTENZA TECNICA E SOSTITUZIONE DELLE SORGENTI DI COBALTO60 DELL'APPARECCHIATURA ELETTROMEDICALE LEKSELL GAMMA KNIFE ICON SN. 8043, IN DOTAZIONE PRESSO L'U.O.C. DI RADIOTERAPIA DELL'A.O.E. CANNIZZARO DI CATANIA;2100000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
B49A7CFFD7;2024-12-05;LAVORI DI ADEGUAMENTO AD ELIPORTO DELL'ELISUPERFICIE DELL'A.O.E. CANNIZZARO;2053904;PROCEDURA APERTA;LAVORI STRUTTURALI;
B2A1797DEF;2024-08-02;LAVORI DI MIGLIORAMENTO SISMICO DELL'EDIFICIO CS1 (OGGI EDIFICIO M);1728757;PROCEDURA APERTA;LAVORI EDILI;
978526829B;2023-05-10;SERVIZIO DI CARDIOANGIOPERFUSIONE PRESSO U.O.C. DI CHIRURUGIA VASCOLARE AOE CANNIZZARO;1672785;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;MEDICAL CONCEPT LAB - SOCIETA' PER AZIONI
B4179BCA29;2024-11-05;LAVORI DI MIGLIORAMENTO SISMICO DELL'EDIFICIO A4 (OGGI EDIFICIO D);1647187;PROCEDURA APERTA;LAVORI STRUTTURALI;
A047444AEA;2023-08-22;FORNITURA IN SOMMINISTRAZIONE DI DIAGNOSTICI, REAGENTI CALIBRATORI, CONTROLLI PER ATTREZZATURE PER EMOGASALAIZZATORI LOTTO 2;1554390;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DIAGNOSTICI;
B27A0FFC09;2024-07-16;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 16;1472885;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ELI LILLY ITALIA - S.P.A.
B32661DAC7;2024-09-23;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 10;1438356;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B24CF3DF01;2024-07-01;PIATTAFORMA TELEFONICA PER ESECUZIONE SERVIZIO PRENOTAZIONI CUP;1430875;AFFIDAMENTO DIRETTO;INSTALLAZIONE DI CENTRALINI TELEFONICI;WIND TRE S.P.A.
B0F902EB01;2024-03-25;GARA REGIONALE FARMACI CUC SICILIA LOTTO 65;1394247;AFFIDAMENTO DIRETTO;ALTRI MEDICINALI TERAPEUTICI;GRIFOLS ITALIA S.p.A.
B1BF5F4FA8;2024-05-20;GARA REGIONALE FARMACI CUC SICILIA LOTTO 8;1308517;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GLAXOSMITHKLINE S.P.A.
B279870BF7;2024-07-16;GARA REGIONALE FARMACI CUC SICILIA LOTTO N. 7;1226385;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
B4079C6068;2024-10-30;LAVORI DI MIGLIORAMENTO SISMICO DELL'EDIFICIO CD (OGGI EDIFICIO Q);1158558;PROCEDURA APERTA;LAVORI STRUTTURALI;
