# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA OSPEDALI RIUNITI VILLA SOFIA CERVELLO DI PALERMO (ANAC)
# 2136 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B29A415C00;2024-07-26;SERVIZIO QUINQUENNALE DI NOLEGGIO, LAVAGGIO E DISINFEZIONE DELLA BIANCHERIA, DIVISE PER IL PERSONALE E MATERASSERIA, GESTIONE DEL GUARDAROBA E DISTRIBUZIONE INTERNA PER LE STRUTTURE DELL'AZIENDA OSPEDALIERA PER LE UNITà OPERATIVE DELL'AZIENDA OSPEDALIERA OSPEDALI RIUNITI VILLA SOFIA CERVELLO, AI SEN;22318928;PROCEDURA APERTA;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;
9756158C43;2023-04-12;SERVIZIO DI PULIZIA - SERVIZI INTEGRATI E SERVIZI ACCESSORI PRESIDI OSPEDALIERI;18787615;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;REKEEP S.P.A.
99709131B5;2023-08-24;FORNITURA DI PRODOTTI FARMACEUTICI CON D.D. N. 134 DEL 12 LUGLIO 2023 SPECIALITA' MEDICINALE PRINCIPO ATTIVO RAVULIZUMAB 300 MG -1100 MG LOTTO 1 - A -B - DITTA ALEXION PHARMA ITALY SRL;12363109;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B36FFC0BD1;2024-10-16;SERVIZIO QUINQUENNALE DI VIGILANZA - PREVENZIONE INCENDI E GESTIONE DELLE EMERGENZE PER I PRESIDI DELL'AZIENDA OSPEDALIERA OSPEDALI RIUNITI VILLA SOFIA CERVELLO;10617120;PROCEDURA APERTA;SERVIZI DI PREVENZIONE DEGLI INCENDI;
B413439D42;2024-10-31;D.D. 204/2024 - LOTTO 16 A;10510953;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
B20CD60D4D;2024-06-10;LOTTO 108 - VOCI B-C-E-F-H-I-J-M-N-O-P-;7222585;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
9789682D24;2023-06-22;SERVICE PER COAGULAZIONE ROUTINE/URGENZA TEST DI I E II LIVELLO E TERAPIA ANTICOAGULANTE ORALE (TAO).;6443128;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B478C9EB69;2024-11-28;SERVIZIO DI ASSISTENZA MEDICA PER GUARDIA ATTIVA NOTTURNA E DIURNA PER LE UNITA OPERATIVE DI MEDICINA DI MEDICINA E CHIRURGIA DACCETTAZIONE E DURGENZA DEI PRESIDI OSPEDALIERI VILLA SOFIA E CERVELLO DELLAZIENDA OSPEDALIERA OSPEDALI RIUNITI VILLA SOFIA - CERVELLO - PER ANNI UNO CON EVENTUALE OPZIONE D;5539000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE MEDICO;
A04DDD9BF3;2023-11-22;FORNITURA PRINCIPIO ATTIVO RISANKIZUMAB SPECIALITA' MEDICINALE SKYRIZI 600MG PER SOLUZIONE PER INFUSIONE - SKYRIZI 360 MG SOLUZIONE INIETTABILE IN CARTUCCIA LOTTO 19 A-B- D.D. N. 186 DEL 31 OTTOBRE 2023 DITTA ABBVIE S.R.L.;5495780;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ABBVIE S.R.L.
B2B544208E;2024-08-05;FORNITURA VENCLYXTO LOTTO 13A,B,C,D,E D.D. N. 121/2024;5184142;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ABBVIE S.R.L.
95890763D8;2023-03-15;SERVIZIO DI TESORERIA E CASSA;5160000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
97896903C1;2023-06-22;SISTEMI EMATOLOGICI DI ROUTINE BACK UP CON APPROFONDIMENTO DIAGNOSTICO DI PRIMO LIVELLO;4400000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;BECKMAN COULTER S.R.L.
958682309D;2023-01-25;ADESIONE AD AQ - PUBLIC CLOUD IAAS E PAAS LOTTO 11- LINEE DI INTERVENTO PNRR PIATTAFORMA APPLICATIVA DI CARTELLA CLINICA ETC;4262280;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;DGS S.P.A.
B412D6AEE3;2024-10-30;D.D. 204/2024 - LOTTO 7 A E B;3552764;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B2B54BF7B3;2024-08-05;FORNITURA IMCIVREE LOTTO 1A D.D. N.121/2024;3246045;AFFIDAMENTO DIRETTO;MEDICINALI VARI;EUROMED PHARMA S.R.L.
B2DD4FF191;2024-08-29;FORNITURA QUINQUENNALE AZOTO LIQUIDO CRIOGENICO E GESTIONE SISTEMAI STOCCAGGIO CELLULE STAMINALI LAB ONCOEMATOLOGIA, CON NOLEGGIO ATTREZZATURE E MANUTENZIONE FULL RISK E SERVIZIODISASTER RECOVERY;3232000;PROCEDURA APERTA;AZOTO LIQUIDO;SOL S.P.A.
9789681C51;2023-06-22;SISTEMA ANALITICO AUTOMATICO PER L'ESECUZIONE DI TEST SPECIALISTICI IMMUNOMETRICI IN CHEMILUMINESCENZA O ELETTROCHEMILUMINESCENZA EX RIA.;3040000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ROCHE DIAGNOSTICS S.P.A.
B412D6C08E;2024-10-30;D.D. 204/2024 - LOTTO 10 E E G;3023454;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
B292F1D570;2024-07-24;FORNITURA DI ECULIZUMAB LOTTO 2A D.D.100/2024;2840976;AFFIDAMENTO DIRETTO;MEDICINALI VARI;AMGEN S.R.L.
A049C1DD0B;2023-12-29;SERVIZIO RISTORAZIONE ANNO 2024;2787000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI DISTRIBUZIONE PASTI;CNS Consorzio Nazionale Servizi
B2F3B459A5;2024-09-09;PRE VENA CON CANISTER;2656500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B225893E40;2024-06-18;LOTTO N.25 - VOCI J - K - L- N- O- P - Q - R- S- T - W;2655263;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTRAZENECA S.P.A.
9627627921;2023-01-10;SERVIZIO DI RISTORAZIONE;2645000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI DISTRIBUZIONE PASTI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
B49D1EBFC7;2024-12-04;FORNITURA TRIENNALE DI REAGENTI ESCLUSIVI DI LABORATORIO COMPATIBILI CON L'APPARECCHIATURA DI PROPRIETA NEXTSEQ 550 DX ILLUMINA OCCORRENTI ALL U.O.C. DIPARTIMENTO GENETICA ONCOEMATOLOGIA E MALATTIE RARE.;2445812;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;REATTIVI PER LABORATORIO;
9829160F6A;2023-05-24;FORNITURA PRINCIPIO ATTIVO LETERMOVIR CPR. 240MG - CPR 480 MG -FLACONCINO 240/480- MG SPECIALITA' MEDICINALE PREVYMIS CONF. 28 CPR. FL LOTTO 41 A-B-C-D- D.D. N. 76-77-78 DEL 01 APRILE 2023 DITTA MSD ITALIA SRL;2428793;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
9788927E18;2023-04-28;SERVIZI DI GESTIONE E MANUTENZIONE DI SISTEMI IP E POSTAZIONI DI LAVORO;2420864;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE E RIPARAZIONE DI ATTREZZATURA INFORMATICA;FASTWEB SPA
B034EEEA36;2024-02-02;FORNITURA E POSA IN OPERA CHIAVI IN MANO DI N. 1 ISOLATORE E ATTREZZATURE A CORREDO PER LA REALIZZAZIONE DI UNA CELL FACTORY PER LA PRODUZIONE DI TERAPIE AVANZATE;2400000;PROCEDURA APERTA;STRUMENTI E APPARECCHI DI REGOLAZIONE E CONTROLLO;BIOAIR S.P.A.
96949394C1;2023-03-15;SERVIZIO QUINQUENNALE DI ARCHIVIAZIONE, CUSTODIA E GESTIONE DELLE CARTELLE CLINICHE;2396650;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI ARCHIVIAZIONE;SIKELIA GESTIONE ARCHIVI - S.R.L.
9590057D61;2023-01-24;FORNITURA DI FARMACI ESCLUSIVI D.D. N. 144 DEL 21 DICEMBRE 2022 LOTTO 3 A DITTA ALEXION PHARMA ITALY;2299223;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
9789679AAB;2023-06-22;SISTEMA PER LA DIAGNOSI DELLE PATOLOGIE AUTOIMMUNI.;2214680;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B2FFA4DE7F;2024-09-11;FORNITURA TRIENNALE DI REAGENTI ESCLUSIVI DI LABORATORIO MICROARRAY GENOMICI COMPATIBILI CON LO SCANNER G250C AGILENT OCCORRENTI ALL U.O.C. DI GENETICA MEDICA P.O. CERVELLO.;2191590;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;REATTIVI PER LABORATORIO;AGILENT TECHNOLOGIES ITALIA  S.P.A.
A04DAD6FB2;2023-11-22;FORNITURA PRINCIPIO ATTIVO UPADACITINIB SPECIALITA' MEDICINALE RINVOQ 45 MG COMPRESSE LOTTO 6 A -B-C -D.D. N. 186 DEL 31/10/ 2023 DITTA ABBVIE S.R.L.;2175719;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ABBVIE S.R.L.
97896789D8;2023-06-22;SERVICE PER LA FORNITURA DI UN SISTEMA ANALITICO AUTOMATICO PER L'ESECUZIONE DI TEST SPECIALISTICI DI ALLERGOLOGIA E PATOLOGIE AD ESSA COLLEGATE.;2171600;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;THERMO FISHER DIAGNOSTICS S.P.A.
9789680B7E;2023-06-22;SERVICE AUTOIMMUNITA' IN IFI, BLOT.;2160000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;EUROIMMUN ITALIA DIAGNOSTICA MEDICA - S.R.L. CON SIGLA EUROIMMUN ITALIA S.R.L.
B267EDDF30;2024-07-09;LOTTO 11 A - NATALIZUMAB;2137912;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANDOZ S.P.A.
