# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI CAGLIARI (ANAC)
# 1525 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B317426DCB;2024-09-18;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 240;77908820;AFFIDAMENTO DIRETTO;MEDICINALI VARI;AMGEN S.R.L.
B3487B9B0F;2024-10-02;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 303;19204654;AFFIDAMENTO DIRETTO;MEDICINALI VARI;CHIESI ITALIA S.P.A.
B3295A64F6;2024-09-24;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 179;11112182;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B31BB6CEDE;2024-09-19;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 116;10017514;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
A00EC33BC2;2023-09-13;CAT MEDICINALI 17 - LOTTO 85;8629056;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;KYOWA KIRIN S.R.L.
B315AE9A03;2024-09-18;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 237;7746630;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ABBVIE S.R.L.
B313DE9B88;2024-09-17;MEDICINALI 19 - ADESIONE AOU CAGLIARI- LOTTO 30;7381344;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BOEHRINGER INGELHEIM ITALIA - S.P.A.
995893879E;2023-07-13;FORNITURA COMPLEMENTARE DEL SERVICE UOC CARDIOLOGIA PER LA REALIZZAZIONE DI UNA SALA DI ELETTROFISIOLOGIA E CARDIOSTIMOLAZIONE;7271506;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI CARDIOLOGICI;
989888417F;2023-06-23;ADESIONE ALLA 'CONVENZIONE QUADRO PER L'AFFIDAMENTO DEL SERVIZIO DIMANUTENZIONE IMPIANTI DEGLI IMMOBILI IN USO A QUALSIASI TITOLO ALLEAMMINISTRAZIONI DEL TERRITORIO DELLA REGIONE AUTONOMA DELLA SARDEGNA.LOTTO 1;6900400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI;CNS Consorzio Nazionale Servizi
9637937537;2023-02-14;CAT MEDICINALI 16 - LOTTO 23 TREMFYA - JANSSEN CILAG SPA;5570055;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
