# Ospedali Trasparenti — contratti pubblici di ARNAS G. BROTZU (ANAC)
# 3788 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B10D5952D3;2024-03-29;AUTORIZZAZIONE ALL'ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 21, PER LA FORNITURA DI ENERGIA ELETTRICA OPZIONE VERDE, PER UN PERIODO DI 12 MESI, PER L'A.R.N.A.S. G. BROTZU;238389525;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;AGSM AIM SPA
B2826DC3B8;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 168;16685028;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B25F7E09DB;2024-07-08;RECEPIMENTO MEDICINALI 19 - LOTTO 33;14233593;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
B0D0D8EB68;2024-03-14;RECEPIMENTO FARMACI 2023 - NONA TRANCHE - VACCINI VARI 2023 BIS E FARMACI VARI - LOTTO 6;11315010;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B1C4D58D9E;2024-05-21;RECEPIMENTO FARMACI E VACCINI;10903914;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE SOCIETA' PER AZIONI
B425D44DED;2024-11-06;RECEPIMENTO DELLA PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DI RIFIUTI PERICOLOSI E NON DERIVANTI DA ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE SARDEGNA – EDIZIONE 2 - LOTTO 4. RTI ECO TRAVEL S.R.L. (MANDATARIA) - LONGONI S.R;9635540;AFFIDAMENTO DIRETTO;TRATTAMENTO E SMALTIMENTO DEI RIFIUTI;Operatore individuale (persona fisica)
B4CFE55CA8;2024-12-13;RECEPIMENTO MEDICINALI ED. 20 - LOTTO 431;9586584;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL MYERS SQUIBB
95209665B1;2023-01-31;PROCEDURA APERTA INFORMATIZZATA PER L'ACQUISIZIONE IN NOLEGGIO OPERATIVO DI UN SISTEMA INTEGRATO RIS - CIS - PACS PER LA GESTIONE DELLA DIAGNOSTICA PER IMMAGINI ED UNA SOLUZIONE INTEGRATA DI DIGITAL PATHOLOGY DA DESTINARE ALL'ARNAS 'G. BROTZU' DI CAGLIARI PER CINQUE ANNI CON EVENTUALE RINNOVO PER UL;9135000;PROCEDURA APERTA;SERVIZI DI MANUTENZIONE E RIPARAZIONE DI SOFTWARE;
B27DEE6168;2024-07-17;RECEPIMENTO MEDICINALI 19 - LOTTO 152;7863665;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
B25FA05EE6;2024-07-08;RECEPIMENTO MEDICINALI 19 - LOTTO 40;7844860;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
B496EFFDC1;2024-12-03;LAVORI IN APPALTO INTEGRATO DELL'INTERVENTO DI RIQUALIFICAZIONE STRUTTURALE E FUNZIONALE DEL CORPO STACCATO DEL P. O. S. MICHELE E DEL CORPO F DEL P.O. ONCOLOGICO A. BUSINCO DELL'ARNAS G. BROTZU DI CAGLIARI;7389267;AFFIDAMENTO DIRETTO;IMPIANTI MECCANICI;CONSORZIO NAZIONALE COOPERATIVE DI PRODUZIONE E LAVORO CIRO MENOTTI SOCIETA' COOPERATIVA PER AZIONI
B3E7B00F79;2024-10-21;LAVORI DI ADEGUAMENTO STRUTTURALE, IMPIANTISTICO E TECNOLOGICO ALLE DISPOSIZIONI ANTICONTAGIO DEL PRONTO SOCCORSO DEL P.O. SAN MICHELE DELL'ARNAS G. BROTZU DI CAGLIARI;6965790;AFFIDAMENTO DIRETTO;LAVORI SANITARI;COSTRUZIONI BAROZZI SOCIETA' PER AZIONI
97181631CF;2023-04-05;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 20, PER LA FORNITURA DI ENERGIA ELETTRICA PER UN PERIODO DI 12 MESI A PREZZO VARIABILE CON OPZIONE VERDE, PER L'A.R.N.A.S. 'G. BROTZU'. DITTA ENEL ENERGIA S.P.A.. SPESA COMPLESSIVA PRESUNTA PARI A ? 8.060.000,00 I.V.A. INCLUSA;6660557;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B28444DF6F;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 179;6389505;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B25F8A4B99;2024-07-08;RECEPIMENTO MEDICINALI 19 - LOTTO 37;5965648;AFFIDAMENTO DIRETTO;MEDICINALI VARI;CSL BEHRING SPA
B2899C24EB;2024-07-22;RECEPIMENTO MEDICINALI 19 - LOTTO 232;5923295;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL MYERS SQUIBB
B26E0234FB;2024-07-11;RECEPIMENTO MEDICINALI 19 - LOTTO 134;5781179;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL MYERS SQUIBB
B2825BE7B3;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 166;5608228;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
A0512CBD10;2024-02-29;RECEPIMENTO MEDICINALI ED. 18 - LOTTO 104;5335419;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B289799C8F;2024-07-22;RECEPIMENTO MEDICINALI 19 - LOTTO 195;5291788;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
B293DBD715;2024-07-24;RECEPIMENTO MEDICINALI 19 - LOTTO 327;4774800;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRACCO IMAGING S.P.A.
B299FD8CA1;2024-07-25;RECEPIMENTO MEDICINALI 19 - LOTTO 233;4211093;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
B289E83139;2024-07-22;RECEPIMENTO MEDICINALI 19 - LOTTO 221;4145172;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSENCILAG
B097858360;2024-03-01;LOTTO 1 ALIMENTARI VARI;4110441;PROCEDURA APERTA;PRODOTTI ALIMENTARI VARI;
B28C496CB0;2024-07-24;ALIMENTARI VARI;4110441;PROCEDURA APERTA;PRODOTTI ALIMENTARI VARI;
A007CF5EF7;2023-10-18;LOTTO 1 - ALIMENTARI VARI;4110349;PROCEDURA APERTA;PRODOTTI ALIMENTARI E PRODOTTI SECCHI VARI;
B355FB5777;2024-10-09;LOTTO 1;4080000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B43CFC09AD;2024-11-13;LOTTO 1;4020000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B2841AB33F;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 175;3928584;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL MYERS SQUIBB
B2961B9910;2024-07-25;RECEPIMENTO MEDICINALI 19 - LOTTO 211;3907490;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
B2762E2A1E;2024-07-15;RECEPIMENTO MEDICINALI 19 - LOTTO 143;3823000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
965728320B;2023-02-14;LOTTO 3.;3806775;PROCEDURA APERTA;POMPE PER INFUSIONE;ICU MEDICAL EUROPE S.R.L.
B2820A3123;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 161;3736083;AFFIDAMENTO DIRETTO;MEDICINALI VARI;EISAI S.R.L.
B12E41A23A;2024-04-11;VIROLOGIA E BATTERIOLOGIA IN BIOLOGIA MOLECOLARE.;3600000;PROCEDURA APERTA;APPARECCHI PER ANALISI;
B12E41C3E0;2024-04-11;INFETTIVOLOGIA E MARCATORI SIERICI.;3562500;PROCEDURA APERTA;APPARECCHI PER ANALISI;
A029304710;2023-11-13;PROROGA GARA CAT 8 LOTTO 1112;3500414;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;IMPRESA INESISTENTE
9604328E2E;2023-01-20;MED. 16 - LOTTO 33;3449020;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B27DF8CA62;2024-07-17;RECEPIMENTO MEDICINALI 19 - LOTTO 153;3413857;AFFIDAMENTO DIRETTO;MEDICINALI VARI;PFIZER S.R.L.
B27E0A5248;2024-07-17;RECEPIMENTO MEDICINALI 19 - LOTTO 155;3388452;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALLOGA (ITALIA) S.R.L.
9603680771;2023-01-20;MED. 16 - LOTTO 21;3352059;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
9604366D8A;2023-01-20;MED. 16 - LOTTO 36;3323258;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVARTIS FARMA SPA
B27959D755;2024-07-16;RECEPIMENTO MEDICINALI 19 - LOTTO 144;3318624;AFFIDAMENTO DIRETTO;MEDICINALI VARI;PFIZER S.R.L.
B29B4ACCBC;2024-07-26;RECEPIMENTO MEDICINALI 19 - LOTTO 224;3287988;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
960470447A;2023-01-20;MED. 16 - LOTTO 85;3277117;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
96043765CD;2023-01-20;MED. 16 - LOTTO 39;3171030;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;KYOWA KIRIN S.R.L.
98804071CB;2023-06-13;PROCEDURA APERTA INFORMATIZZATA PER LA FORNITURA IN SERVICE DI UN SISTEMA COMPOSTO DA STRUMENTAZIONE, REAGENTI E CONSUMABILI PER L'ESECUZIONE DELLE PROCEDURE NIPT, SNP-ARRAY E SEQUENZIAMENTO NGS PER LA SSD LABORATORIO DI GENETICA E GENOMICA DEL P.O. CAO PER TRE ANNI.;3159000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;TECHNOGENETICS S.P.A.
B1DEC061FC;2024-05-29;PROCEDURA APERTA INFORMATIZZATA IN UNIONE D'ACQUISTO, PER LA FORNITURA DI DISPOSITIVI PER CIRCOLAZIONE EXTRACORPOREA E RELATIVI ACCESSORI (CND 03), PER L'ARNAS ‘‘ G. BROTZU'' E L'AOU DI SASSARI, PER LA DURATA DI TRE ANNI CON OPZIONE DI RINNOVO PER DUE ANNI.;3112200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A007D0C1F6;2023-10-18;LOTTO 3 - CARNI;3076227;PROCEDURA APERTA;CARNE;MARR S.P.A.
9657311924;2023-02-14;LOTTO 6.;3058440;PROCEDURA APERTA;POMPE PER INFUSIONE;SCOGNAMIGLIO SRL
9603651F80;2023-01-20;MED. 16 - LOTTO 18;3055919;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVARTIS FARMA SPA
B282738FA0;2024-07-18;RECEPIMENTO MEDICINALI 19 - LOTTO 169;3001960;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SERONO SPA
B12E418094;2024-04-11;MICROBIOLOGIA;3000000;PROCEDURA APERTA;APPARECCHI PER ANALISI;
B226182D8B;2024-06-20;Procedura aperta informatizzata per la fornitura in service di un sistema diagnostico completo per eseguire in totale automazione, esami immunoematologici di base con la metodica di agglutinazione su colonna, per la SC Centro Immunoematologia e Trasfusionale dell'ARNAS G. Brotzu, per un periodo di t;3000000;PROCEDURA APERTA;Apparecchi per immunoanalisi;
B25F98CB0D;2024-07-08;RECEPIMENTO MEDICINALI 19 - LOTTO 39;2985023;AFFIDAMENTO DIRETTO;MEDICINALI VARI;AMGEN S.R.L.
A02257D48D;2023-10-24;LOTTO 1.;2981250;PROCEDURA APERTA;MATERIALE DI CONSUMO PER DIALISI RENALE;BAXTER S.P.A.
9603612F51;2023-01-20;MED. 16 - LOTTO 14;2978483;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B279D8D432;2024-07-16;RECEPIMENTO MEDICINALI 19 - LOTTO 147;2828506;AFFIDAMENTO DIRETTO;MEDICINALI VARI;IMPRESA INESISTENTE
9590467FB8;2023-01-09;LOTTO 1;2775000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;QUIMARK S.R.L.
B40D102D57;2024-10-31;LOTTO 1;2655000;PROCEDURA APERTA;MACCHINARI, ATTREZZATURE E FORNITURE VARIE;
B12E414D43;2024-04-11;EMATOLOGIA.;2625000;PROCEDURA APERTA;APPARECCHI PER ANALISI;
B48FFFB0D8;2024-12-03;PROCEDURA APERTA INFORMATIZZATA PER LA FORNITURA IN SERVICE DI UN SISTEMA DIAGNOSTICO COMPLETO PER TOSSICOLOGIA E DOSAGGIO FARMACI PER LA SC LABORATORIO ANALISI DELL'ARNAS G. BROTZU PER CINQUE ANNI.;2625000;PROCEDURA APERTA;APPARECCHI PER ANALISI;
B148B82A20;2024-04-16;PRESA ATTO ACCORDO PROGRAMMA INTERREGIONALE SERVIZIO PLASMADERIVAZIONE. DECORRENZA, ORA PER ALLORA, DAL 01.01.2024 AL 31.12.2024. OPERATORE ECONOMICO KEDRION S.P.A. SPESA COMPLESSIVA ANNUALE € 2.585.874,00 OLTRE IVA DI LEGGE.;2585874;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;KEDRION S.P.A.
A007D16A34;2023-10-18;LOTTO 4 - ORTOFRUTTA;2561335;PROCEDURA APERTA;FRUTTA E VERDURA TRASFORMATA;CORO & BIO S.R.L UN'ARMONIA DI SAPORI CON DENOMINAZIONE ABBREVIAT A CORO & BIO S.R.L.
A0512A8032;2024-02-29;RECEPIMENTO MEDICINALI ED. 18 - LOTTO 100;2560000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9629006B1D;2023-02-03;PRESA ATTO ACCORDO PROGRAMMA INTERREGIONALE SERVIZIO PLASMADERIVAZIONE. OPERATORE ECONOMICO KEDRION S.P.A.;2543426;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PLASMADERIVATI;KEDRION S.P.A.
B4A48A9D01;2024-12-05;VALVOLE CARDIACHE IMPIANTABILI PER VIA TRANS-CATETERE (TAVI);2441400;AFFIDAMENTO DIRETTO;VALVOLE CARDIACHE;EDWARDS LIFESCIENCES ITALIA S.R.L.
B12E415E16;2024-04-11;EMOCOAGULAZIONE.;2437500;PROCEDURA APERTA;APPARECCHI PER ANALISI;
