# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI (ANAC)
# 4149 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B1A754C202;2024-05-16;FORNITURA DI SEI ANNI IN REGIME DI SERVICE DI BENI, SERVIZI E CORRELATI LAVORI, PER LA GESTIONE DELLE PROCEDURE CORONARICHE, NON-CORONARICHE E IMPIANTI PERCUTANEI DI VALVOLE CARDIACHE PER LA SC CARDIOLOGIA CLINICA E INTERVENTISTICA DELL'AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI;63144042;PROCEDURA APERTA;VALVOLE CARDIACHE;DOTT. MARIO TICCA S.R.L.
974220303F;2023-05-30;MULTISERVIZIO TECNOLOGICO INTEGRATO ENERGIA PER LA SANITÀ - ED. 2 (MIES2) -- RINNOVO DEL CONTRATTO PER ANNI CINQUE ALLA RTI CARBOTERMO S.P.A. - ELETECNO ST S.R.L. AI SENSI DEL D. LGS 115/2008;37716682;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;ELETECNO ST S.P.A.
B415D58C6A;2024-10-31;PROCEDURA TELEMATICA APERTA PER L'AFFIDAMENTO DELLA FORNITURA DI CLIP, COLLE E ALTRI DM DASUTURA E DEI SERVIZI CONNESSI DESTINATA ALLE AZIENDE DEL SERVIZIO SANITARIO EOSPEDALIERE DELLA REGIONE AUTONOMA DELLA SARDEGNA - AGGIUDICATARIO AREAMED SRL LOTTO N.26;18162560;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;AREAMED S.R.L.
95863889A1;2023-01-09;PROCEDURA APERTA INFORMATIZZATA PER L'AFFIDAMENTO DELLA FORNITURA DI AGHI E SIRINGHE DESTINATA ALLE AZIENDE SANITARIE E OSPEDALIERE DELLA REGIONE AUTONOMA DELLA SARDEGNA E DELLA REGIONE LAZIO - 2A EDIZIONE - ESCLUSIONE OFFERTE E AGGIUDICAZIONE LOTTO 21 AGGIUDICATARIO BECTON DICKINSON SPA;16500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SIRINGHE;BECTON, DICKINSON ITALIA S.P.A.
9610405517;2023-02-16;SERVIZIO DI SORVEGLIANZA ATTIVA ANTINCENDIO E DI SICUREZZA PER I PRESIDI OSPEDALIERI DELL'AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI - PER 36 MESI (2023 - 2025);14241668;PROCEDURA APERTA;SERVIZI DI VIGILANZA DI EDIFICI;EVOLVE CONSORZIO STABILE
B2620D7801;2024-07-08;APPALTO SPECIFICO INDETTO DALLA REGIONE AUTONOMA DELLA SARDEGNA – CENTRALE REGIONALE DI COMMITTENZA PER L'AFFIDAMENTODI MEDICINALI ED. 19 NELL'AMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI PRODOTTI FARMACEUTICI - CODICE APPALTO 4068547- AGGIUDICAZIONE ED ;12543670;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B2762A03A9;2024-07-15;APPALTO SPECIFICO INDETTO DALLA REGIONE AUTONOMA DELLA SARDEGNA – CENTRALE REGIONALE DI COMMITTENZA PER L'AFFIDAMENTODI MEDICINALI ED. 19 NELL'AMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI PRODOTTI FARMACEUTICI - CODICE APPALTO 4068547- AGGIUDICAZIONE ED ;8531693;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
9787191583;2023-05-05;PRESA D'ATTO DELLA CESSIONE DI RAMO D'AZIENDA ALL'O.E. VIVENDASPA E CONTESTUALE SOSTITUZIONE DELL'O.E. CAMST SOC. COOP. A.R.L. NELLA 'CONVENZIONE QUADRO PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE A BASSO IMPATTO AMBIENTALE (DM 25 LUGLIO 2011) DESTINATO ALLE AZIENDE SANITARIE E OSPEDALIERE DELLA ;8051915;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREPARAZIONE PASTI;
B2DDE555DA;2024-08-28;PROCEDURA APERTA EX ART. 60 DEL D. LGS. 50/2016 SS.MM.II., SOPRA SOGLIA EUROPEA, IN MODALITÀ TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA DI DISPOSITIVI IVD CONSUMABILI NON SOTTOVUOTO) PER CAMPIONAMENTO - CND W05 PER LE ASL, LE AZIENDE OSPEDALIERO-UNIVERSITARIE DI CAGLIARI E SASSARI E L'AZIENDA OSPE;7721780;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;LABOINDUSTRIA S.P.A.
B3FA86FFB2;2024-10-24;LAVORI PRONTO SOCCORSO - ACCORDO QUADRO LOTTO GEOGRAFICO SARDEGNA CIG: 8444961A45 SUB-LOTTO PRESTAZIONALE 1;7000000;AFFIDAMENTO DIRETTO;LAVORI DI RISTRUTTURAZIONE;VITTADELLO S.P.A.
